ts,preset,ai,num_cells,num_prbs,num_rx_ant,num_tx_ant,mcs_index,iterations,mean_ms,p50_ms,p95_ms,p99_ms,miss_1ms,status
20260512_040908,split-20-80,gpt2,,,,,,,,,,,,FAIL
20260512_040908,split-40-60,gpt2,20,273,4,4,2,50,47.141,47.066,47.398,48.435,50,OK
20260512_040908,split-50-50,gpt2,20,273,4,4,2,50,41.187,41.066,41.437,42.634,50,OK
20260512_040908,split-60-40,gpt2,20,273,4,4,2,50,34.469,34.425,34.677,35.327,50,OK
20260512_041851,split-20-80,hbm,,,,,,,,,,,,FAIL
20260512_041851,split-40-60,hbm,20,273,4,4,2,50,52.29,52.456,52.672,53.165,50,OK
20260512_041851,split-50-50,hbm,20,273,4,4,2,50,34.533,34.49,34.742,35.426,50,OK
20260512_041851,split-60-40,hbm,20,273,4,4,2,50,39.31,39.485,39.865,41.14,50,OK
20260512_042805,split-20-80,hbm,,,,,,,,,,,,FAIL
20260512_042805,split-40-60,hbm,20,273,4,4,2,50,47.043,46.971,47.19,48.466,50,OK
20260512_042805,split-50-50,hbm,20,273,4,4,2,50,34.696,34.651,34.916,35.585,50,OK
20260512_042805,split-60-40,hbm,20,273,4,4,2,50,34.577,34.511,34.938,35.615,50,OK
20260512_043732,split-20-80,resnet,,,,,,,,,,,,FAIL
20260512_043732,split-40-60,resnet,20,273,4,4,2,50,54.167,54.349,54.917,55.737,50,OK
20260512_043732,split-50-50,resnet,20,273,4,4,2,50,41.192,41.142,41.415,42.26,50,OK
20260512_043732,split-60-40,resnet,20,273,4,4,2,50,40.9,41.2,41.478,42.41,50,OK
20260512_044735,four-way-bigL1,"gpt2,resnet,hbm",20,273,4,4,2,50,40.895,40.871,40.953,41.628,50,OK
20260512_045032,four-way-eq,"gpt2,resnet,hbm",,,,,,,,,,,,FAIL
20260512_045344,seven-1g,"gpt2,resnet,hbm,gpt2,resnet,hbm",,,,,,,,,,,,FAIL
20260512_045804,seven-1g,"gpt2,gpt2,gpt2,gpt2,gpt2,gpt2",,,,,,,,,,,,FAIL
20260512_050223,split-20-80,gpt2,,,,,,,,,,,,FAIL
20260512_050443,split-20-80,gpt2,,,,,,,,,,,,FAIL
20260512_050702,split-20-80,gpt2,,,,,,,,,,,,FAIL
20260512_050921,split-20-80,gpt2,,,,,,,,,,,,FAIL
20260512_051140,split-20-80,gpt2,,,,,,,,,,,,FAIL
20260512_051355,split-50-50,gpt2,1,273,4,4,2,50,2.182,2.177,2.194,2.291,50,OK
20260512_051615,split-50-50,gpt2,4,273,4,4,2,50,8.367,8.347,8.388,8.888,50,OK
20260512_051832,split-50-50,gpt2,10,273,4,4,2,50,17.295,17.292,17.323,17.464,50,OK
20260512_052050,split-50-50,gpt2,20,273,4,4,2,50,34.639,34.602,34.8,35.534,50,OK
20260512_052256,split-50-50,gpt2,40,273,4,4,2,50,68.96,68.832,70.013,70.454,50,OK
20260512_052518,split-60-40,gpt2,1,273,4,4,2,50,1.872,1.845,1.87,2.464,50,OK
20260512_052738,split-60-40,gpt2,4,273,4,4,2,50,7.022,7.017,7.046,7.071,50,OK
20260512_053002,split-60-40,gpt2,10,273,4,4,2,50,17.39,17.386,17.411,17.529,50,OK
20260512_053225,split-60-40,gpt2,20,273,4,4,2,50,40.836,41.123,41.204,41.826,50,OK
20260512_053447,split-60-40,gpt2,40,273,4,4,2,50,69.08,68.971,69.937,70.785,50,OK
20260512_053700,split-50-50,hbm,20,273,4,4,2,50,40.833,41.087,41.494,42.415,50,OK
20260512_053925,split-50-50,hbm,20,273,4,4,2,50,39.196,39.37,39.604,40.734,50,OK
20260512_054149,split-50-50,hbm,20,273,4,4,2,50,39.101,39.313,39.577,40.325,50,OK
20260512_054428,split-50-50,hbm,20,273,4,4,2,50,40.831,41.067,41.444,42.173,50,OK
20260512_054651,split-50-50,hbm,20,273,4,4,2,50,41.247,41.207,41.324,42.206,50,OK
20260512_054900,split-50-50,hbm,20,273,4,4,2,50,41.161,41.119,41.177,42.371,50,OK
20260512_055126,split-50-50,resnet,20,273,4,4,2,50,34.648,34.597,34.73,35.693,50,OK
20260512_055345,split-50-50,resnet,20,273,4,4,2,50,34.517,34.508,34.599,34.791,50,OK
20260512_055609,split-50-50,resnet,20,273,4,4,2,50,41.275,41.204,41.452,42.05,50,OK
20260512_055843,split-50-50,resnet,20,273,4,4,2,50,41.328,41.283,41.456,42.35,50,OK
20260512_060105,split-50-50,gpt2,20,51,4,4,2,50,34.912,35.254,35.332,35.439,50,OK
20260512_060315,split-50-50,gpt2,20,106,4,4,2,50,34.344,34.545,34.755,35.415,50,OK
20260512_060537,split-50-50,gpt2,20,217,4,4,2,50,32.622,32.569,32.816,33.756,50,OK
20260512_060746,split-50-50,gpt2,20,273,4,4,2,50,34.455,34.404,34.669,35.323,50,OK
20260512_061010,split-50-50,gpt2,20,273,2,2,2,50,31.837,31.787,32.051,32.893,50,OK
20260512_061233,split-50-50,gpt2,20,273,4,4,2,50,41.291,41.191,41.846,42.753,50,OK
20260512_061512,split-50-50,gpt2,20,273,8,8,2,50,46.267,46.186,46.769,47.964,50,OK
20260512_061738,split-50-50,gpt2,20,273,4,4,2,1000,41.129,41.129,41.193,41.359,1000,OK
20260512_062052,split-50-50,gpt2,20,273,4,4,2,300,39.49,39.454,39.528,41.395,300,OK
20260512_062324,split-50-50,gpt2,20,273,4,4,0,50,34.624,34.543,34.816,36.258,50,OK
20260512_062543,split-50-50,gpt2,20,273,4,4,2,50,39.248,39.438,39.594,40.975,50,OK
20260512_062807,split-50-50,gpt2,20,273,4,4,7,50,34.574,34.526,34.759,35.639,50,OK
20260512_063044,split-50-50,gpt2,20,273,4,4,16,50,39.187,39.387,39.959,40.463,50,OK
20260512_063307,split-50-50,gpt2,20,273,4,4,24,50,40.824,41.106,41.163,42.114,50,OK
20260512_063739,no-mig,gpt2,,,,,,,,,,,,FAIL
20260512_064320,no-mig,none,,,,,,,,,,,,FAIL
20260512_065328,no-mig,gpt2,20,273,4,4,2,50,375.739,375.667,376.736,377.068,50,OK
20260512_065413,no-mig,hbm,20,273,4,4,2,50,398.853,398.95,399.436,399.448,50,OK
20260512_065501,no-mig,hbm,20,273,4,4,2,50,398.477,398.615,398.961,399.003,50,OK
20260512_065549,no-mig,resnet,20,273,4,4,2,50,379.667,379.84,381.418,381.803,50,OK
20260512_065635,no-mig,gpt2,1,273,4,4,2,50,21.161,21.17,21.342,21.466,50,OK
20260512_065656,no-mig,gpt2,4,273,4,4,2,50,77.123,77.101,77.529,77.629,50,OK
20260512_065721,no-mig,gpt2,10,273,4,4,2,50,189.317,189.305,189.933,190.116,50,OK
20260512_065753,no-mig,gpt2,20,273,4,4,2,50,375.762,375.762,376.614,376.88,50,OK
20260512_065839,no-mig,gpt2,40,273,4,4,2,50,747.919,747.866,749.116,750.245,50,OK
20260512_065950,no-mig,none,1,273,4,4,2,50,1.967,1.967,1.976,1.981,50,OK
20260512_065956,no-mig,none,4,273,4,4,2,50,6.793,6.547,7.488,7.513,50,OK
20260512_070002,no-mig,none,10,273,4,4,2,50,18.085,18.321,18.406,18.761,50,OK
20260512_070010,no-mig,none,20,273,4,4,2,50,38.198,38.48,38.739,39.917,50,OK
20260512_070018,no-mig,none,40,273,4,4,2,50,76.562,76.526,76.682,77.486,50,OK
20260512_070030,no-mig,none,20,273,4,4,2,50,32.008,31.952,32.117,33.51,50,OK
20260512_070038,no-mig,none,20,273,4,4,2,50,32.347,32.273,32.541,33.862,50,OK
