ts,preset,ai,num_cells,num_prbs,num_rx_ant,num_tx_ant,mcs_index,iterations,mean_ms,p50_ms,p95_ms,p99_ms,miss_1ms,status
20260512_084023,split-50-50,qwen7b,20,273,8,8,2,50,46.335,46.235,46.819,48.134,50,OK
20260512_084245,split-50-50,hbm,,,,,,,,,,,,FAIL
20260512_084341,split-50-50,none,,,,,,,,,,,,FAIL
20260512_084506,split-50-50,hbm,,,,,,,,,,,,FAIL
20260512_084544,no-mig,qwen7b,20,273,8,8,2,50,57.89,46.969,78.597,172.6,50,OK
20260512_084651,no-mig,hbm,20,273,8,8,2,50,48.03,47.948,48.131,49.908,50,OK
20260512_085018,split-50-50,hbm,20,273,8,8,2,50,46.555,46.442,46.53,49.265,50,OK
20260512_085855,split-50-50,none,20,273,8,8,2,50,46.142,46.068,46.149,47.875,50,OK
20260512_090040,split-40-60,qwen7b,20,273,8,8,2,50,66.555,66.563,67.132,67.802,50,OK
20260512_090304,split-50-50,qwen7b,20,273,8,8,2,50,46.529,46.444,46.819,48.287,50,OK
20260512_090530,split-60-40,qwen7b,20,273,8,8,2,50,52.799,52.955,53.229,53.842,50,OK
20260512_090901,no-mig,none,,,,,,,,,,,,FAIL
20260512_091218,no-mig,qwen7b,,,,,,,,,,,,FAIL
20260512_093125,no-mig,none,,,,,,,,,,,,FAIL
v4_B2_2g10gb_alone_092434,l1.log,none,,,,,,,,,,,,FAIL
v4_B2_2g10gb_alone_092434,results,none,,,,,,,,,,,,FAIL
v4_B4_4g20gb_alone_092606,l1.log,none,,,,,,,,,,,,FAIL
v4_B4_4g20gb_alone_092606,results,none,,,,,,,,,,,,FAIL
