#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:25:48       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:48       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:48       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:48       3      1      1      0      0      0      0      0      0      0 
 20260530    17:25:49       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:49       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:49       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:49       3      1      1      0      0      0      0      0      0      0 
 20260530    17:25:50       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:50       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:50       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:50       3      1      1      0      0      0      0      0      0      0 
 20260530    17:25:51       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:51       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:51       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:51       3     22      4      0      0      0      0      0      0      0 
 20260530    17:25:52       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:52       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:52       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:52       3   6494      4      0     38      8      0      0      0      0 
 20260530    17:25:53       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:53       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:53       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:53       3   6492      4      0     71     17      0      0      0      0 
 20260530    17:25:54       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:54       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:54       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:54       3   6492      4      0     71     17      0      0      0      0 
 20260530    17:25:55       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:55       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:55       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:55       3   6494      4      0     71     17      0      0      0      0 
 20260530    17:25:56       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:56       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:56       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:56       3      1      1      0      0      0      0      0      0      0 
 20260530    17:25:57       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:57       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:57       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:57       3      1      1      0      0      0      0      0      0      0 
 20260530    17:25:59       0     75      1      0      -      -      -      -      -      - 
 20260530    17:25:59       1      1      1      0      -      -      -      -      -      - 
 20260530    17:25:59       2      1      1      0      -      -      -      -      -      - 
 20260530    17:25:59       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:26:00       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:00       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:00       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:00       3      1      1      0      0      0      0      0      0      0 
 20260530    17:26:01       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:01       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:01       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:01       3      1      1      0      0      0      0      0      0      0 
 20260530    17:26:02       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:02       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:02       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:02       3      1      1      0      0      0      0      0      0      0 
 20260530    17:26:03       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:03       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:03       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:03       3     22      4      0      0      0      0      0      0      0 
 20260530    17:26:04       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:04       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:04       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:04       3   6494      4      0     44      9      0      0      0      0 
 20260530    17:26:05       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:05       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:05       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:05       3   6492      4      0     71     17      0      0      0      0 
 20260530    17:26:06       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:06       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:06       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:06       3   6492      4      0     71     17      0      0      0      0 
 20260530    17:26:07       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:07       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:07       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:07       3   6494      4      0     71     17      0      0      0      0 
 20260530    17:26:08       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:08       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:08       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:08       3      1      1      0      0      0      0      0      0      0 
 20260530    17:26:09       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:09       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:09       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:09       3      1      1      0      0      0      0      0      0      0 
 20260530    17:26:10       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:10       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:10       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:10       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:26:11       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:11       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:11       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:11       3      1      1      0      0      0      0      0      0      0 
 20260530    17:26:12       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:12       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:12       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:12       3      1      1      0      0      0      0      0      0      0 
 20260530    17:26:13       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:13       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:13       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:13       3      1      1      0      0      0      0      0      0      0 
 20260530    17:26:14       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:14       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:14       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:14       3     28      4      0      0      0      0      0      0      0 
 20260530    17:26:15       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:15       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:15       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:15       3   6492      4      0     41      8      0      0      0      0 
 20260530    17:26:16       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:16       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:16       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:16       3   6494      4      0     74     16      0      0      0      0 
 20260530    17:26:17       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:17       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:17       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:17       3   6494      4      0     74     16      0      0      0      0 
 20260530    17:26:18       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:18       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:18       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:18       3   6492      4      0     73     16      0      0      0      0 
 20260530    17:26:19       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:19       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:19       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:19       3      1      1      0     33      1      0      0      0      0 
 20260530    17:26:20       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:20       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:20       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:20       3      1      1      0      0      0      0      0      0      0 
 20260530    17:26:21       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:21       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:21       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:21       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:26:22       0     75      1      0      -      -      -      -      -      - 
 20260530    17:26:22       1      1      1      0      -      -      -      -      -      - 
 20260530    17:26:22       2      1      1      0      -      -      -      -      -      - 
 20260530    17:26:22       3      1      1      0      0      0      0      0      0      0 
