#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:08:13       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:13       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:13       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:13       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:14       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:14       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:14       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:14       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:15       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:15       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:15       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:15       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:16       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:16       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:16       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:16       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:17       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:17       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:17       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:17       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:18       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:18       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:18       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:18       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:19       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:19       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:19       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:19       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:20       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:20       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:20       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:20       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:21       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:21       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:21       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:21       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:22       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:22       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:22       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:22       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:23       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:23       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:23       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:23       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:08:24       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:24       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:24       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:24       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:25       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:25       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:25       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:25       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:26       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:26       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:26       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:26       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:27       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:27       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:27       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:27       3      1      1      0      0      0      0      0      0      0 
 20260530    18:08:28       0     75      1      0      -      -      -      -      -      - 
 20260530    18:08:28       1      1      1      0      -      -      -      -      -      - 
 20260530    18:08:28       2      1      1      0      -      -      -      -      -      - 
 20260530    18:08:28       3      1      1      0      0      0      0      0      0      0 
