#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:59:11       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:11       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:11       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:11       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:12       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:12       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:12       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:12       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:13       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:13       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:13       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:13       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:14       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:14       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:14       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:14       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:15       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:15       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:15       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:15       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:16       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:16       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:16       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:16       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:17       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:17       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:17       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:17       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:18       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:18       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:18       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:18       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:19       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:19       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:19       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:19       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:20       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:20       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:20       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:20       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:21       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:21       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:21       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:21       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:59:22       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:22       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:22       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:22       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:23       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:23       1      1      1      0      -      -      -      -      -      - 
 20260530    17:59:23       2      1      1      0      -      -      -      -      -      - 
 20260530    17:59:23       3      1      1      0      0      0      0      0      0      0 
 20260530    17:59:24       0     75      1      0      -      -      -      -      -      - 
 20260530    17:59:24       1      1      1      0      -      -      -      -      -      - 
