#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:50:30       0     88      1      0      -      -      -      -      -      - 
 20260530    17:50:30       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:30       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:30       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:31       0     88      1      0      -      -      -      -      -      - 
 20260530    17:50:31       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:31       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:31       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:32       0     88      1      0      -      -      -      -      -      - 
 20260530    17:50:32       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:32       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:32       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:33       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:33       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:33       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:33       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:34       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:34       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:34       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:34       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:35       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:35       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:35       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:35       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:36       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:36       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:36       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:36       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:37       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:37       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:37       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:37       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:38       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:38       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:38       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:38       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:39       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:39       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:39       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:39       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:40       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:40       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:40       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:40       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:50:41       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:41       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:41       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:41       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:42       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:42       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:42       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:42       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:43       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:43       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:43       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:43       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:44       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:44       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:44       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:44       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:45       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:45       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:45       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:45       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:46       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:46       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:46       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:46       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:47       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:47       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:47       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:47       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:48       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:48       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:48       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:48       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:49       0   6309      4      0      -      -      -      -      -      - 
 20260530    17:50:49       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:49       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:49       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:50       0   6311      4      0      -      -      -      -      -      - 
 20260530    17:50:50       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:50       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:50       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:51       0   6309      4      0      -      -      -      -      -      - 
 20260530    17:50:51       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:51       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:51       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:50:52       0   6309      4      0      -      -      -      -      -      - 
 20260530    17:50:52       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:52       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:52       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:53       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:53       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:53       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:53       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:54       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:54       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:54       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:54       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:56       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:56       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:56       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:56       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:57       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:57       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:57       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:57       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:58       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:58       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:58       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:58       3      1      1      0      0      0      0      0      0      0 
 20260530    17:50:59       0     75      1      0      -      -      -      -      -      - 
 20260530    17:50:59       1      1      1      0      -      -      -      -      -      - 
 20260530    17:50:59       2      1      1      0      -      -      -      -      -      - 
 20260530    17:50:59       3      1      1      0      0      0      0      0      0      0 
 20260530    17:51:00       0     75      1      0      -      -      -      -      -      - 
 20260530    17:51:00       1      1      1      0      -      -      -      -      -      - 
 20260530    17:51:00       2      1      1      0      -      -      -      -      -      - 
 20260530    17:51:00       3      1      1      0      0      0      0      0      0      0 
 20260530    17:51:01       0     75      1      0      -      -      -      -      -      - 
 20260530    17:51:01       1      1      1      0      -      -      -      -      -      - 
 20260530    17:51:01       2      1      1      0      -      -      -      -      -      - 
 20260530    17:51:01       3      1      1      0      0      0      0      0      0      0 
 20260530    17:51:02       0     75      1      0      -      -      -      -      -      - 
 20260530    17:51:02       1      1      1      0      -      -      -      -      -      - 
 20260530    17:51:02       2      1      1      0      -      -      -      -      -      - 
 20260530    17:51:02       3      1      1      0      0      0      0      0      0      0 
 20260530    17:51:03       0     75      1      0      -      -      -      -      -      - 
 20260530    17:51:03       1      1      1      0      -      -      -      -      -      - 
 20260530    17:51:03       2      1      1      0      -      -      -      -      -      - 
 20260530    17:51:03       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    17:51:04       0     75      1      0      -      -      -      -      -      - 
 20260530    17:51:04       1      1      1      0      -      -      -      -      -      - 
 20260530    17:51:04       2      1      1      0      -      -      -      -      -      - 
 20260530    17:51:04       3      1      1      0      0      0      0      0      0      0 
 20260530    17:51:05       0     75      1      0      -      -      -      -      -      - 
 20260530    17:51:05       1      1      1      0      -      -      -      -      -      - 
