#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:17:15       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:15       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:15       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:15       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:16       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:16       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:16       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:16       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:17       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:17       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:17       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:17       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:18       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:18       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:18       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:18       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:19       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:19       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:19       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:19       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:20       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:20       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:20       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:20       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:21       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:21       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:21       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:21       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:23       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:23       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:23       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:23       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:24       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:24       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:24       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:24       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:25       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:25       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:25       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:25       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:26       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:26       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:26       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:26       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:17:27       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:27       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:27       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:27       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:28       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:28       1      1      1      0      -      -      -      -      -      - 
 20260530    18:17:28       2      1      1      0      -      -      -      -      -      - 
 20260530    18:17:28       3      1      1      0      0      0      0      0      0      0 
 20260530    18:17:29       0     75      1      0      -      -      -      -      -      - 
 20260530    18:17:29       1      1      1      0      -      -      -      -      -      - 
