#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:53:36       0     75      1      0      -      -      -      -      -      - 
 20260530    18:53:36       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:36       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:36       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:37       0     75      1      0      -      -      -      -      -      - 
 20260530    18:53:37       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:37       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:37       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:38       0     75      1      0      -      -      -      -      -      - 
 20260530    18:53:38       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:38       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:38       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:40       0     88      1      0      -      -      -      -      -      - 
 20260530    18:53:40       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:40       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:40       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:41       0     88      1      0      -      -      -      -      -      - 
 20260530    18:53:41       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:41       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:41       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:42       0     88      1      0      -      -      -      -      -      - 
 20260530    18:53:42       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:42       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:42       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:43       0     88      1      0      -      -      -      -      -      - 
 20260530    18:53:43       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:43       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:43       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:44       0     88      1      0      -      -      -      -      -      - 
 20260530    18:53:44       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:44       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:44       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:45       0     88      1      0      -      -      -      -      -      - 
 20260530    18:53:45       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:45       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:45       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:46       0     88      1      0      -      -      -      -      -      - 
 20260530    18:53:46       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:46       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:46       3      1      1      0      0      0      0      0      0      0 
 20260530    18:53:47       0     88      1      0      -      -      -      -      -      - 
 20260530    18:53:47       1      1      1      0      -      -      -      -      -      - 
 20260530    18:53:47       2      1      1      0      -      -      -      -      -      - 
 20260530    18:53:47       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:53:48       0     88      1      0      -      -      -      -      -      - 
 20260530    18:53:48       1      1      1      0      -      -      -      -      -      - 
