#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:02:58       0     88      1      0      -      -      -      -      -      - 
 20260530    19:02:58       1      1      1      0      -      -      -      -      -      - 
 20260530    19:02:58       2      1      1      0      -      -      -      -      -      - 
 20260530    19:02:58       3      1      1      0      0      0      0      0      0      0 
 20260530    19:02:59       0     88      1      0      -      -      -      -      -      - 
 20260530    19:02:59       1      1      1      0      -      -      -      -      -      - 
 20260530    19:02:59       2      1      1      0      -      -      -      -      -      - 
 20260530    19:02:59       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:00       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:00       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:00       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:00       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:01       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:01       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:01       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:01       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:02       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:02       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:02       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:02       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:03       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:03       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:03       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:03       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:04       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:04       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:04       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:04       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:05       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:05       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:05       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:05       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:07       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:07       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:07       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:07       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:08       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:08       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:08       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:08       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:09       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:09       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:09       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:09       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:03:10       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:10       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:10       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:10       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:11       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:11       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:11       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:11       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:12       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:12       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:12       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:12       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:13       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:13       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:13       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:13       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:14       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:14       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:14       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:14       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:15       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:15       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:15       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:15       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:16       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:16       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:16       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:16       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:17       0     88      1      0      -      -      -      -      -      - 
 20260530    19:03:17       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:17       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:17       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:18       0    220      4      0      -      -      -      -      -      - 
 20260530    19:03:18       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:18       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:18       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:19       0   6270      4      0      -      -      -      -      -      - 
 20260530    19:03:19       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:19       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:19       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:20       0   6270      4      0      -      -      -      -      -      - 
 20260530    19:03:20       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:20       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:20       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:03:21       0   6270      4      0      -      -      -      -      -      - 
 20260530    19:03:21       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:21       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:21       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:22       0   6270      4      0      -      -      -      -      -      - 
 20260530    19:03:22       1      1      1      0      -      -      -      -      -      - 
 20260530    19:03:22       2      1      1      0      -      -      -      -      -      - 
 20260530    19:03:22       3      1      1      0      0      0      0      0      0      0 
 20260530    19:03:23       0   6270      4      0      -      -      -      -      -      - 
 20260530    19:03:23       1      1      1      0      -      -      -      -      -      - 
