#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:12:37       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:37       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:37       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:37       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:38       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:38       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:38       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:38       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:39       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:39       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:39       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:39       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:40       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:40       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:40       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:40       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:41       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:41       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:41       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:41       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:42       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:42       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:42       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:42       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:43       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:43       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:43       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:43       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:44       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:44       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:44       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:44       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:45       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:45       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:45       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:45       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:46       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:46       1      1      1      0      -      -      -      -      -      - 
 20260530    19:12:46       2      1      1      0      -      -      -      -      -      - 
 20260530    19:12:46       3      1      1      0      0      0      0      0      0      0 
 20260530    19:12:47       0     88      1      0      -      -      -      -      -      - 
 20260530    19:12:47       1      1      1      0      -      -      -      -      -      - 
