#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:22:04       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:04       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:04       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:04       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:05       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:05       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:05       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:05       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:06       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:06       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:06       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:06       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:07       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:07       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:07       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:07       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:08       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:08       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:08       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:08       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:09       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:09       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:09       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:09       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:10       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:10       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:10       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:10       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:11       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:11       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:11       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:11       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:12       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:12       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:12       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:12       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:13       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:13       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:13       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:13       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:14       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:14       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:14       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:14       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:22:15       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:15       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:15       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:15       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:16       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:16       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:16       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:16       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:17       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:17       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:17       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:17       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:18       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:18       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:18       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:18       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:19       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:19       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:19       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:19       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:20       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:20       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:20       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:20       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:21       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:21       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:21       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:21       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:22       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:22       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:22       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:22       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:24       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:24       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:24       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:24       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:25       0    350      4      0      -      -      -      -      -      - 
 20260530    19:22:25       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:25       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:25       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:26       0   6378      4      0      -      -      -      -      -      - 
 20260530    19:22:26       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:26       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:26       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:22:27       0   6378      4      0      -      -      -      -      -      - 
 20260530    19:22:27       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:27       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:27       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:28       0   6378      4      0      -      -      -      -      -      - 
 20260530    19:22:28       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:28       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:28       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:29       0   6378      4      0      -      -      -      -      -      - 
 20260530    19:22:29       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:29       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:29       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:30       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:30       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:30       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:30       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:31       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:31       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:31       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:31       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:32       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:32       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:32       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:32       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:33       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:33       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:33       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:33       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:34       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:34       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:34       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:34       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:35       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:35       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:35       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:35       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:36       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:36       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:36       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:36       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:37       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:37       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:37       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:37       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:22:38       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:38       1      1      1      0      -      -      -      -      -      - 
 20260530    19:22:38       2      1      1      0      -      -      -      -      -      - 
 20260530    19:22:38       3      1      1      0      0      0      0      0      0      0 
 20260530    19:22:39       0     88      1      0      -      -      -      -      -      - 
 20260530    19:22:39       1      1      1      0      -      -      -      -      -      - 
