#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:31:42       0     88      1      0      -      -      -      -      -      - 
 20260530    19:31:42       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:42       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:42       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:43       0     88      1      0      -      -      -      -      -      - 
 20260530    19:31:43       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:43       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:43       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:45       0     88      1      0      -      -      -      -      -      - 
 20260530    19:31:45       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:45       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:45       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:46       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:46       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:46       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:46       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:47       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:47       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:47       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:47       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:48       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:48       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:48       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:48       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:49       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:49       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:49       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:49       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:50       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:50       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:50       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:50       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:51       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:51       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:51       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:51       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:52       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:52       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:52       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:52       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:53       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:53       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:53       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:53       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:31:54       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:54       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:54       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:54       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:55       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:55       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:55       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:55       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:56       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:56       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:56       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:56       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:57       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:57       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:57       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:57       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:58       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:58       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:58       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:58       3      1      1      0      0      0      0      0      0      0 
 20260530    19:31:59       0     63      1      0      -      -      -      -      -      - 
 20260530    19:31:59       1      1      1      0      -      -      -      -      -      - 
 20260530    19:31:59       2      1      1      0      -      -      -      -      -      - 
 20260530    19:31:59       3      1      1      0      0      0      0      0      0      0 
 20260530    19:32:00       0     63      1      0      -      -      -      -      -      - 
 20260530    19:32:00       1      1      1      0      -      -      -      -      -      - 
 20260530    19:32:00       2      1      1      0      -      -      -      -      -      - 
 20260530    19:32:00       3      1      1      0      0      0      0      0      0      0 
 20260530    19:32:01       0     80      4      0      -      -      -      -      -      - 
 20260530    19:32:01       1      1      1      0      -      -      -      -      -      - 
 20260530    19:32:01       2      1      1      0      -      -      -      -      -      - 
 20260530    19:32:01       3      1      1      0      0      0      0      0      0      0 
 20260530    19:32:02       0   6243      4      0      -      -      -      -      -      - 
 20260530    19:32:02       1      1      1      0      -      -      -      -      -      - 
 20260530    19:32:02       2      1      1      0      -      -      -      -      -      - 
 20260530    19:32:02       3      1      1      0      0      0      0      0      0      0 
 20260530    19:32:03       0   6245      4      0      -      -      -      -      -      - 
 20260530    19:32:03       1      1      1      0      -      -      -      -      -      - 
 20260530    19:32:03       2      1      1      0      -      -      -      -      -      - 
 20260530    19:32:03       3      1      1      0      0      0      0      0      0      0 
 20260530    19:32:04       0   6245      4      0      -      -      -      -      -      - 
 20260530    19:32:04       1      1      1      0      -      -      -      -      -      - 
 20260530    19:32:04       2      1      1      0      -      -      -      -      -      - 
 20260530    19:32:04       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:32:05       0   6245      4      0      -      -      -      -      -      - 
 20260530    19:32:05       1      1      1      0      -      -      -      -      -      - 
 20260530    19:32:05       2      1      1      0      -      -      -      -      -      - 
 20260530    19:32:05       3      1      1      0      0      0      0      0      0      0 
 20260530    19:32:06       0   6243      4      0      -      -      -      -      -      - 
 20260530    19:32:06       1      1      1      0      -      -      -      -      -      - 
 20260530    19:32:06       2      1      1      0      -      -      -      -      -      - 
 20260530    19:32:06       3      1      1      0      0      0      0      0      0      0 
 20260530    19:32:07       0     63      1      0      -      -      -      -      -      - 
 20260530    19:32:07       1      1      1      0      -      -      -      -      -      - 
 20260530    19:32:07       2      1      1      0      -      -      -      -      -      - 
 20260530    19:32:07       3      1      1      0      0      0      0      0      0      0 
 20260530    19:32:08       0     63      1      0      -      -      -      -      -      - 
 20260530    19:32:08       1      1      1      0      -      -      -      -      -      - 
