#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:41:02       0     63      1      0      -      -      -      -      -      - 
 20260530    19:41:02       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:02       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:02       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:03       0     63      1      0      -      -      -      -      -      - 
 20260530    19:41:03       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:03       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:03       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:04       0     63      1      0      -      -      -      -      -      - 
 20260530    19:41:04       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:04       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:04       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:05       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:05       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:05       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:05       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:06       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:06       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:06       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:06       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:07       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:07       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:07       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:07       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:08       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:08       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:08       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:08       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:09       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:09       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:09       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:09       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:10       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:10       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:10       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:10       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:11       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:11       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:11       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:11       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:12       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:12       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:12       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:12       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:41:13       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:13       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:13       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:13       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:14       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:14       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:14       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:14       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:15       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:15       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:15       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:15       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:16       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:16       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:16       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:16       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:17       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:17       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:17       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:17       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:18       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:18       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:18       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:18       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:19       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:19       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:19       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:19       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:20       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:20       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:20       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:20       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:21       0   6376      4      0      -      -      -      -      -      - 
 20260530    19:41:21       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:21       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:21       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:22       0   6378      4      0      -      -      -      -      -      - 
 20260530    19:41:22       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:22       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:22       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:23       0   6378      4      0      -      -      -      -      -      - 
 20260530    19:41:23       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:23       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:23       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    19:41:24       0   6376      4      0      -      -      -      -      -      - 
 20260530    19:41:24       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:24       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:24       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:25       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:25       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:25       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:25       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:26       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:26       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:26       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:26       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:27       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:27       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:27       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:27       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:28       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:28       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:28       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:28       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:29       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:29       1      1      1      0      -      -      -      -      -      - 
 20260530    19:41:29       2      1      1      0      -      -      -      -      -      - 
 20260530    19:41:29       3      1      1      0      0      0      0      0      0      0 
 20260530    19:41:30       0     88      1      0      -      -      -      -      -      - 
 20260530    19:41:30       1      1      1      0      -      -      -      -      -      - 
