#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:35:33       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:33       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:33       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:33       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:34       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:34       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:34       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:34       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:35       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:35       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:35       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:35       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:36       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:36       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:36       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:36       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:37       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:37       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:37       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:37       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:38       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:38       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:38       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:38       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:39       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:39       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:39       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:39       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:40       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:40       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:40       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:40       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:41       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:41       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:41       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:41       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:42       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:42       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:42       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:42       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:43       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:43       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:43       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:43       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:35:44       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:44       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:44       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:44       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:45       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:45       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:45       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:45       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:46       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:46       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:46       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:46       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:47       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:47       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:47       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:47       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:48       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:48       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:48       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:48       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:49       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:49       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:49       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:49       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:50       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:50       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:50       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:50       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:51       0     76      2      0      -      -      -      -      -      - 
 20260530    18:35:51       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:51       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:51       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:52       0   6309      4      0      -      -      -      -      -      - 
 20260530    18:35:52       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:52       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:52       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:53       0   6311      4      0      -      -      -      -      -      - 
 20260530    18:35:53       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:53       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:53       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:54       0   6311      4      0      -      -      -      -      -      - 
 20260530    18:35:54       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:54       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:54       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:35:55       0   6311      4      0      -      -      -      -      -      - 
 20260530    18:35:55       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:55       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:55       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:56       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:56       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:56       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:56       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:57       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:57       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:57       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:57       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:58       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:58       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:58       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:58       3      1      1      0      0      0      0      0      0      0 
 20260530    18:35:59       0     75      1      0      -      -      -      -      -      - 
 20260530    18:35:59       1      1      1      0      -      -      -      -      -      - 
 20260530    18:35:59       2      1      1      0      -      -      -      -      -      - 
 20260530    18:35:59       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:00       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:00       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:00       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:00       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:01       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:01       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:01       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:01       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:02       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:02       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:02       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:02       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:03       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:03       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:03       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:03       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:05       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:05       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:05       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:05       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:06       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:06       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:06       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:06       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:36:07       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:07       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:07       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:07       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:08       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:08       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:08       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:08       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:09       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:09       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:09       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:09       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:10       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:10       1      1      1      0      -      -      -      -      -      - 
 20260530    18:36:10       2      1      1      0      -      -      -      -      -      - 
 20260530    18:36:10       3      1      1      0      0      0      0      0      0      0 
 20260530    18:36:11       0     75      1      0      -      -      -      -      -      - 
 20260530    18:36:11       1      1      1      0      -      -      -      -      -      - 
