#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:44:35       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:35       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:35       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:35       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:37       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:37       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:37       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:37       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:38       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:38       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:38       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:38       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:39       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:39       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:39       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:39       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:40       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:40       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:40       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:40       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:41       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:41       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:41       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:41       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:42       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:42       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:42       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:42       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:43       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:43       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:43       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:43       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:44       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:44       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:44       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:44       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:45       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:45       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:45       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:45       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:46       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:46       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:46       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:46       3      1      1      0      0      0      0      0      0      0 
#Date        Time         gpu     fb   bar1   ccpm     sm    mem    enc    dec    jpg    ofa 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB      %      %      %      %      %      % 
 20260530    18:44:47       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:47       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:47       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:47       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:48       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:48       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:48       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:48       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:49       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:49       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:49       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:49       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:50       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:50       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:50       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:50       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:51       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:51       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:51       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:51       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:52       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:52       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:52       2      1      1      0      -      -      -      -      -      - 
 20260530    18:44:52       3      1      1      0      0      0      0      0      0      0 
 20260530    18:44:53       0     75      1      0      -      -      -      -      -      - 
 20260530    18:44:53       1      1      1      0      -      -      -      -      -      - 
 20260530    18:44:53       2      1      1      0      -      -      -      -      -      - 
