Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
1096871369,65472,668,,,,,,,,,,1.468,22415.388,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Host-to-Device]
1235337980,2016,1219,,,,,,,,,,0.000,27.778,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Host-to-Device]
1357452899,4640,1828,,,,,,,,,,0.028,6082.752,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Host-to-Device]
1357532482,2240,1833,,,,,,,,,,0.007,3214.282,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Host-to-Device]
1357561186,1952,1838,,,,,,,,,,0.008,4094.262,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memcpy Host-to-Device]
1357630753,5568,1843,1,1,1,32,32,1,30,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,"void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)"
1357662177,6464,1849,1,1,1,32,32,1,30,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,"void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)"
1357691136,3712,1855,1,1,1,32,32,1,30,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,"void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)"
1357714944,4928,1861,1,1,1,32,32,1,30,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,"void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)"
1357979261,3584,1867,,,,,,,,,,0.028,7874.976,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Host-to-Device]
1358022749,2720,1873,,,,,,,,,,0.007,2647.058,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Host-to-Device]
1358053564,2080,1879,,,,,,,,,,0.008,3842.306,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Host-to-Device]
1358085948,6496,1885,1,1,1,32,32,1,30,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)"
1358118108,4672,1892,1,1,1,32,32,1,30,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)"
1358146683,6432,1899,1,1,1,32,32,1,30,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)"
1358176283,5120,1906,1,1,1,32,32,1,30,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,,13,"void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)"
1358647478,1792,1917,,,,,,,,,,0.028,15749.980,Device,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Device-to-Device]
1358658262,1344,1919,,,,,,,,,,0.007,5357.138,Device,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Device-to-Device]
1358666230,1344,1921,,,,,,,,,,0.008,5946.424,Device,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Device-to-Device]
1358677269,1344,1923,,,,,,,,,,0.000,142.857,Device,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Device-to-Device]
1358685301,1344,1925,,,,,,,,,,0.000,71.429,Device,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Device-to-Device]
1358693077,1344,1927,,,,,,,,,,0.000,288.690,Device,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Device-to-Device]
1358703797,1312,1929,,,,,,,,,,0.000,149.390,Device,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Device-to-Device]
1358724501,7840,1930,,,,,,,,,,0.135,17236.732,Pinned,Device,NVIDIA A100-SXM4-40GB (0),1,,13,[CUDA memcpy Host-to-Device]
