gap_ns,prev_end_ns,next_start_ns,prev_kernel,next_kernel,ai_events_within_1ms
110462895,1780240066338593320,1780240066449056215,convert_kernel,cupy_copy__complex64_complex64,none
89046379,1780240070414372987,1780240070503419366,cupy_copy__complex64_complex64,convert_kernel,none
76224357,1780240066592394812,1780240066668619169,convert_kernel,cupy_copy__float16_float16,none
71771314,1780240066199861685,1780240066271632999,convert_kernel,convert_kernel,none
71386582,1780240066450785413,1780240066522171995,chEstFilterNoDftSOfdmDispatchKernel,cupy_copy__complex64_complex64,none
71055033,1780240066668778943,1780240066739833976,cupy_copy__complex64_complex64,cupy_copy__float32_float32,none
70736928,1780240069404245115,1780240069474982043,convert_kernel,noiseIntfEstNoDftSOfdmKernel,none
67913144,1780240066523441742,1780240066591354886,cupy_copy__complex64_complex64,cupy_copy__float32_float32,none
66794019,1780240066271715558,1780240066338509577,convert_kernel,convert_kernel,none
34330664,1780240066857959706,1780240066892290370,convert_kernel,noiseIntfEstNoDftSOfdmKernel,none
34285929,1780240066896421113,1780240066930707042,cupy_copy__complex64_complex64,convert_kernel,none
23310808,1780240069375803830,1780240069399114638,convert_kernel,noiseIntfEstNoDftSOfdmKernel,none
18173195,1780240070394994460,1780240070413167655,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
4959279,1780240069348211272,1780240069353170551,cupy_copy__float32_float32,convert_kernel,none
4560210,1780240069353759665,1780240069358319875,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
4455604,1780240066963125661,1780240066967581265,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
4339892,1780240066953793019,1780240066958132911,convert_kernel,noiseIntfEstNoDftSOfdmKernel,none
4257813,1780240066958280494,1780240066962538307,cupy_copy__float32_float32,convert_kernel,none
4124023,1780240067041041873,1780240067045165896,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
4078680,1780240070332319659,1780240070336398339,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
3882330,1780240069332282758,1780240069336165088,convert_kernel,noiseIntfEstNoDftSOfdmKernel,none
3735067,1780240069336309150,1780240069340044217,cupy_copy__float32_float32,convert_kernel,none
3652251,1780240069327142874,1780240069330795125,cupy_copy__complex64_complex64,convert_kernel,none
3635003,1780240069344433742,1780240069348068745,convert_kernel,noiseIntfEstNoDftSOfdmKernel,none
3604668,1780240070350865267,1780240070354469935,cupy_copy__complex64_complex64,convert_kernel,none
3405630,1780240067068348161,1780240067071753791,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
3108257,1780240066967634960,1780240066970743217,cupy_copy__complex64_complex64,convert_kernel,none
2991106,1780240066988748125,1780240066991739231,convert_kernel,noiseIntfEstNoDftSOfdmKernel,none
2849251,1780240070347668659,1780240070350517910,convert_kernel,eqMmseCoefCompLowMimoKernel,none
2776741,1780240070362306625,1780240070365083366,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
2746021,1780240067012368432,1780240067015114453,cupy_copy__complex64_complex64,convert_kernel,none
2732965,1780240066991882013,1780240066994614978,cupy_copy__float32_float32,convert_kernel,none
2614822,1780240066984650726,1780240066987265548,cupy_copy__complex64_complex64,convert_kernel,none
2596230,1780240069324200151,1780240069326796381,convert_kernel,eqMmseCoefCompLowMimoKernel,none
2579590,1780240066893788307,1780240066896367897,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
2565414,1780240070340711768,1780240070343277182,cupy_copy__complex64_complex64,convert_kernel,none
2560999,1780240067009460397,1780240067012021396,convert_kernel,eqMmseCoefCompLowMimoKernel,none
2489959,1780240067091636985,1780240067094126944,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
2388425,1780240070369123549,1780240070371511974,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
2259690,1780240069361882624,1780240069364142314,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
2070892,1780240067045219047,1780240067047289939,cupy_copy__complex64_complex64,convert_kernel,none
2062795,1780240066974274606,1780240066976337401,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
2061227,1780240067033379838,1780240067035441065,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
2016300,1780240067001461949,1780240067003478249,convert_kernel,windowedChEstPreNoDftSOfdmKernel,none
2014540,1780240067035493993,1780240067037508533,cupy_copy__complex64_complex64,convert_kernel,none
1881614,1780240070374468168,1780240070376349782,cupy_copy__complex64_complex64,convert_kernel,none
1805709,1780240067019531945,1780240067021337654,convert_kernel,eqMmseCoefCompLowMimoKernel,none
1725647,1780240069366709936,1780240069368435583,cupy_copy__complex64_complex64,convert_kernel,none
