gap_ns,prev_end_ns,next_start_ns,prev_kernel,next_kernel,ai_events_within_1ms
106490939,1780240153966887537,1780240154073378476,convert_kernel,cupy_copy__complex64_complex64,A2_S34_4gL1_resnet2g_ai/kernel/21/vectorized_elementwise_kernel;A2_S34_4gL1_resnet2g_ai/kernel/21/vectorized_elementwise_kernel
89628958,1780240154074454209,1780240154164083167,chEstFilterNoDftSOfdmDispatchKernel,cupy_copy__complex64_complex64,A2_S34_4gL1_resnet2g_ai/kernel/19/nchwToNhwcKernel;A2_S34_4gL1_resnet2g_ai/kernel/19/nchwToNhwcKernel
85871842,1780240154244140473,1780240154330012315,convert_kernel,cupy_copy__float16_float16,A2_S34_4gL1_resnet2g_ai/kernel/4/batch_norm_transform_input_kernel;A2_S34_4gL1_resnet2g_ai/kernel/4/batch_norm_transform_input_kernel
76383486,1780240154165899245,1780240154242282731,cupy_copy__complex64_complex64,cupy_copy__float32_float32,A2_S34_4gL1_resnet2g_ai/kernel/14/ampere_fp16_s1688gemm_fp16_256x128_ldg8_f2f_stages_32x1_nn;A2_S34_4gL1_resnet2g_ai/kernel/14/ampere_fp16_s1688gemm_fp16_256x128_ldg8_f2f_stages_32x1_nn
76327838,1780240154330232697,1780240154406560535,cupy_copy__complex64_complex64,cupy_copy__float32_float32,A2_S34_4gL1_resnet2g_ai/kernel/27/batch_norm_transform_input_kernel;A2_S34_4gL1_resnet2g_ai/kernel/27/batch_norm_transform_input_kernel
72207366,1780240153827520852,1780240153899728218,convert_kernel,convert_kernel,A2_S34_4gL1_resnet2g_ai/kernel/19/vectorized_elementwise_kernel;A2_S34_4gL1_resnet2g_ai/kernel/19/vectorized_elementwise_kernel
66991065,1780240153899812089,1780240153966803154,convert_kernel,convert_kernel,A2_S34_4gL1_resnet2g_ai/kernel/13/max_pool_forward_nchw;A2_S34_4gL1_resnet2g_ai/kernel/13/max_pool_forward_nchw
3524894,1780240154820768994,1780240154824293888,cupy_copy__complex64_complex64,convert_kernel,A2_S34_4gL1_resnet2g_ai/kernel/6/batch_norm_transform_input_kernel;A2_S34_4gL1_resnet2g_ai/kernel/6/batch_norm_transform_input_kernel
2572423,1780240155712737065,1780240155715309488,convert_kernel,eqMmseCoefCompLowMimoKernel,A2_S34_4gL1_resnet2g_ai/kernel/5/ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn;A2_S34_4gL1_resnet2g_ai/kernel/5/ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
2559624,1780240155980712986,1780240155983272610,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/16/Kernel;A2_S34_4gL1_resnet2g_ai/kernel/16/Kernel
1985325,1780240157321634196,1780240157323619521,convert_kernel,noiseIntfEstNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/32/batch_norm_transform_input_kernel;A2_S34_4gL1_resnet2g_ai/kernel/32/batch_norm_transform_input_kernel
1586833,1780240154612768144,1780240154614354977,cupy_copy__complex64_complex64,cupy_copy__complex64_complex64,A2_S34_4gL1_resnet2g_ai/kernel/24/batch_norm_transform_input_kernel;A2_S34_4gL1_resnet2g_ai/kernel/24/batch_norm_transform_input_kernel
1123957,1780240155447642204,1780240155448766161,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/22/vectorized_elementwise_kernel;A2_S34_4gL1_resnet2g_ai/kernel/22/vectorized_elementwise_kernel
1023542,1780240154677108262,1780240154678131804,cupy_copy__float32_float32,convert_kernel,A2_S34_4gL1_resnet2g_ai/kernel/13/vectorized_elementwise_kernel;A2_S34_4gL1_resnet2g_ai/kernel/13/vectorized_elementwise_kernel
1018359,1780240155930840761,1780240155931859120,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/18/ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn;A2_S34_4gL1_resnet2g_ai/kernel/18/ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
998454,1780240158491408643,1780240158492407097,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/22/nchwToNhwcKernel;A2_S34_4gL1_resnet2g_ai/kernel/22/nchwToNhwcKernel
979319,1780240154954217408,1780240154955196727,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/27/Kernel;A2_S34_4gL1_resnet2g_ai/kernel/27/Kernel
967479,1780240155824492119,1780240155825459598,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/18/vectorized_elementwise_kernel;A2_S34_4gL1_resnet2g_ai/kernel/18/vectorized_elementwise_kernel
920535,1780240154884827131,1780240154885747666,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/14/batch_norm_transform_input_kernel;A2_S34_4gL1_resnet2g_ai/kernel/14/batch_norm_transform_input_kernel
900856,1780240157360907326,1780240157361808182,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/24/vectorized_elementwise_kernel;A2_S34_4gL1_resnet2g_ai/kernel/24/vectorized_elementwise_kernel
898039,1780240154570124202,1780240154571022241,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/6/sm80_xmma_fprop_image_first_layer_f16f16_f32_f16_nhwckrsc_nhwc_hmma_k64c4r7s7_stride2x2_tile16x64x64_tensor1688_execute_kernel_kernel__5x_cudnn;A2_S34_4gL1_resnet2g_ai/kernel/6/sm80_xmma_fprop_image_first_layer_f16f16_f32_f16_nhwckrsc_nhwc_hmma_k64c4r7s7_stride2x2_tile16x64x64_tensor1688_execute_kernel_kernel__5x_cudnn
893208,1780240155298197303,1780240155299090511,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/24/Kernel;A2_S34_4gL1_resnet2g_ai/kernel/24/Kernel
887544,1780240154699473871,1780240154700361415,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/18/vectorized_elementwise_kernel;A2_S34_4gL1_resnet2g_ai/kernel/18/vectorized_elementwise_kernel
884631,1780240155752281005,1780240155753165636,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/6/nhwcToNchwKernel;A2_S34_4gL1_resnet2g_ai/kernel/6/nhwcToNchwKernel
881368,1780240157453349103,1780240157454230471,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/19/vectorized_elementwise_kernel;A2_S34_4gL1_resnet2g_ai/kernel/19/vectorized_elementwise_kernel
878199,1780240155054362366,1780240155055240565,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/20/Kernel;A2_S34_4gL1_resnet2g_ai/kernel/20/Kernel
877591,1780240154703398538,1780240154704276129,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/26/Kernel;A2_S34_4gL1_resnet2g_ai/kernel/26/Kernel
876503,1780240155281909012,1780240155282785515,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/15/nhwcToNchwKernel;A2_S34_4gL1_resnet2g_ai/kernel/15/nhwcToNchwKernel
871480,1780240158111823643,1780240158112695123,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/12/Kernel;A2_S34_4gL1_resnet2g_ai/kernel/12/Kernel
869655,1780240158313838267,1780240158314707922,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/15/max_pool_forward_nchw;A2_S34_4gL1_resnet2g_ai/kernel/15/max_pool_forward_nchw
866616,1780240155081265979,1780240155082132595,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/14/ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn;A2_S34_4gL1_resnet2g_ai/kernel/14/ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
865624,1780240154818660598,1780240154819526222,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/9/max_pool_forward_nchw;A2_S34_4gL1_resnet2g_ai/kernel/9/max_pool_forward_nchw
865431,1780240155294293981,1780240155295159412,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/26/Kernel;A2_S34_4gL1_resnet2g_ai/kernel/26/Kernel
863095,1780240157357082595,1780240157357945690,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/15/batch_norm_transform_input_kernel;A2_S34_4gL1_resnet2g_ai/kernel/15/batch_norm_transform_input_kernel
862391,1780240154719742285,1780240154720604676,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/7/vectorized_elementwise_kernel;A2_S34_4gL1_resnet2g_ai/kernel/7/vectorized_elementwise_kernel
861944,1780240157552977212,1780240157553839156,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A2_S34_4gL1_resnet2g_ai/kernel/10/batch_norm_transform_input_kernel;A2_S34_4gL1_resnet2g_ai/kernel/10/batch_norm_transform_input_kernel
