gap_ns,prev_end_ns,next_start_ns,prev_kernel,next_kernel,ai_events_within_1ms
117400904,1780240215741328960,1780240215858729864,convert_kernel,cupy_copy__complex64_complex64,A3_M5c_resnet_ai/kernel/10/nhwcToNchwKernel
77304238,1780240215860011613,1780240215937315851,chEstFilterNoDftSOfdmDispatchKernel,cupy_copy__complex64_complex64,A3_M5c_resnet_ai/kernel/11/sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
74923684,1780240216009569158,1780240216084492842,convert_kernel,cupy_copy__float16_float16,A3_M5c_resnet_ai/kernel/10/nhwcToNchwKernel
73688750,1780240216084622057,1780240216158310807,cupy_copy__complex64_complex64,cupy_copy__float32_float32,A3_M5c_resnet_ai/kernel/22/batch_norm_transform_input_kernel
70039151,1780240215938435201,1780240216008474352,cupy_copy__complex64_complex64,cupy_copy__float32_float32,A3_M5c_resnet_ai/kernel/22/batch_norm_transform_input_kernel
69514388,1780240215671729517,1780240215741243905,convert_kernel,convert_kernel,A3_M5c_resnet_ai/kernel/3/batch_norm_transform_input_kernel
68730587,1780240215602907987,1780240215671638574,convert_kernel,convert_kernel,A3_M5c_resnet_ai/kernel/35/Kernel
22657080,1780240218637129963,1780240218659787043,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/18/batch_norm_transform_input_kernel
3654848,1780240218659831362,1780240218663486210,cupy_copy__complex64_complex64,convert_kernel,A3_M5c_resnet_ai/kernel/28/batch_norm_transform_input_kernel
2029262,1780240217892668142,1780240217894697404,cupy_copy__float32_float32,cupy_copy__complex64_complex64,A3_M5c_resnet_ai/kernel/15/batch_norm_transform_input_kernel
1654354,1780240219638449404,1780240219640103758,convert_kernel,noiseIntfEstNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/24/sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn
1389684,1780240220498137273,1780240220499526957,cupy_copy__complex64_complex64,convert_kernel,A3_M5c_resnet_ai/kernel/6/nhwcToNchwKernel
1324181,1780240216823436317,1780240216824760498,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/26/batch_norm_transform_input_kernel
1304053,1780240217516682934,1780240217517986987,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/25/Kernel
1221558,1780240216743070662,1780240216744292220,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/13/vectorized_elementwise_kernel
1198901,1780240216448660283,1780240216449859184,cupy_copy__float32_float32,convert_kernel,A3_M5c_resnet_ai/kernel/4/batch_norm_transform_input_kernel
1197654,1780240216508220746,1780240216509418400,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/14/vectorized_elementwise_kernel
1182902,1780240216404849279,1780240216406032181,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/12/batch_norm_transform_input_kernel
1176150,1780240219378560500,1780240219379736650,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/8/batch_norm_transform_input_kernel
1160982,1780240217108228030,1780240217109389012,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/18/vectorized_elementwise_kernel
1124086,1780240217334152202,1780240217335276288,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/14/ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
1105750,1780240216996752220,1780240216997857970,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/14/batch_norm_transform_input_kernel
1077207,1780240216778596971,1780240216779674178,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/7/nchwToNhwcKernel
1076246,1780240217036313917,1780240217037390163,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/15/vectorized_elementwise_kernel
1074038,1780240217463097074,1780240217464171112,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/21/batch_norm_transform_input_kernel
1064279,1780240217369967724,1780240217371032003,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/29/batch_norm_transform_input_kernel
1059831,1780240220510588204,1780240220511648035,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/10/vectorized_elementwise_kernel
1051383,1780240220639846848,1780240220640898231,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/22/vectorized_elementwise_kernel
1049975,1780240219794295931,1780240219795345906,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/23/Kernel
1046454,1780240216303060748,1780240216304107202,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/13/nchwToNhwcKernel
1046294,1780240217427595437,1780240217428641731,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/15/max_pool_forward_nchw
1045367,1780240220345663348,1780240220346708715,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/29/Kernel
1044055,1780240216510606613,1780240216511650668,convert_kernel,windowedChEstPreNoDftSOfdmKernel,A3_M5c_resnet_ai/kernel/19/vectorized_elementwise_kernel
