gap_ns,prev_end_ns,next_start_ns,prev_kernel,next_kernel,ai_events_within_1ms
116110967,1780240303573993224,1780240303690104191,convert_kernel,cupy_copy__complex64_complex64,A4_M8a_forecaster_ai/kernel/5/ampere_sgemm_32x128_tn;A4_M8a_resnet_ai/kernel/8/nchwToNhwcKernel
88264175,1780240303999917688,1780240304088181863,convert_kernel,eqMmseCoefCompLowMimoKernel,A4_M8a_forecaster_ai/kernel/3/ampere_sgemm_64x64_tn;A4_M8a_resnet_ai/kernel/21/vectorized_elementwise_kernel
79440317,1780240303691378643,1780240303770818960,chEstFilterNoDftSOfdmDispatchKernel,cupy_copy__complex64_complex64,A4_M8a_forecaster_ai/kernel/6/ampere_sgemm_64x64_tn;A4_M8a_resnet_ai/kernel/8/nchwToNhwcKernel
75220642,1780240303844816381,1780240303920037023,convert_kernel,cupy_copy__float16_float16,A4_M8a_forecaster_ai/kernel/6/ampere_sgemm_128x64_tn;A4_M8a_resnet_ai/kernel/14/nchwToNhwcKernel
74796326,1780240303920150334,1780240303994946660,cupy_copy__complex64_complex64,cupy_copy__float32_float32,A4_M8a_forecaster_ai/kernel/6/ampere_sgemm_128x64_tn;A4_M8a_resnet_ai/kernel/6/nhwcToNchwKernel
71430148,1780240303771896102,1780240303843326250,cupy_copy__complex64_complex64,cupy_copy__float32_float32,A4_M8a_forecaster_ai/kernel/7/elementwise_kernel;A4_M8a_resnet_ai/kernel/7/nchwToNhwcKernel
71416228,1780240303433380588,1780240303504796816,convert_kernel,convert_kernel,A4_M8a_forecaster_ai/kernel/10/ampere_sgemm_128x128_tt;A4_M8a_resnet_ai/kernel/3/batch_norm_transform_input_kernel
69015769,1780240303504887472,1780240303573903241,convert_kernel,convert_kernel,A4_M8a_forecaster_ai/kernel/3/ampere_sgemm_64x64_tn;A4_M8a_resnet_ai/kernel/15/batch_norm_transform_input_kernel
3135653,1780240306814116034,1780240306817251687,cupy_copy__float32_float32,convert_kernel,A4_M8a_forecaster_ai/kernel/4/vectorized_layer_norm_kernel;A4_M8a_resnet_ai/kernel/13/Kernel
2799048,1780240306495754675,1780240306498553723,cupy_copy__float32_float32,convert_kernel,A4_M8a_forecaster_ai/kernel/6/ampere_sgemm_32x128_tn;A4_M8a_resnet_ai/kernel/14/vectorized_elementwise_kernel
2629609,1780240306505099651,1780240306507729260,convert_kernel,eqMmseCoefCompLowMimoKernel,A4_M8a_forecaster_ai/kernel/7/vectorized_layer_norm_kernel;A4_M8a_resnet_ai/kernel/9/vectorized_elementwise_kernel
2471339,1780240306513773400,1780240306516244739,convert_kernel,noiseIntfEstNoDftSOfdmKernel,A4_M8a_forecaster_ai/kernel/3/ampere_sgemm_64x64_tn;A4_M8a_resnet_ai/kernel/14/nchwToNhwcKernel
