scenario,n_runs,n_kernels,med_dur_us,p99_dur_us,med_gap_us,p95_gap_us,p99_gap_us,p999_gap_us,max_gap_us,idle_pct,burst_share_top1,longtail_p99_p50,longtail_p999_p99
C1_2gL1_chanpred_b1,2,15376.00,6.50,279.87,1.26,294.43,1397.68,2262.99,108989.75,81.43,0.43,1106.38,1.62
C1_2gL1_chanpred_b16,2,15376.00,6.51,279.85,1.25,331.28,1567.84,1612.15,117964.36,82.10,0.40,1256.28,1.03
C1_2gL1_chanpred_b4,2,15376.00,6.38,279.89,1.25,311.37,1484.12,2565.77,113795.03,82.44,0.44,1189.20,1.69
C1_2gL1_chanpred_b64,2,15376.00,6.48,280.05,1.25,332.47,1569.91,1835.02,119469.88,82.37,0.40,1257.94,1.17
C2_3gL1_chanpred_b1,2,15376.00,5.68,280.06,1.28,274.53,882.82,3145.79,109125.70,80.13,0.49,689.71,3.62
C2_3gL1_chanpred_b16,2,15376.00,5.70,280.11,1.28,286.39,875.06,1090.87,111641.66,78.61,0.46,683.64,1.26
C2_3gL1_chanpred_b4,2,15376.00,5.95,280.05,1.28,273.71,897.78,947.11,111454.60,78.95,0.46,701.39,1.06
C2_3gL1_chanpred_b64,2,15376.00,5.51,280.25,1.28,270.71,899.33,2152.16,113209.39,79.50,0.48,702.60,2.28
C3_4gL1_chanpred_b1,2,15376.00,5.45,281.18,1.15,278.89,978.08,1048.82,115032.15,79.59,0.45,849.64,1.07
C3_4gL1_chanpred_b16,2,15376.00,5.25,280.99,1.17,270.04,895.23,1051.10,110099.65,78.79,0.45,770.61,1.17
C3_4gL1_chanpred_b4,2,15376.00,5.28,280.91,1.17,284.22,975.08,1048.47,116721.24,79.80,0.45,834.98,1.08
C3_4gL1_chanpred_b64,2,15376.00,5.26,281.39,1.22,271.66,897.73,934.48,111309.26,78.73,0.45,738.27,1.04
C4_3gL1_fore_d1024,2,15376.00,5.86,280.42,1.26,276.74,953.76,1000.92,113725.36,79.24,0.45,754.90,1.05
C4_3gL1_fore_d128,2,15376.00,5.74,279.81,1.26,287.41,977.53,1050.73,116789.61,79.55,0.45,773.46,1.07
C4_3gL1_fore_d256,2,15376.00,5.43,280.35,1.26,278.74,972.53,1081.77,114414.89,79.45,0.45,769.80,1.11
C4_3gL1_fore_d512,2,15376.00,5.66,280.21,1.26,279.15,974.81,1099.98,114655.92,79.87,0.46,771.32,1.13
