config,batch_or_dim,p99_gap_us,p999_gap_us,idle_pct,burst_share
C1_2gL1_chanpred,1,1397.7,2263.0,81.43,0.427
C1_2gL1_chanpred,16,1567.8,1612.1,82.10,0.403
C1_2gL1_chanpred,4,1484.1,2565.8,82.44,0.438
C1_2gL1_chanpred,64,1569.9,1835.0,82.37,0.405
C2_3gL1_chanpred,1,882.8,3145.8,80.13,0.490
C2_3gL1_chanpred,16,875.1,1090.9,78.61,0.457
C2_3gL1_chanpred,4,897.8,947.1,78.95,0.462
C2_3gL1_chanpred,64,899.3,2152.2,79.50,0.476
C3_4gL1_chanpred,1,978.1,1048.8,79.59,0.446
C3_4gL1_chanpred,16,895.2,1051.1,78.79,0.452
C3_4gL1_chanpred,4,975.1,1048.5,79.80,0.453
C3_4gL1_chanpred,64,897.7,934.5,78.73,0.454
C4_3gL1_fore,1024,953.8,1000.9,79.24,0.450
C4_3gL1_fore,128,977.5,1050.7,79.55,0.448
C4_3gL1_fore,256,972.5,1081.8,79.45,0.446
C4_3gL1_fore,512,974.8,1100.0,79.87,0.456
