scenario,kernel_name,count,total_dur_us,median_dur_us,median_post_gap_us,p95_post_gap_us,p99_post_gap_us,max_post_gap_us
S10_2g_alone,convert_kernel,7728,1010384.404,78.079,157.054,1412.396,1605.385,117223.792
S10_2g_alone,cupy_copy__complex64_complex64,19200,168865.898,3.008,1.12,19.968,135.742,74585.794
S10_2g_alone,ch_est::windowedChEstPreNoDftSOfdmKernel,1920,15395.27,7.84,1.056,1.28,1.408,146.334
S10_2g_alone,ch_est::chEstFilterNoDftSOfdmDispatchKernel,3840,23189.383,6.56,1.024,1.312,1.504,74243.335
S10_2g_alone,pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,1920,18137.387,9.248,1.088,1.632,1.952,126.494
S10_2g_alone,cupy_copy__float32_float32,5760,9990.579,1.6,67.007,265.468,327.58,39580.447
S10_2g_alone,channel_eq::eqMmseCoefCompLowMimoKernel,1920,12754.074,6.496,0.992,1.344,1.536,3.648
S10_2g_alone,channel_eq::eqMmseSoftDemapKernel,1920,13237.602,6.752,1.024,1.28,1.504,4.543
S10_2g_alone,cupy_copy__float16_float16,1920,35297.499,17.984,1.024,1.28,1.504,165.693
S12_2g_2AI,convert_kernel,7728,988013.265,77.951,158.398,1419.116,1552.33,119042.075
S12_2g_2AI,cupy_copy__complex64_complex64,19200,166702.891,2.976,1.088,20.799,124.511,73047.885
S12_2g_2AI,ch_est::windowedChEstPreNoDftSOfdmKernel,1920,15014.109,7.776,1.088,1.92,2.048,2.112
S12_2g_2AI,ch_est::chEstFilterNoDftSOfdmDispatchKernel,3840,22320.464,5.568,1.056,1.216,1.216,79233.847
S12_2g_2AI,pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,1920,17684.22,9.152,1.12,1.568,1.76,2504.925
S12_2g_2AI,cupy_copy__float32_float32,5760,9856.311,1.6,66.335,264.86,271.452,1285.518
S12_2g_2AI,channel_eq::eqMmseCoefCompLowMimoKernel,1920,12493.857,6.496,1.024,1.216,1.216,5.152
S12_2g_2AI,channel_eq::eqMmseSoftDemapKernel,1920,12954.594,6.72,1.056,1.216,1.216,184.126
S12_2g_2AI,cupy_copy__float16_float16,1920,34301.356,17.856,1.024,1.216,1.216,155.774
S13_3g_sat_compute,convert_kernel,7728,995962.424,79.391,111.263,848.533,987.155,116287.248
S13_3g_sat_compute,cupy_copy__complex64_complex64,19200,119246.912,2.656,1.184,32.128,143.902,73420.617
S13_3g_sat_compute,ch_est::windowedChEstPreNoDftSOfdmKernel,1920,14278.955,7.392,1.088,1.856,1.92,2.048
S13_3g_sat_compute,ch_est::chEstFilterNoDftSOfdmDispatchKernel,3840,21022.295,5.375,1.024,1.184,1.216,75720.834
S13_3g_sat_compute,pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,1920,16932.432,8.768,1.376,1.984,5.888,1000.466
S13_3g_sat_compute,cupy_copy__float32_float32,5760,9597.654,1.568,90.847,265.18,270.973,770.006
S13_3g_sat_compute,channel_eq::eqMmseCoefCompLowMimoKernel,1920,11655.572,6.08,1.024,1.216,1.216,189.15
S13_3g_sat_compute,channel_eq::eqMmseSoftDemapKernel,1920,10080.852,5.216,1.024,1.216,1.216,1.248
S13_3g_sat_compute,cupy_copy__float16_float16,1920,23824.153,12.384,1.024,1.216,1.216,128.958
S14_3g_sat_hbm,convert_kernel,7728,996136.006,79.391,112.095,848.373,988.788,118189.427
S14_3g_sat_hbm,cupy_copy__complex64_complex64,19200,119366.897,2.656,1.184,31.967,139.326,75303.117
S14_3g_sat_hbm,ch_est::windowedChEstPreNoDftSOfdmKernel,1920,14233.075,7.392,1.056,1.216,1.248,180.382
S14_3g_sat_hbm,ch_est::chEstFilterNoDftSOfdmDispatchKernel,3840,21568.623,6.048,1.024,1.216,1.216,77335.637
S14_3g_sat_hbm,pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,1920,16887.774,8.736,1.056,1.216,9.824,149.055
S14_3g_sat_hbm,cupy_copy__float32_float32,5760,9587.558,1.568,90.367,264.029,272.284,2699.55
S14_3g_sat_hbm,channel_eq::eqMmseCoefCompLowMimoKernel,1920,11659.462,6.08,1.056,1.216,1.216,1.312
S14_3g_sat_hbm,channel_eq::eqMmseSoftDemapKernel,1920,10168.033,5.28,1.024,1.216,1.216,1.312
S14_3g_sat_hbm,cupy_copy__float16_float16,1920,23842.521,12.416,1.024,1.216,1.216,136.414
S15_4g_sat_compute,convert_kernel,7728,993170.439,78.687,118.591,854.678,991.476,112750.766
S15_4g_sat_compute,cupy_copy__complex64_complex64,19200,102305.48,2.496,1.248,33.759,146.654,73608.39
S15_4g_sat_compute,ch_est::windowedChEstPreNoDftSOfdmKernel,1920,14004.912,7.263,1.184,1.28,1.312,1.312
S15_4g_sat_compute,ch_est::chEstFilterNoDftSOfdmDispatchKernel,3840,20799.59,5.92,1.216,1.567,1.632,76256.231
S15_4g_sat_compute,pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,1920,16646.469,8.607,1.12,1.856,8.224,145.502
S15_4g_sat_compute,cupy_copy__float32_float32,5760,9147.538,1.504,90.559,266.012,270.333,312.828
S15_4g_sat_compute,channel_eq::eqMmseCoefCompLowMimoKernel,1920,11323.906,5.888,1.216,1.28,1.312,1.312
S15_4g_sat_compute,channel_eq::eqMmseSoftDemapKernel,1920,9304.907,4.832,1.056,1.28,1.28,1.312
S15_4g_sat_compute,cupy_copy__float16_float16,1920,19740.325,10.272,1.184,1.28,1.28,134.911
S17_2g_sat_compute,convert_kernel,7728,988209.837,78.015,155.743,1400.689,1410.705,119491.752
S17_2g_sat_compute,cupy_copy__complex64_complex64,19200,165614.079,3.008,1.184,20.8,135.999,73996.433
S17_2g_sat_compute,ch_est::windowedChEstPreNoDftSOfdmKernel,1920,15067.877,7.776,1.088,1.856,1.952,2.08
S17_2g_sat_compute,ch_est::chEstFilterNoDftSOfdmDispatchKernel,3840,22348.537,5.632,1.088,1.216,1.248,75132.75
S17_2g_sat_compute,pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,1920,17771.97,9.215,1.056,1.248,1.28,112.063
S17_2g_sat_compute,cupy_copy__float32_float32,5760,9824.151,1.6,68.799,267.517,272.093,451.259
S17_2g_sat_compute,channel_eq::eqMmseCoefCompLowMimoKernel,1920,12478.05,6.496,1.024,1.184,1.216,43.072
S17_2g_sat_compute,channel_eq::eqMmseSoftDemapKernel,1920,12939.846,6.72,1.056,1.216,1.216,4.608
S17_2g_sat_compute,cupy_copy__float16_float16,1920,34298.56,17.856,1.024,1.216,1.216,110.206
S18_4g_neuralrx,convert_kernel,7728,993015.462,78.624,111.423,851.479,994.901,116313.293
S18_4g_neuralrx,cupy_copy__complex64_complex64,19200,103129.473,2.528,1.248,36.512,156.958,74658.367
S18_4g_neuralrx,ch_est::windowedChEstPreNoDftSOfdmKernel,1920,14001.225,7.263,1.216,1.28,1.312,140.319
S18_4g_neuralrx,ch_est::chEstFilterNoDftSOfdmDispatchKernel,3840,20911.355,5.951,1.088,1.536,1.632,75478.691
S18_4g_neuralrx,pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,1920,16784.374,8.64,1.12,5.312,13.824,184.126
S18_4g_neuralrx,cupy_copy__float32_float32,5760,9128.866,1.504,90.559,266.269,275.837,465.147
S18_4g_neuralrx,channel_eq::eqMmseCoefCompLowMimoKernel,1920,11336.909,5.888,1.216,1.28,1.312,1.376
