scenario,run,n_pairs,autocorr_lag1,mean_gap_us
S10_2g_alone,1,15374,-0.0008772049865885098,134.98625387017043
S10_2g_alone,2,15374,-0.001398622065937332,142.81766215688825
S10_2g_alone,3,15374,-0.0008681954480615802,127.91597541303499
S12_2g_2AI,1,15374,-0.0007079932608956053,117.08068980096266
S12_2g_2AI,2,15374,-0.0011587432272602868,130.19952491218942
S12_2g_2AI,3,15374,-0.0007148942491894711,116.09679140106672
S13_3g_sat_compute,1,15374,0.0006567486497837017,92.50193254845844
S13_3g_sat_compute,2,15374,0.000693349919457261,93.49621146090803
S13_3g_sat_compute,3,15374,0.00048031653563777193,99.19931533758293
S14_3g_sat_hbm,1,15374,0.0004742541958428205,99.28428736828411
S14_3g_sat_hbm,2,15374,0.0007044778999960048,92.72593671133083
S14_3g_sat_hbm,3,15374,0.0001833398432229432,104.7391555223104
S15_4g_sat_compute,1,15374,0.0007518262621479876,97.90061831663849
S15_4g_sat_compute,2,15374,0.00046812364464700155,99.93421868088981
S15_4g_sat_compute,3,15374,0.0008486414581978074,93.63137576427735
S17_2g_sat_compute,1,15374,-0.0007693635863157162,117.40082886691818
S17_2g_sat_compute,2,15374,-0.0007922822918742082,116.79647443736178
S17_2g_sat_compute,3,15374,-0.0007531712224096405,116.90077091192923
S18_4g_neuralrx,1,15374,0.0009243353784157003,101.40960979575907
S18_4g_neuralrx,2,15374,0.0007093753892544514,93.71300930141797
S18_4g_neuralrx,3,15374,0.0009083234174032362,94.64810361649539
S21_4g_2sat,1,15374,0.00018770691671318368,120.33196116820606
S21_4g_2sat,2,15374,0.00035655811048837977,105.20564719656562
S21_4g_2sat,3,15374,0.0007223980263021619,93.43026948094185
S22_2g_neuralrx,1,15374,-0.0010593249948759108,130.96008072069728
S22_2g_neuralrx,2,15374,-0.0009453898947448221,134.52586477169245
S22_2g_neuralrx,3,15374,-0.0018999576089118774,146.41667113308185
S24_3g_2sat,1,15374,0.0006982461810879927,106.57469676076492
S24_3g_2sat,2,15374,0.0006824088690004062,95.21194640301809
S24_3g_2sat,3,15374,0.000335465382557837,102.87437225185379
S26_4g_3sat,1,15374,0.003358144763346528,107.81444061402368
S26_4g_3sat,2,15374,0.00011169757991451108,117.2142912059321
S26_4g_3sat,3,15374,0.0008603225125141357,119.82527286327566
S27_3g_chanpred,1,15374,0.00044588821804232483,114.5067795628984
S27_3g_chanpred,2,15374,0.0014790346063376226,103.88709301417978
S27_3g_chanpred,3,15374,0.0006321176206272884,93.80347326655392
S28_3g_resnet,1,15374,0.0002706654410077613,109.05040900221152
S28_3g_resnet,2,15374,0.0004266515417549484,101.52375178873423
S28_3g_resnet,3,15374,0.00017311278714845463,111.09008020033822
S29_3g_forecaster,1,15374,0.0009825062083244642,93.61819038636659
S29_3g_forecaster,2,15374,0.00491815223060261,124.35306979315727
S29_3g_forecaster,3,15374,0.0002557628340979298,100.2748602185508
S2_7g_mig,1,15374,0.0007120025688955115,99.41936925978925
S2_7g_mig,2,15374,0.0013552654881344738,80.93134441264473
S2_7g_mig,3,15374,0.0021591109403815115,102.26236243007675
S30_3g_xapp,1,15374,0.00039725526454548887,106.17636444646807
S30_3g_xapp,2,15374,0.0008174458036539948,93.1096589696891
S30_3g_xapp,3,15374,0.00617334120282161,104.50913932613503
S31_3g_resnet_chanpred,1,15374,0.0008310996632379209,93.31943020684272
S31_3g_resnet_chanpred,2,15374,0.0001745800292404048,101.7938069467933
S31_3g_resnet_chanpred,3,15374,0.000819633687704241,93.3729880317419
S32_3g_resnet_forecaster,1,15374,0.0012810785444594087,93.77861103161182
S32_3g_resnet_forecaster,2,15374,0.00041922695212266877,98.90690763626903
S32_3g_resnet_forecaster,3,15374,0.0005417610282930675,99.09226030961364
S33_4g_chanpred,1,15374,0.002565661832523263,94.92191602705867
S33_4g_chanpred,2,15374,0.00025879461644521276,100.10936171458306
S33_4g_chanpred,3,15374,0.0003006163379728375,100.09246494080917
S34_4g_resnet,1,15374,0.0008197779316104162,92.82453596981918
S34_4g_resnet,2,15374,0.0005210535699236579,96.72136737348771
S34_4g_resnet,3,15374,0.0006229824349301939,92.82380870300507
S35_2g_chanpred,1,15374,-0.0008001377881457594,117.74857031351632
S35_2g_chanpred,2,15374,-0.0007493164152100371,123.27557441134383
S35_2g_chanpred,3,15374,-0.0006445407036334988,116.95244724860153
S36_4g_forecaster,1,15374,0.0007286177678847166,93.35937004032782
S36_4g_forecaster,2,15374,0.0009117682952835805,105.12547886041368
S36_4g_forecaster,3,15374,0.06432971630721497,104.86622407961492
S5_3g_alone,1,15374,0.0006413915966570738,92.5664624040588
S5_3g_alone,2,15374,0.0006923796328329925,97.89567906855731
S5_3g_alone,3,15374,0.0006736469324612652,97.01194789905034
S6_3g_qwen,1,15374,0.0002785550809233256,120.61773071419279
S6_3g_qwen,2,15374,0.00025028461206085185,109.44380271887603
S6_3g_qwen,3,15374,0.0007034171629770279,92.42231026408221
S7_3g_neuralrx,1,15374,0.000571580968387738,100.57314127748147
S7_3g_neuralrx,2,15374,-0.0005384639298154247,130.27824860153507
S7_3g_neuralrx,3,15374,0.001472361391020297,115.56343684142058
S9_3g_3AI_1g,1,15374,0.008726917385489766,104.85952289579811
S9_3g_3AI_1g,2,15374,-0.0002168034809067556,113.43636522700663
S9_3g_3AI_1g,3,15374,0.00018106280808406237,106.75905736958502
