scenario,n_gaps,min_us,p10_us,p25_us,p50_us,p75_us,p90_us,max_us,iqr,p75_p25_ratio,p90_p10_ratio
S10_2g_alone,44079,0.895,0.96,0.992,1.088,16.128,130.91,998.386,15.136,16.258064516129032,136.36458333333334
S12_2g_2AI,44175,0.895,0.96,1.024,1.088,16.031,129.022,551.769,15.006999999999998,15.655273437499998,134.39791666666667
S13_3g_sat_compute,46078,0.896,0.96,1.024,1.152,24.735,132.863,999.924,23.711,24.1552734375,138.39895833333333
S14_3g_sat_hbm,46067,0.895,0.96,1.024,1.088,23.936,132.831,997.619,22.912,23.375,138.365625
S15_4g_sat_compute,46098,0.959,0.992,1.056,1.248,21.343,134.59,999.188,20.287,20.211174242424242,135.67540322580646
S17_2g_sat_compute,44183,0.895,0.96,1.023,1.12,16.576,131.519,979.318,15.553,16.20332355816227,136.99895833333335
S18_4g_neuralrx,46056,0.959,0.992,1.088,1.248,28.063,134.11,999.541,26.974999999999998,25.79319852941176,135.19153225806454
S21_4g_2sat,46012,0.959,1.024,1.056,1.279,25.823,133.311,996.469,24.767,24.453598484848484,130.1865234375
S22_2g_neuralrx,44068,0.896,0.96,1.024,1.12,16.223,130.142,988.084,15.198999999999998,15.842773437499998,135.56458333333333
S24_3g_2sat,46003,0.895,0.928,0.992,1.088,26.08,131.423,985.847,25.087999999999997,26.29032258064516,141.61961206896552
S26_4g_3sat,45895,0.959,1.024,1.152,1.248,24.639,133.118,998.486,23.487,21.388020833333336,129.998046875
S2_7g_mig,45996,0.896,0.992,1.024,1.216,32.351,129.406,996.913,31.326999999999998,31.5927734375,130.44959677419357
S5_3g_alone,46067,0.895,0.992,1.055,1.184,26.944,130.335,966.291,25.889,25.539336492890996,131.38608870967744
S6_3g_qwen,45974,0.896,0.96,1.056,1.216,19.456,134.078,998.482,18.4,18.424242424242422,139.66458333333335
S7_3g_neuralrx,45876,0.896,0.96,1.024,1.216,18.528,140.351,999.347,17.503999999999998,18.09375,146.19895833333334
S9_3g_3AI_1g,45929,0.896,0.96,1.024,1.216,23.871,129.694,985.682,22.846999999999998,23.311523437499996,135.09791666666666
