from_kernel,to_kernel,count_in_baseline,S10_2g_alone_p99_us,S12_2g_2AI_p99_us,S13_3g_sat_compute_p99_us,S14_3g_sat_hbm_p99_us,S15_4g_sat_compute_p99_us,S17_2g_sat_compute_p99_us,S18_4g_neuralrx_p99_us,S21_4g_2sat_p99_us,S22_2g_neuralrx_p99_us,S24_3g_2sat_p99_us,S26_4g_3sat_p99_us,S27_3g_chanpred_p99_us,S28_3g_resnet_p99_us,S29_3g_forecaster_p99_us,S2_7g_mig_p99_us,S30_3g_xapp_p99_us,S31_3g_resnet_chanpred_p99_us,S32_3g_resnet_forecaster_p99_us,S33_4g_chanpred_p99_us,S34_4g_resnet_p99_us,S35_2g_chanpred_p99_us,S36_4g_forecaster_p99_us,S5_3g_alone_p99_us,S6_3g_qwen_p99_us,S7_3g_neuralrx_p99_us,S9_3g_3AI_1g_p99_us
cupy_copy__complex64_complex64,cupy_copy__complex64_complex64,9597,48.703,46.848,48.895,48.063,48.543,47.328,49.919,48.415,48.672,48.224,49.696,47.295,49.375,49.919,50.527,47.999,48.384,49.215,48.799,48.064,47.391,48.832,47.552,49.279,49.727,47.391
cupy_copy__complex64_complex64,cupy_copy__float32_float32,5760,20.16,21.024,33.887,34.399,34.752,20.351,35.967,34.816,20.768,40.895,37.407,33.632,36.416,33.824,40.64,34.079,33.728,34.144,33.536,33.696,20.992,36.191,34.367,32.383,25.92,39.167
cupy_copy__complex64_complex64,convert_kernel,3840,541.241,152.317,154.686,173.374,162.526,153.63,182.238,267.933,731.64,379.26,1703.023,326.587,274.908,314.619,1047.761,297.116,159.806,166.27,155.294,171.358,159.422,330.652,205.597,326.332,1025.202,1232.111
cupy_copy__float32_float32,cupy_copy__complex64_complex64,3840,90.303,91.263,100.543,106.079,98.367,90.207,123.391,106.719,106.815,108.319,105.279,101.566,104.735,99.455,108.318,98.047,109.246,99.295,104.575,103.295,102.463,100.702,98.495,106.303,103.615,105.79
convert_kernel,ch_est::windowedChEstPreNoDftSOfdmKernel,1920,2390.495,1572.97,1011.475,993.972,995.668,1413.777,1047.829,1022.452,2422.565,1194.068,2025.389,891.859,1093.329,1082.609,950.29,919.122,1019.41,992.787,1016.563,950.164,1425.582,883.605,876.148,1074.097,2051.748,2073.444
ch_est::windowedChEstPreNoDftSOfdmKernel,ch_est::chEstFilterNoDftSOfdmDispatchKernel,1920,1.408,2.048,1.92,1.248,1.312,1.952,1.312,1.312,1.248,1.248,1.344,1.248,1.248,1.248,1.28,1.248,1.92,1.248,3.648,1.312,1.248,1.312,1.248,1.952,2.112,1.248
ch_est::chEstFilterNoDftSOfdmDispatchKernel,ch_est::chEstFilterNoDftSOfdmDispatchKernel,1920,1.504,1.216,1.216,1.216,1.632,1.216,1.632,1.312,1.248,1.216,1.312,1.216,1.216,1.216,1.28,1.216,1.856,1.216,1.312,1.312,1.248,1.312,1.216,1.248,1.248,2.144
ch_est::chEstFilterNoDftSOfdmDispatchKernel,cupy_copy__complex64_complex64,1920,1.408,1.248,1.216,1.216,1.312,1.248,1.312,1.312,1.248,1.248,1.28,1.216,1.216,1.216,1.28,1.12,1.888,1.248,2.496,1.312,1.216,1.312,1.248,1.216,1.12,1.248
convert_kernel,pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,1920,1372.461,328.443,292.188,356.795,289.308,300.125,314.557,346.268,1959.497,846.231,1545.553,448.346,383.61,437.37,562.264,411.419,322.14,286.077,328.636,277.276,312.508,509.913,287.836,363.162,1126.929,1752.808
pusch_noise_intf_est::noiseIntfEstNoDftSOfdmKernel,cupy_copy__complex64_complex64,1920,1.952,1.76,5.888,9.824,8.224,1.28,13.824,12.448,2.112,19.488,10.176,7.072,14.624,6.112,37.888,9.248,5.664,4.896,7.455,9.568,1.568,11.872,8.416,4.8,1.728,12.416
cupy_copy__float32_float32,convert_kernel,1920,1136.529,288.38,275.1,337.756,274.62,278.653,307.645,384.348,1255.73,643.961,1435.41,345.627,372.859,396.954,421.082,382.81,285.884,275.677,278.396,275.324,291.452,340.924,337.275,394.106,1211.216,1439.468
convert_kernel,channel_eq::eqMmseCoefCompLowMimoKernel,1920,1943.718,244.637,269.629,252.285,249.213,212.958,279.261,407.387,1246.994,516.507,1917.421,273.788,409.722,412.986,1256.878,291.068,265.564,249.693,275.229,239.932,225.758,270.877,255.101,362.554,1342.285,1346.094
channel_eq::eqMmseCoefCompLowMimoKernel,channel_eq::eqMmseSoftDemapKernel,1920,1.536,1.216,1.216,1.216,1.312,1.216,1.312,1.312,1.248,1.216,1.312,1.216,1.6,1.216,1.28,1.216,1.216,1.216,1.312,1.696,1.248,1.312,1.248,1.248,1.28,1.248
channel_eq::eqMmseSoftDemapKernel,convert_kernel,1920,1.504,1.216,1.216,1.216,1.28,1.216,1.28,1.312,1.216,1.216,1.312,1.216,1.216,1.216,1.248,1.216,1.216,1.216,1.28,1.312,1.248,1.312,1.216,1.248,1.248,1.248
convert_kernel,cupy_copy__float16_float16,1920,1.44,1.152,1.152,1.152,1.248,1.152,1.248,1.248,1.184,1.152,1.248,1.152,1.216,1.152,1.216,1.152,1.184,1.152,1.28,1.248,1.184,1.248,1.152,1.184,1.184,1.184
cupy_copy__float16_float16,cupy_copy__complex64_complex64,1920,1.504,1.216,1.216,1.216,1.28,1.216,14.368,1.312,5.184,1.216,1.312,1.216,1.216,1.216,1.28,1.216,1.216,1.216,1.312,1.312,1.216,1.312,1.216,1.216,1.216,1.216
