scenario,n_gaps,total_gap_us,p99_threshold_us,p999_threshold_us,top1pct_sum_us,top1pct_fraction,top0_1pct_sum_us,top0_1pct_fraction
S10_2g_alone,46125,6237540.683,1410.765,4785.663,2904356.912,0.46562532568575155,2193202.37,0.35161331708463667
S12_2g_2AI,46125,5586560.876,1412.876,1572.011,2379603.078,0.4259513376508313,1771286.337,0.3170620308837032
S13_3g_sat_compute,46125,4384628.844,846.869,1000.466,2028078.513,0.46254280240282064,1657436.947,0.37801077490699464
S14_3g_sat_hbm,46125,4562228.098,847.253,1161.169,2180967.863,0.4780488428353895,1805277.039,0.3957007410022751
S15_4g_sat_compute,46125,4481004.723,853.013,995.283,2022386.094,0.4513242495861569,1635341.915,0.3649498306944766
S17_2g_sat_compute,46125,5397784.641,1398.545,1413.169,2279300.72,0.42226596124030136,1696195.409,0.3142391780724621
S18_4g_neuralrx,46125,4454938.227,849.911,1027.893,2050577.852,0.4602932178884284,1676084.516,0.37623069739593046
S21_4g_2sat,46125,4903815.386,820.887,3902.678,2468894.469,0.5034639917417152,2030424.598,0.41404996684758966
S22_2g_neuralrx,46125,6332593.964,1436.591,4720.811,2937472.669,0.4638656268977867,2217623.97,0.3501920354608101
S24_3g_2sat,46125,4683861.427,815.383,3284.321,2321267.133,0.49558834503922655,1922841.556,0.41052485987647475
S26_4g_3sat,46125,5301817.691,829.08,5126.829,2796612.179,0.5274817698366611,2185908.796,0.41229422122730625
S27_3g_chanpred,46125,4799725.194,822.164,3859.113,2465117.734,0.5135955985733461,2054548.956,0.4280555392146895
S28_3g_resnet,46125,4945269.209,933.811,2852.856,2392442.205,0.48378401738897125,1948309.834,0.3939744737160577
S29_3g_forecaster,46125,4892719.055,853.429,2500.543,2382574.007,0.48696317532583117,1958587.927,0.40030664033293856
S2_7g_mig,46125,4344896.344,534.936,3706.667,2363702.202,0.5440180880872126,1993960.316,0.4589201118119931
S30_3g_xapp,46125,4670612.463,813.685,3449.778,2357073.491,0.5046604721912678,1964950.337,0.4207050686748446
S31_3g_resnet_chanpred,46125,4435190.266,862.357,1018.003,2032994.893,0.45837828166806316,1653186.089,0.37274299181103043
S32_3g_resnet_forecaster,46125,4485794.582,852.758,991.252,2025065.847,0.4514397193143696,1635973.979,0.3647010466249656
S33_4g_chanpred,46125,4537235.652,875.893,1016.499,2041942.899,0.4500411826967633,1643232.848,0.3621660795325162
S34_4g_resnet,46125,4341155.185,817.366,948.628,1998811.784,0.46043315634200255,1643558.727,0.3785993950824405
S35_2g_chanpred,46125,5503538.941,1403.118,1425.294,2369085.512,0.4304658397800914,1781418.767,0.3236860474864404
S36_4g_forecaster,46125,4663722.724,817.365,1811.176,2312611.82,0.4958724943271306,1951982.387,0.4185459776489062
S5_3g_alone,46125,4419629.946,807.508,1494.315,2140389.26,0.4842915099571099,1794466.352,0.4060218556587724
S6_3g_qwen,46125,4957870.261,856.02,3517.07,2446607.564,0.4934795456923716,1992699.812,0.40192657473817667
S7_3g_neuralrx,46125,5325785.162,983.346,3533.776,2623751.33,0.4926506139828402,2097127.61,0.39376872070680047
S9_3g_3AI_1g,46125,4997398.412,818.101,4225.67,2603798.313,0.5210307640766906,2084575.291,0.41713209937282864
