scenario,memcpy_count,memcpy_total_us,memcpy_median_us,memcpy_p99_us,memset_count,memset_total_us,memset_median_us,memset_p99_us
S10_2g_alone,19299,244822.723,6.752,131.743,5760,2443448.216,92.063,1177.936
S12_2g_2AI,19299,259657.155,6.784,149.534,5760,2441233.379,92.031,1176.687
S13_3g_sat_compute,19299,272113.413,6.784,163.902,5760,1224374.31,45.951,590.36
S14_3g_sat_hbm,19299,281453.574,6.783,164.03,5760,1223309.943,46.015,588.825
S15_4g_sat_compute,19299,396326.51,10.208,163.998,5760,1221896.3,44.768,591.161
S17_2g_sat_compute,19299,141130.5,4.256,33.119,5760,2441852.028,91.871,1177.364
S18_4g_neuralrx,19299,290269.153,6.784,164.478,5760,1222618.066,45.119,591.098
S21_4g_2sat,19299,249291.081,6.784,132.319,5760,1222057.461,44.991,591.13
S22_2g_neuralrx,19299,287860.546,6.752,164.19,5760,2441346.28,91.935,1177.299
S24_3g_2sat,19299,143326.07,4.352,33.344,5760,1223333.843,45.888,589.083
S26_4g_3sat,19299,254017.292,6.784,132.287,5760,1222520.115,44.896,591.162
S27_3g_chanpred,19299,154689.264,4.672,39.487,5760,1224165.366,46.176,590.392
S28_3g_resnet,19299,465748.704,13.504,184.861,5760,1222772.493,45.567,588.823
S29_3g_forecaster,19299,403044.636,10.399,163.933,5760,1224222.15,45.952,590.744
S2_7g_mig,19299,246511.172,6.752,131.966,5760,622209.665,24.192,298.428
S30_3g_xapp,19299,141128.921,4.255,33.248,5760,1222519.109,45.759,589.209
S31_3g_resnet_chanpred,19299,310641.934,6.88,170.59,5760,1223812.197,45.983,589.176
S32_3g_resnet_forecaster,19299,421174.662,9.632,164.254,5760,1223280.066,46.079,588.633
S33_4g_chanpred,19299,441372.875,10.272,172.349,5760,1221845.472,44.863,590.968
S34_4g_resnet,19299,238452.776,6.783,131.902,5760,1223002.721,45.376,591.001
S35_2g_chanpred,19299,146620.068,4.48,35.072,5760,2441661.577,92.031,1177.329
S36_4g_forecaster,19299,140900.998,4.224,33.023,5760,1220578.132,44.959,590.616
S5_3g_alone,19299,140310.387,4.192,32.928,5760,1224581.48,46.08,590.615
S6_3g_qwen,19299,393956.839,10.24,164.766,5760,1224000.606,46.079,588.984
S7_3g_neuralrx,19299,585380.785,14.304,170.718,5760,1223432.369,45.824,589.656
S9_3g_3AI_1g,19299,160274.139,4.896,41.695,5760,1222794.282,45.663,588.984
