scenario,total_api_calls,total_api_time_us,median_api_us,p99_api_us,max_api_us,top_api_name,top_api_count
S10_2g_alone,108999,5156811.27,5.29,1115.286,174556.711,cuLaunchKernel,38400
S12_2g_2AI,108999,4524448.366,5.29,1115.517,169572.69,cuLaunchKernel,38400
S13_3g_sat_compute,108999,3423697.049,5.199,519.888,386155.679,cuLaunchKernel,38400
S14_3g_sat_hbm,108999,3781571.483,5.2,528.093,330919.465,cuLaunchKernel,38400
S15_4g_sat_compute,108999,3502075.822,5.5,620.697,251094.908,cuLaunchKernel,38400
S17_2g_sat_compute,108999,4241806.777,5.149,1105.709,185083.835,cuLaunchKernel,38400
S18_4g_neuralrx,108999,3350348.221,5.27,519.867,244621.629,cuLaunchKernel,38400
S21_4g_2sat,108999,4237767.963,5.269,516.161,513314.417,cuLaunchKernel,38400
S22_2g_neuralrx,108999,5164057.781,5.34,1130.025,182428.042,cuLaunchKernel,38400
S24_3g_2sat,108999,3892766.91,5.069,512.775,446268.497,cuLaunchKernel,38400
S26_4g_3sat,108999,4714356.701,5.3,563.129,365437.969,cuLaunchKernel,38400
S27_3g_chanpred,108999,3620126.94,4.94,520.829,201115.755,cuLaunchKernel,38400
S28_3g_resnet,108999,3998130.473,5.52,668.958,240782.406,cuLaunchKernel,38400
S29_3g_forecaster,108999,4167949.913,5.451,633.571,437505.381,cuLaunchKernel,38400
S2_7g_mig,108999,3998323.541,5.32,306.146,408228.44,cuLaunchKernel,38400
S30_3g_xapp,108999,3719496.112,4.869,514.517,416237.979,cuLaunchKernel,38400
S31_3g_resnet_chanpred,108999,3427416.519,5.259,534.655,260082.103,cuLaunchKernel,38400
S32_3g_resnet_forecaster,108999,3623242.727,5.49,628.021,282350.691,cuLaunchKernel,38400
S33_4g_chanpred,108999,3465706.647,5.29,625.867,228311.25,cuLaunchKernel,38400
S34_4g_resnet,108999,3442739.991,5.21,516.491,275359.056,cuLaunchKernel,38400
S35_2g_chanpred,108999,4340043.426,5.099,1109.546,163520.734,cuLaunchKernel,38400
S36_4g_forecaster,108999,3569607.05,4.98,509.658,251606.248,cuLaunchKernel,38400
S5_3g_alone,108999,3435729.737,4.97,514.417,259635.325,cuLaunchKernel,38400
S6_3g_qwen,108999,4068766.523,5.43,628.321,353123.451,cuLaunchKernel,38400
S7_3g_neuralrx,108999,4583117.2,5.551,678.225,371901.236,cuLaunchKernel,38400
S9_3g_3AI_1g,108999,3851430.738,5.109,524.657,208122.541,cuLaunchKernel,38400
