scenario,run,window,n_gaps,median_gap_us,p99_gap_us,max_gap_us
S10_2g_alone,1,0,16,23.487,115527.698,115527.698
S10_2g_alone,1,1,21,130.398,75758.066,75758.066
S10_2g_alone,1,2,1660,1.376,1420.044,74585.794
S10_2g_alone,1,3,1663,1.312,1435.245,14275.581
S10_2g_alone,1,4,1721,1.12,1398.317,75682.994
S10_2g_alone,1,5,2305,1.088,1394.509,1448.876
S10_2g_alone,1,6,1103,1.12,2760.634,39234.503
S10_2g_alone,1,7,2281,1.088,1393.613,1588.81
S10_2g_alone,1,8,2310,1.088,1393.164,1582.314
S10_2g_alone,1,9,2295,1.12,1393.325,1521.611
S10_2g_alone,2,0,20,23.487,107571.866,107571.866
S10_2g_alone,2,1,18,166.206,75449.139,75449.139
S10_2g_alone,2,2,2107,1.312,1521.195,1613.482
S10_2g_alone,2,3,2265,1.056,1519.66,1581.034
S10_2g_alone,2,4,2273,1.088,1523.755,1580.778
S10_2g_alone,2,5,1094,1.056,3250.483,90378.245
S10_2g_alone,2,6,2159,1.056,1404.268,1614.793
S10_2g_alone,2,7,1879,1.056,1408.813,37847.127
S10_2g_alone,2,8,1249,1.056,3405.105,39580.447
S10_2g_alone,2,9,2311,1.056,1414.476,1837.223
S10_2g_alone,3,0,16,22.016,117223.792,117223.792
S10_2g_alone,3,1,20,131.998,82150.483,82150.483
S10_2g_alone,3,2,1412,1.152,1405.997,74224.416
S10_2g_alone,3,3,2169,1.056,1397.997,4061.384
S10_2g_alone,3,4,2195,1.056,1400.429,1482.124
S10_2g_alone,3,5,2198,1.056,1397.772,1497.323
S10_2g_alone,3,6,2184,1.056,1401.1,1508.043
S10_2g_alone,3,7,2207,1.056,1278.35,1483.819
S10_2g_alone,3,8,1519,1.088,1453.484,21700.757
S10_2g_alone,3,9,1455,1.056,1394.669,91139.129
S12_2g_2AI,1,0,16,24.063,115883.164,115883.164
S12_2g_2AI,1,1,19,43.584,79233.847,79233.847
S12_2g_2AI,1,2,991,1.184,1397.325,76494.077
S12_2g_2AI,1,3,2040,1.12,1396.461,1428.876
S12_2g_2AI,1,4,2057,1.12,1395.853,1414.829
S12_2g_2AI,1,5,2054,1.152,1398.348,1419.116
S12_2g_2AI,1,6,2056,1.184,1394.989,1417.709
S12_2g_2AI,1,7,2054,1.12,1397.516,1410.317
S12_2g_2AI,1,8,2027,1.12,1396.269,1868.39
S12_2g_2AI,1,9,2061,1.12,1397.005,1422.028
S12_2g_2AI,2,0,16,23.808,112648.268,112648.268
S12_2g_2AI,2,1,21,118.239,76515.007,76515.007
S12_2g_2AI,2,2,1564,1.088,1435.692,72273.849
S12_2g_2AI,2,3,2088,1.088,1529.739,1575.018
S12_2g_2AI,2,4,2040,1.12,1528.011,1591.914
S12_2g_2AI,2,5,2083,1.088,1532.107,1577.739
S12_2g_2AI,2,6,2084,1.088,1531.723,1585.355
S12_2g_2AI,2,7,1312,1.088,1532.491,83979.325
S12_2g_2AI,2,8,2081,1.088,1528.363,1575.786
S12_2g_2AI,2,9,2086,1.088,1521.003,1575.146
S12_2g_2AI,3,0,16,22.56,119042.075,119042.075
S12_2g_2AI,3,1,20,136.574,77240.058,77240.058
S12_2g_2AI,3,2,1037,1.12,1394.125,71991.202
S12_2g_2AI,3,3,2031,1.12,1393.613,2504.925
S12_2g_2AI,3,4,2048,1.12,1279.022,1416.748
S12_2g_2AI,3,5,2035,1.12,1396.941,1412.492
S12_2g_2AI,3,6,2046,1.12,1394.093,1439.916
S12_2g_2AI,3,7,2041,1.12,1397.101,1414.157
S12_2g_2AI,3,8,2054,1.12,1398.285,1415.5
S12_2g_2AI,3,9,2047,1.12,1398.061,1412.652
S13_3g_sat_compute,1,0,15,21.856,69891.608,69891.608
S13_3g_sat_compute,1,1,12,365.275,116014.446,116014.446
S13_3g_sat_compute,1,2,11,50.655,77365.364,77365.364
S13_3g_sat_compute,1,3,2154,1.184,805.717,823.445
S13_3g_sat_compute,1,4,2194,1.184,809.654,825.301
S13_3g_sat_compute,1,5,2186,1.184,810.165,1000.466
S13_3g_sat_compute,1,6,2206,1.184,687.254,827.253
S13_3g_sat_compute,1,7,2201,1.184,808.725,826.133
S13_3g_sat_compute,1,8,2191,1.184,807.957,823.925
S13_3g_sat_compute,1,9,2205,1.152,806.87,824.182
S13_3g_sat_compute,2,0,15,21.856,68839.485,68839.485
S13_3g_sat_compute,2,1,12,385.626,116287.248,116287.248
S13_3g_sat_compute,2,2,11,37.151,76101.981,76101.981
S13_3g_sat_compute,2,3,2164,1.184,810.87,903.957
S13_3g_sat_compute,2,4,2197,1.152,811.445,950.644
S13_3g_sat_compute,2,5,2209,1.184,809.558,824.117
S13_3g_sat_compute,2,6,2194,1.152,813.877,877.973
S13_3g_sat_compute,2,7,2215,1.184,808.469,824.373
S13_3g_sat_compute,2,8,2201,1.184,815.158,870.005
S13_3g_sat_compute,2,9,2157,1.12,809.845,1135.826
S13_3g_sat_compute,3,0,16,23.327,109194.253,109194.253
S13_3g_sat_compute,3,1,11,306.172,72025.575,72025.575
S13_3g_sat_compute,3,2,494,1.12,978.995,73546.676
S13_3g_sat_compute,3,3,2168,1.12,852.118,2706.493
S13_3g_sat_compute,3,4,2104,1.088,976.34,1039.507
S13_3g_sat_compute,3,5,2096,1.088,979.86,1192.817
S13_3g_sat_compute,3,6,2105,1.12,976.691,1020.787
S13_3g_sat_compute,3,7,2102,1.12,976.851,1023.699
S13_3g_sat_compute,3,8,2170,1.184,852.181,1369.391
S13_3g_sat_compute,3,9,2109,1.12,979.892,1061.715
S14_3g_sat_hbm,1,0,16,23.807,107843.666,107843.666
S14_3g_sat_hbm,1,1,11,332.892,73452.163,73452.163
S14_3g_sat_hbm,1,2,519,1.088,981.62,71766.809
S14_3g_sat_hbm,1,3,2101,1.088,978.228,1009.908
S14_3g_sat_hbm,1,4,2105,1.088,974.163,1026.835
S14_3g_sat_hbm,1,5,2105,1.088,975.059,990.804
S14_3g_sat_hbm,1,6,2112,1.088,974.803,995.635
S14_3g_sat_hbm,1,7,2112,1.088,977.94,995.348
S14_3g_sat_hbm,1,8,2112,1.088,975.828,997.619
S14_3g_sat_hbm,1,9,2182,1.088,849.462,1228.881
S14_3g_sat_hbm,2,0,15,22.592,70014.864,70014.864
S14_3g_sat_hbm,2,1,11,316.316,118189.427,118189.427
S14_3g_sat_hbm,2,2,12,97.886,75277.326,75277.326
S14_3g_sat_hbm,2,3,2102,1.088,807.126,823.253
S14_3g_sat_hbm,2,4,2197,1.088,805.846,818.293
S14_3g_sat_hbm,2,5,2215,1.088,806.326,822.902
S14_3g_sat_hbm,2,6,2202,1.12,693.943,825.653
S14_3g_sat_hbm,2,7,2198,1.088,803.926,840.789
S14_3g_sat_hbm,2,8,2203,1.088,807.574,829.749
S14_3g_sat_hbm,2,9,2220,1.088,807.158,816.309
S14_3g_sat_hbm,3,0,16,22.656,115483.699,115483.699
S14_3g_sat_hbm,3,1,19,82.527,77040.439,77040.439
S14_3g_sat_hbm,3,2,621,1.12,810.006,75303.117
S14_3g_sat_hbm,3,3,2395,1.12,810.198,856.981
S14_3g_sat_hbm,3,4,2054,1.12,813.366,11471.952
S14_3g_sat_hbm,3,5,960,1.12,811.99,96418.051
S14_3g_sat_hbm,3,6,2424,1.12,806.902,819.702
S14_3g_sat_hbm,3,7,2270,1.12,812.374,2622.719
S14_3g_sat_hbm,3,8,2194,1.12,812.118,2337.026
S14_3g_sat_hbm,3,9,2422,1.088,804.182,1013.076
S15_4g_sat_compute,1,0,15,23.712,72134.549,72134.549
S15_4g_sat_compute,1,1,12,375.707,105447.857,105447.857
S15_4g_sat_compute,1,2,410,1.28,952.373,73248.935
S15_4g_sat_compute,1,3,2124,1.248,943.156,955.508
S15_4g_sat_compute,1,4,2112,1.248,945.396,1049.939
S15_4g_sat_compute,1,5,2121,1.279,942.74,1137.522
S15_4g_sat_compute,1,6,2190,1.28,818.486,981.619
S15_4g_sat_compute,1,7,2132,1.28,820.534,954.356
S15_4g_sat_compute,1,8,2126,1.248,939.188,953.62
S15_4g_sat_compute,1,9,2133,1.248,944.884,957.012
S15_4g_sat_compute,2,0,16,24.32,106291.521,106291.521
S15_4g_sat_compute,2,1,11,337.82,72948.252,72948.252
S15_4g_sat_compute,2,2,501,1.248,989.78,72164.325
S15_4g_sat_compute,2,3,2122,1.248,980.692,999.188
S15_4g_sat_compute,2,4,2111,1.248,982.932,998.1
S15_4g_sat_compute,2,5,2120,1.248,981.108,1002.324
S15_4g_sat_compute,2,6,2123,1.248,984.244,1001.427
S15_4g_sat_compute,2,7,2125,1.248,983.764,1001.459
S15_4g_sat_compute,2,8,2113,1.248,981.94,996.563
S15_4g_sat_compute,2,9,2133,1.248,983.444,995.603
S15_4g_sat_compute,3,0,15,22.911,69663.926,69663.926
S15_4g_sat_compute,3,1,12,394.491,112750.766,112750.766
S15_4g_sat_compute,3,2,11,31.232,75735.597,75735.597
S15_4g_sat_compute,3,3,2149,1.248,811.51,846.71
S15_4g_sat_compute,3,4,2175,1.248,812.31,990.356
S15_4g_sat_compute,3,5,2201,1.248,815.094,824.054
S15_4g_sat_compute,3,6,2203,1.248,693.047,826.806
S15_4g_sat_compute,3,7,2202,1.248,813.975,827.222
S15_4g_sat_compute,3,8,2201,1.248,699.0,823.254
S15_4g_sat_compute,3,9,2206,1.248,810.71,829.878
S17_2g_sat_compute,1,0,16,22.559,119491.752,119491.752
S17_2g_sat_compute,1,1,19,42.719,73610.901,73610.901
S17_2g_sat_compute,1,2,997,1.184,1400.56,78745.179
S17_2g_sat_compute,1,3,2040,1.184,1396.72,1412.688
S17_2g_sat_compute,1,4,2057,1.184,1399.216,1419.056
S17_2g_sat_compute,1,5,2047,1.152,1399.632,1413.584
S17_2g_sat_compute,1,6,2057,1.184,1397.169,1413.872
S17_2g_sat_compute,1,7,2041,1.184,1397.2,1415.28
S17_2g_sat_compute,1,8,2063,1.184,1398.736,1412.145
S17_2g_sat_compute,1,9,2038,1.184,1395.248,3152.22
S17_2g_sat_compute,2,0,16,22.496,116957.892,116957.892
S17_2g_sat_compute,2,1,20,134.463,78041.101,78041.101
S17_2g_sat_compute,2,2,1020,1.088,1398.641,73245.346
S17_2g_sat_compute,2,3,2051,1.088,1398.161,1413.393
S17_2g_sat_compute,2,4,2040,1.088,1327.954,1411.792
S17_2g_sat_compute,2,5,2046,1.088,1398.545,1415.601
S17_2g_sat_compute,2,6,2043,1.088,1397.104,1413.457
S17_2g_sat_compute,2,7,2052,1.088,1395.793,1509.2
S17_2g_sat_compute,2,8,2049,1.088,1400.497,1418.865
S17_2g_sat_compute,2,9,2038,1.088,1391.985,1530.831
S17_2g_sat_compute,3,0,16,23.392,116855.674,116855.674
S17_2g_sat_compute,3,1,20,136.607,78868.647,78868.647
S17_2g_sat_compute,3,2,1007,1.216,1396.69,73840.06
S17_2g_sat_compute,3,3,2036,1.184,1398.034,1412.017
S17_2g_sat_compute,3,4,2047,1.184,1398.642,1424.177
S17_2g_sat_compute,3,5,2044,1.184,1399.506,1415.41
S17_2g_sat_compute,3,6,2057,1.184,1400.178,1417.49
S17_2g_sat_compute,3,7,2047,1.184,1396.562,1414.898
S17_2g_sat_compute,3,8,2057,1.184,1395.41,1411.825
S17_2g_sat_compute,3,9,2044,1.184,1395.122,1414.194
S18_4g_neuralrx,1,0,16,24.416,106633.356,106633.356
S18_4g_neuralrx,1,1,11,314.301,75478.691,75478.691
S18_4g_neuralrx,1,2,470,1.248,987.317,76284.057
S18_4g_neuralrx,1,3,2113,1.248,978.453,1022.421
S18_4g_neuralrx,1,4,2111,1.248,979.093,1040.98
S18_4g_neuralrx,1,5,2113,1.248,985.269,1183.346
S18_4g_neuralrx,1,6,2111,1.248,984.373,2016.874
S18_4g_neuralrx,1,7,2113,1.248,975.061,1014.549
S18_4g_neuralrx,1,8,2135,1.248,981.685,1012.725
S18_4g_neuralrx,1,9,2182,1.248,853.111,2228.68
S18_4g_neuralrx,2,0,15,22.527,68733.472,68733.472
S18_4g_neuralrx,2,1,12,377.211,116313.293,116313.293
S18_4g_neuralrx,2,2,11,45.279,75271.352,75271.352
S18_4g_neuralrx,2,3,2130,1.248,807.959,2111.592
S18_4g_neuralrx,2,4,2177,1.248,808.951,2227.975
S18_4g_neuralrx,2,5,2218,1.248,809.591,1264.594
S18_4g_neuralrx,2,6,2200,1.248,812.823,1228.083
S18_4g_neuralrx,2,7,2189,1.248,808.758,1088.243
S18_4g_neuralrx,2,8,2217,1.248,808.823,1077.236
S18_4g_neuralrx,2,9,2206,1.248,805.303,1088.627
