#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 10:47:07       0     39     25     26      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 10:47:09       0     59     26     27      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:11       0     88     28     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:13       0     90     28     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:15       0     90     28     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:17       0     91     28     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:19       0     91     28     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:21       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6299      4      0 
 10:47:23       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:25       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:27       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6299      4      0 
 10:47:29       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:31       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:33       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:35       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:37       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:39       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:41       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:43       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6299      4      0 
 10:47:45       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:47       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:49       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:51       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:53       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:55       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:57       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:47:59       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:01       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:03       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:05       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:07       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:09       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:11       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:13       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:15       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:17       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:19       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:21       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:23       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:25       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:27       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:29       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:31       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:33       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 10:48:35       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:37       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:39       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:41       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:43       0     93     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:45       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:47       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:49       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:51       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:53       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:55       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:57       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:48:59       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:01       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:03       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:05       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:07       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:09       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:11       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:13       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:15       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:17       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:19       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:21       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:23       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:25       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:27       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:29       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6299      4      0 
 10:49:32       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:34       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:36       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6299      4      0 
 10:49:38       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:40       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:42       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:44       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:46       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:48       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:50       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:52       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:54       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:56       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:49:58       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:00       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:02       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 10:50:04       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:06       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:08       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:10       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:12       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:14       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:16       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:18       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:20       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:22       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:24       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:26       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:28       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:30       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:32       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:34       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:36       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:38       0     92     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:40       0     90     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:42       0     89     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:44       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:46       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:48       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:50       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6299      4      0 
 10:50:52       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:54       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:56       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
 10:50:58       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6301      4      0 
