#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:13:23       0     42     40     42      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 11:13:25       0     41     39     41      -      -      -      -      -      -   1215    210      0      0     78      2      0 
 11:13:27       0     62     39     40      -      -      -      -      -      -   1215   1410      0      0    959      4      0 
 11:13:29       0     74     39     40      -      -      -      -      -      -   1215   1410      0      0   1311      4      0 
 11:13:31       0     75     38     39      -      -      -      -      -      -   1215   1410      0      0   1311      4      0 
 11:13:33       0     75     38     38      -      -      -      -      -      -   1215   1410      0      0   1311      4      0 
 11:13:35       0     74     37     38      -      -      -      -      -      -   1215   1410      0      0   5198      7      0 
 11:13:37       0     98     38     40      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:13:39       0     97     38     38      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:13:41       0    100     38     39      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:13:43       0     86     37     38      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:13:45       0     97     37     38      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:13:47       0     97     37     38      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:13:49       0     96     36     38      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:13:51       0     97     36     37      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:13:53       0     98     36     37      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:13:55       0     97     35     37      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:13:57       0     98     35     37      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:13:59       0     96     35     36      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:01       0     97     35     36      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:03       0     97     35     36      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:05       0     91     34     36      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:14:07       0     97     34     35      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:09       0     96     34     35      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:11       0     96     34     35      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:13       0     97     34     35      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:15       0     95     33     35      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:17       0     96     33     34      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:19       0     98     33     34      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:21       0     94     33     34      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:23       0     96     33     34      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:14:25       0     97     33     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:27       0     95     33     34      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:29       0     96     33     34      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:14:31       0     97     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:33       0     94     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:35       0     85     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:37       0     96     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:39       0     95     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:41       0     96     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:43       0     96     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:45       0     96     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:47       0     95     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:49       0     94     32     33      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:14:51       0     94     32     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:53       0     96     32     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:55       0     97     32     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:57       0     99     32     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:14:59       0     98     32     32      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
