#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 12:00:23       0     40     31     32      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 12:00:25       0     40     31     32      -      -      -      -      -      -   1215    315      0      0     78      2      0 
 12:00:27       0     51     31     32      -      -      -      -      -      -   1215   1260      0      0   1001      4      0 
 12:00:29       0    170     36     33      -      -      -      -      -      -   1215   1410      0      0   1571      4      0 
 12:00:31       0    165     38     35      -      -      -      -      -      -   1215   1410      0      0   1571      4      0 
 12:00:33       0    165     38     36      -      -      -      -      -      -   1215   1410      0      0   1571      4      0 
 12:00:35       0    167     39     36      -      -      -      -      -      -   1215   1410      0      0   5458      7      0 
 12:00:37       0    190     40     37      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:39       0    190     40     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:41       0    189     40     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:43       0    191     41     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:45       0    191     41     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:47       0    190     41     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:49       0    194     41     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:51       0    192     41     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:53       0    190     41     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:55       0    191     41     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:00:58       0    193     41     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:00       0    190     41     38      -      -      -      -      -      -   1215   1410      0      0   7794      7      0 
 12:01:02       0    191     41     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:04       0    192     41     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:06       0    192     41     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:08       0    190     42     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:10       0    189     42     38      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:12       0    189     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:14       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:16       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:18       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:20       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:22       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:24       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:26       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:28       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:30       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:32       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:34       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:36       0    189     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:38       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:40       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7794      7      0 
 12:01:42       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:44       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:46       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:48       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:50       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 12:01:52       0    195     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:54       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:56       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:01:58       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:00       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:02       0    189     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:04       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:06       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:08       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:10       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:12       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:14       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:16       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:18       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:20       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:22       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:24       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:26       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:28       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7794      7      0 
 12:02:30       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:32       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:34       0    195     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:36       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:38       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:40       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:42       0    193     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:44       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:46       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:48       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:50       0    193     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:52       0    191     42     40      -      -      -      -      -      -   1215   1410      0      0   7794      7      0 
 12:02:54       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:56       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:02:58       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:00       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:02       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:04       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:06       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7794      7      0 
 12:03:08       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:10       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:12       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:14       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:16       0    195     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:18       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 12:03:20       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:22       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:24       0    195     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:26       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:28       0    191     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:30       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:32       0    193     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:34       0    194     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:36       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:38       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:41       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:43       0    191     43     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:45       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7794      7      0 
 12:03:47       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:49       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:51       0    190     43     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:53       0    191     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:55       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:57       0    191     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:03:59       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:01       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7794      7      0 
 12:04:03       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:05       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7794      7      0 
 12:04:07       0    193     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:09       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:11       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:13       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:15       0    189     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:17       0    193     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:19       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:21       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:23       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:25       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7794      7      0 
 12:04:27       0    194     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:29       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:31       0    193     43     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:33       0    195     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:35       0    193     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:37       0    193     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:39       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:41       0    194     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:43       0    190     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:45       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:47       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 12:04:49       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:51       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:53       0    193     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:55       0    192     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:57       0    194     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:04:59       0    192     42     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:05:01       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:05:03       0    190     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:05:05       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:05:07       0    190     43     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:05:09       0    191     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:05:11       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:05:13       0    193     42     39      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:05:15       0    192     43     40      -      -      -      -      -      -   1215   1410      0      0   7796      7      0 
 12:05:17       0     68     37     37      -      -      -      -      -      -   1215   1410      0      0     75      1      0 
