#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:23:57       0     39     26     27      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 11:23:59       0     58     27     27      -      -      -      -      -      -   1215   1395      0      0    259      4      0 
 11:24:01       0     92     28     28      -      -      -      -      -      -   1215   1410      0      0    325      4      0 
 11:24:03       0    109     30     28      -      -      -      -      -      -   1215   1410      0      0    363      4      0 
 11:24:05       0     60     28     28      -      -      -      -      -      -   1215   1410      0      0    381      4      0 
 11:24:07       0     45     27     27      -      -      -      -      -      -   1215   1095      0      0    585      4      0 
 11:24:09       0    108     30     28      -      -      -      -      -      -   1215   1410      0      0   4564      7      0 
 11:24:11       0    130     31     30      -      -      -      -      -      -   1215   1410      0      0   6902      7      0 
 11:24:13       0     89     29     30      -      -      -      -      -      -   1215   1410      0      0   6952      7      0 
 11:24:15       0     89     29     29      -      -      -      -      -      -   1215   1410      0      0   6308      5      0 
 11:24:17       0     91     29     29      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:19       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:21       0     99     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:23       0    110     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:25       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:27       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:29       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:32       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:34       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:36       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:38       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:40       0     98     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:42       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:44       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:46       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:48       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:50       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:52       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:54       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:56       0     96     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:24:58       0    101     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:00       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:02       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:04       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:06       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:08       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:10       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:12       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:14       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:16       0     97     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:18       0     89     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:20       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:22       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:24       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:25:26       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:28       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:25:30       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:32       0     95     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:34       0    100     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:36       0    103     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:38       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:40       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:42       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:44       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:46       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:48       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:50       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:52       0     97     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:54       0    101     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:56       0    107     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:25:58       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:00       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:02       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:04       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:06       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:08       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:10       0     96     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:12       0     98     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:14       0    100     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:16       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:18       0     92     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:20       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:22       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:24       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:26       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:26:28       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:30       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:32       0    104     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:34       0     90     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:36       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:38       0     90     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:40       0     92     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:42       0     94     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:44       0     94     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:46       0     94     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:48       0    100     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:50       0    101     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:52       0     89     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:26:54       0     92     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:26:56       0     92     30     30      -      -      -      -      -      -   1215   1410      0      0   6664      7      0 
 11:26:58       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:00       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:02       0     93     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:04       0     95     30     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:06       0     99     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:08       0    108     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:10       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:12       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:14       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:16       0     92     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
 11:27:18       0     91     29     30      -      -      -      -      -      -   1215   1410      0      0   6666      7      0 
