#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 10:57:01       0     39     27     28      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 10:57:03       0     39     27     28      -      -      -      -      -      -   1215    210      0      0     78      2      0 
 10:57:05       0     39     26     27      -      -      -      -      -      -   1215    210      0      0     78      2      0 
 10:57:07       0     45     27     27      -      -      -      -      -      -   1215   1095      0      0   2243      4      0 
 10:57:09       0     88     29     31      -      -      -      -      -      -   1215   1410      0      0   6923      4      0 
 10:57:11       0     88     29     31      -      -      -      -      -      -   1215   1410      0      0   6925      4      0 
 10:57:13       0     89     29     31      -      -      -      -      -      -   1215   1410      0      0  10812      7      0 
 10:57:15       0    112     30     32      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:17       0    113     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:19       0    111     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:21       0    113     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:23       0    112     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:25       0    112     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:27       0    118     31     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:29       0    113     32     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:31       0    112     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:33       0    115     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:35       0    114     31     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:37       0    112     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:39       0    114     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:41       0    112     31     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:43       0    113     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:45       0    114     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:47       0    111     31     34      -      -      -      -      -      -   1215   1410      0      0  13148      7      0 
 10:57:49       0    116     32     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:51       0    104     32     36      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:53       0    111     31     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:55       0    113     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:57       0    117     31     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:57:59       0    112     31     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:58:01       0    117     32     33      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:58:03       0    112     32     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:58:05       0    113     32     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:58:07       0    111     32     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:58:09       0    111     32     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:58:11       0    118     32     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:58:13       0    112     32     36      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:58:15       0    117     32     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
 10:58:17       0    112     32     34      -      -      -      -      -      -   1215   1410      0      0  13150      7      0 
