#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:49:53       0     39     31     33      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 11:49:55       0     39     31     32      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 11:49:57       0     46     31     31      -      -      -      -      -      -   1215   1110      0      0    649      4      0 
 11:49:59       0     46     30     31      -      -      -      -      -      -   1215   1095      0      0   1679      4      0 
 11:50:01       0    169     37     43      -      -      -      -      -      -   1215   1410      0      0   2081      4      0 
 11:50:03       0    167     37     45      -      -      -      -      -      -   1215   1410      0      0   2081      4      0 
 11:50:05       0    167     37     45      -      -      -      -      -      -   1215   1410      0      0   8300      7      0 
 11:50:07       0    190     39     46      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:09       0    195     39     46      -      -      -      -      -      -   1215   1410      0      0   8304      7      0 
 11:50:11       0    195     39     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:13       0    190     39     46      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:15       0    196     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:17       0    191     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:19       0    190     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:21       0    197     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:23       0    193     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:25       0    193     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:27       0    188     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:29       0    192     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:31       0    192     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:33       0    196     40     46      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:35       0    193     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:37       0    189     40     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:39       0    190     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:41       0    192     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:43       0    195     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:45       0    190     41     47      -      -      -      -      -      -   1215   1410      0      0   8304      7      0 
 11:50:47       0    189     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:49       0    190     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:51       0    188     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:53       0    193     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:55       0    190     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:57       0    195     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:50:59       0    190     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:01       0    188     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:03       0    191     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:05       0    193     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:07       0    198     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:09       0    194     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:11       0    189     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:13       0    191     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:15       0    190     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:17       0    194     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:19       0    195     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:51:21       0    196     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:23       0    190     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:25       0    189     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:27       0    191     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:29       0    193     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:31       0    189     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:33       0    192     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:35       0    190     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:37       0    188     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:39       0    192     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:41       0    190     41     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:43       0    196     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:45       0    192     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:47       0    190     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:49       0    192     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:51       0    193     41     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:53       0    198     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:56       0    194     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:51:58       0    193     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:00       0    189     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:02       0    196     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:04       0    193     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:06       0    196     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:08       0    189     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:10       0    188     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:12       0    198     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:14       0    191     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:16       0    195     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:18       0    191     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:20       0    189     41     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:22       0    196     42     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:24       0    190     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:26       0    193     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:28       0    191     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:30       0    193     41     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:32       0    195     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:34       0    195     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:36       0    192     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:38       0    189     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:40       0    190     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:42       0    191     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:44       0    195     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:46       0    189     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:48       0    194     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:52:50       0    190     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:52       0    189     41     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:54       0    192     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:56       0    189     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:52:58       0    195     41     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:00       0    191     42     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:02       0    191     42     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:04       0    190     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:06       0    192     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:08       0    194     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:10       0    195     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:12       0    192     42     47      -      -      -      -      -      -   1215   1410      0      0   8304      7      0 
 11:53:14       0    190     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:16       0    190     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:18       0    191     42     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:20       0    194     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:22       0    196     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:24       0    194     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:26       0    190     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:28       0    190     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:30       0    191     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:32       0    191     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:34       0    196     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:36       0    191     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:38       0    190     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:40       0    191     42     49      -      -      -      -      -      -   1215   1410      0      0   8304      7      0 
 11:53:42       0    195     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:44       0    197     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:46       0    190     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:48       0    191     42     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:50       0    194     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:52       0    189     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:54       0    191     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:56       0    190     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:53:58       0    195     42     47      -      -      -      -      -      -   1215   1410      0      0   8304      7      0 
 11:54:00       0    191     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:02       0    191     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:04       0    197     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:06       0    191     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:08       0    197     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:10       0    188     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:12       0    189     42     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:14       0    197     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:16       0    193     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:54:18       0    195     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:21       0    190     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:23       0    190     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:25       0    191     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:27       0    197     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:29       0    190     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:31       0    192     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:33       0    188     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:35       0    192     42     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:37       0    194     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:39       0    190     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:41       0    195     42     47      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:43       0    191     42     48      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:45       0    188     42     49      -      -      -      -      -      -   1215   1410      0      0   8306      7      0 
 11:54:47       0    168     41     48      -      -      -      -      -      -   1215   1410      0      0   2081      4      0 
