#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:02:35       0     40     27     28      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 11:02:37       0     39     27     28      -      -      -      -      -      -   1215    225      0      0     78      2      0 
 11:02:39       0     60     28     28      -      -      -      -      -      -   1215   1410      0      0   9109      4      0 
 11:02:41       0    284     41     42      -      -      -      -      -      -   1215   1410      0      0   9311      4      0 
 11:02:43       0    286     43     46      -      -      -      -      -      -   1215   1410      0      0   9311      4      0 
 11:02:45       0    286     44     48      -      -      -      -      -      -   1215   1410      0      0   9311      4      0 
 11:02:47       0    288     45     49      -      -      -      -      -      -   1215   1410      0      0  13198      7      0 
 11:02:49       0    318     47     50      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:02:51       0    317     48     50      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:02:53       0    317     48     51      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:02:55       0    319     49     51      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:02:57       0    319     49     52      -      -      -      -      -      -   1215   1410      0      0  15534      7      0 
 11:02:59       0    319     50     52      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:01       0    319     50     53      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:03       0    321     51     54      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:06       0    320     51     54      -      -      -      -      -      -   1215   1410      0      0  15534      7      0 
 11:03:08       0    319     51     54      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:10       0    321     52     54      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:12       0    321     52     55      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:14       0    321     52     55      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:16       0    321     52     55      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:18       0    322     53     55      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:20       0    320     53     56      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:22       0    320     53     56      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:24       0    322     53     56      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
 11:03:26       0    322     54     56      -      -      -      -      -      -   1215   1410      0      0  15536      7      0 
