#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 12:05:22       0     40     31     33      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 12:05:25       0     39     31     32      -      -      -      -      -      -   1215    285      0      0     78      2      0 
 12:05:27       0    113     33     38      -      -      -      -      -      -   1215   1410      0      0   8917      4      0 
 12:05:29       0    114     34     40      -      -      -      -      -      -   1215   1410      0      0   8917      4      0 
 12:05:31       0    114     34     41      -      -      -      -      -      -   1215   1410      0      0   8917      4      0 
 12:05:33       0    114     34     41      -      -      -      -      -      -   1215   1410      0      0   8917      4      0 
 12:05:35       0    115     34     41      -      -      -      -      -      -   1215   1410      0      0   9102      7      0 
 12:05:37       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:05:39       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:05:41       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:05:43       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:05:45       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:05:47       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15140      7      0 
 12:05:49       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15140      7      0 
 12:05:51       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:05:53       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:05:55       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:05:57       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:05:59       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:01       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:03       0    138     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:05       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:07       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:09       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:11       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:13       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15140      7      0 
 12:06:15       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15140      7      0 
 12:06:17       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:19       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:21       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15140      7      0 
 12:06:23       0    139     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:25       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
 12:06:27       0    140     35     41      -      -      -      -      -      -   1215   1410      0      0  15142      7      0 
