#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:39:29       0     39     26     27      -      -      -      -      -      -   1215    210      0      0     75      1      0 
 11:39:31       0     38     26     26      -      -      -      -      -      -   1215    210      0      0     78      2      0 
 11:39:33       0     60     26     27      -      -      -      -      -      -   1215   1410      0      0    965      4      0 
 11:39:35       0     68     27     26      -      -      -      -      -      -   1215   1410      0      0   1375      4      0 
 11:39:37       0     68     27     26      -      -      -      -      -      -   1215   1410      0      0   1375      4      0 
 11:39:39       0     68     27     27      -      -      -      -      -      -   1215   1410      0      0   1375      4      0 
 11:39:41       0     69     27     27      -      -      -      -      -      -   1215   1410      0      0   7594      7      0 
 11:39:43       0     94     28     28      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:39:45       0     95     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:39:47       0     94     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:39:49       0     94     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:39:51       0     94     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:39:53       0     94     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:39:55       0     95     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:39:57       0     95     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:39:59       0     94     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:40:01       0     94     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:40:03       0     95     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:40:05       0     96     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:40:07       0     94     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:40:09       0     94     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:40:11       0     95     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:40:13       0     93     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
 11:40:15       0     95     29     29      -      -      -      -      -      -   1215   1410      0      0   7600      7      0 
