condition,block,n,mean_ms,mean_sd,mean_delta_pct,p99_ms,p99_sd,p99_ci_lo,p99_ci_hi,p99_delta_pct,max_ms,max_sd,max_delta_pct,p99_significant
F_0_alone,baseline,10,43.50,1.57,0.00,53.67,7.56,48.98,58.36,0.00,56.04,8.77,0.00,OVERLAP
F_B_D2D_sz1024_str1,B_D2D,5,42.43,1.98,-2.47,44.01,2.09,42.18,45.84,-18.00,44.44,2.14,-20.71,SEPARATE
F_B_D2D_sz1024_str4,B_D2D,5,42.98,1.47,-1.20,44.58,1.43,43.33,45.83,-16.95,45.25,1.73,-19.25,SEPARATE
F_B_D2D_sz1024_str8,B_D2D,5,43.01,1.53,-1.13,44.82,1.31,43.67,45.97,-16.49,45.65,0.91,-18.55,SEPARATE
F_B_D2D_sz16_str1,B_D2D,5,41.64,1.89,-4.29,43.27,1.82,41.68,44.87,-19.38,43.61,1.56,-22.18,SEPARATE
F_B_D2D_sz16_str4,B_D2D,5,42.13,1.77,-3.16,43.56,1.90,41.90,45.23,-18.83,44.54,1.99,-20.53,SEPARATE
F_B_D2D_sz16_str8,B_D2D,5,42.94,1.47,-1.29,44.63,1.39,43.40,45.85,-16.85,45.18,1.43,-19.38,SEPARATE
F_B_D2D_sz256_str1,B_D2D,5,43.13,1.58,-0.86,44.62,1.74,43.10,46.15,-16.86,45.13,1.42,-19.48,SEPARATE
F_B_D2D_sz256_str4,B_D2D,5,42.73,1.36,-1.77,44.33,1.46,43.05,45.62,-17.40,45.20,1.36,-19.34,SEPARATE
F_B_D2D_sz256_str8,B_D2D,5,42.95,1.48,-1.26,44.49,1.65,43.05,45.94,-17.10,45.09,1.29,-19.55,SEPARATE
F_B_D2D_sz64_str1,B_D2D,5,43.93,0.05,0.99,45.61,0.09,45.53,45.69,-15.03,45.99,0.24,-17.94,SEPARATE
F_B_D2D_sz64_str4,B_D2D,5,42.72,1.53,-1.79,44.31,1.48,43.01,45.61,-17.44,44.80,1.44,-20.06,SEPARATE
F_B_D2D_sz64_str8,B_D2D,5,43.26,0.45,-0.55,45.14,0.59,44.63,45.66,-15.89,46.89,2.40,-16.34,SEPARATE
F_C_H2D_sz16_str1,C_H2D,5,43.31,1.62,-0.43,44.84,1.70,43.35,46.33,-16.45,45.76,1.81,-18.35,SEPARATE
F_C_H2D_sz16_str4,C_H2D,5,44.85,1.50,3.10,46.59,1.68,45.12,48.06,-13.19,48.15,1.93,-14.08,SEPARATE
