timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/07/08 02:26:14.410, 0 %, 0 %, 5 MiB
2026/07/08 02:26:14.418, 0 %, 0 %, 1 MiB
2026/07/08 02:26:14.428, 0 %, 0 %, 1 MiB
2026/07/08 02:26:14.437, 0 %, 0 %, 1 MiB
2026/07/08 02:26:16.445, 0 %, 0 %, 59 MiB
2026/07/08 02:26:16.446, 0 %, 0 %, 1 MiB
2026/07/08 02:26:16.447, 0 %, 0 %, 1 MiB
2026/07/08 02:26:16.450, 0 %, 0 %, 1 MiB
2026/07/08 02:26:18.451, 73 %, 21 %, 6549 MiB
2026/07/08 02:26:18.451, 0 %, 0 %, 1 MiB
2026/07/08 02:26:18.451, 0 %, 0 %, 1 MiB
2026/07/08 02:26:18.451, 0 %, 0 %, 1 MiB
2026/07/08 02:26:20.451, 73 %, 20 %, 6549 MiB
2026/07/08 02:26:20.452, 0 %, 0 %, 1 MiB
2026/07/08 02:26:20.452, 0 %, 0 %, 1 MiB
2026/07/08 02:26:20.452, 0 %, 0 %, 1 MiB
2026/07/08 02:26:22.452, 81 %, 6 %, 47 MiB
2026/07/08 02:26:22.452, 0 %, 0 %, 1 MiB
2026/07/08 02:26:22.452, 0 %, 0 %, 1 MiB
2026/07/08 02:26:22.452, 0 %, 0 %, 1 MiB
2026/07/08 02:26:24.453, 0 %, 0 %, 47 MiB
2026/07/08 02:26:24.453, 0 %, 0 %, 1 MiB
2026/07/08 02:26:24.453, 0 %, 0 %, 1 MiB
2026/07/08 02:26:24.453, 0 %, 0 %, 1 MiB
