[08:43:47] building ChanPred model
[08:43:47] params=43104
[08:43:47] warmup done
[08:43:48] iter=500  elapsed=0.5s
[08:43:48] iter=1000  elapsed=1.0s
[08:43:48] iter=1500  elapsed=1.4s
[08:43:49] iter=2000  elapsed=1.9s
[08:43:49] iter=2500  elapsed=2.4s
[08:43:50] iter=3000  elapsed=2.8s
[08:43:50] iter=3500  elapsed=3.3s
[08:43:51] iter=4000  elapsed=3.8s
[08:43:51] iter=4500  elapsed=4.2s
[08:43:52] iter=5000  elapsed=4.7s
[08:43:52] iter=5500  elapsed=5.1s
[08:43:53] iter=6000  elapsed=5.6s
[08:43:53] iter=6500  elapsed=6.1s
[08:43:54] iter=7000  elapsed=6.5s
[08:43:54] iter=7500  elapsed=7.0s
[08:43:55] iter=8000  elapsed=7.5s
[08:43:55] iter=8500  elapsed=7.9s
[08:43:55] iter=9000  elapsed=8.4s
[08:43:56] iter=9500  elapsed=8.9s
[08:43:56] iter=10000  elapsed=9.3s
[08:43:57] iter=10500  elapsed=9.8s
[08:43:57] iter=11000  elapsed=10.3s
[08:43:58] iter=11500  elapsed=10.7s
[08:43:58] iter=12000  elapsed=11.2s
[08:43:59] iter=12500  elapsed=11.7s
[08:43:59] iter=13000  elapsed=12.1s
[08:44:00] iter=13500  elapsed=12.6s
[08:44:00] iter=14000  elapsed=13.1s
[08:44:01] iter=14500  elapsed=13.5s
[08:44:01] iter=15000  elapsed=14.0s
[08:44:01] iter=15500  elapsed=14.5s
[08:44:02] iter=16000  elapsed=14.9s
[08:44:02] iter=16500  elapsed=15.4s
[08:44:03] iter=17000  elapsed=15.8s
[08:44:03] iter=17500  elapsed=16.3s
[08:44:04] iter=18000  elapsed=16.8s
[08:44:04] iter=18500  elapsed=17.2s
[08:44:05] iter=19000  elapsed=17.7s
[08:44:05] iter=19500  elapsed=18.2s
[08:44:06] iter=20000  elapsed=18.6s
[08:44:06] iter=20500  elapsed=19.1s
[08:44:07] iter=21000  elapsed=19.6s
[08:44:07] iter=21500  elapsed=20.0s
[08:44:08] iter=22000  elapsed=20.5s
[08:44:08] iter=22500  elapsed=21.0s
[08:44:08] iter=23000  elapsed=21.4s
[08:44:09] iter=23500  elapsed=21.9s
[08:44:09] iter=24000  elapsed=22.4s
[08:44:10] iter=24500  elapsed=22.8s
[08:44:10] iter=25000  elapsed=23.3s
[08:44:11] iter=25500  elapsed=23.8s
[08:44:11] iter=26000  elapsed=24.2s
[08:44:12] iter=26500  elapsed=24.7s
[08:44:12] iter=27000  elapsed=25.1s
[08:44:13] iter=27500  elapsed=25.6s
[08:44:13] iter=28000  elapsed=26.1s
[08:44:14] iter=28500  elapsed=26.5s
[08:44:14] iter=29000  elapsed=27.0s
[08:44:15] iter=29500  elapsed=27.5s
