[08:21:22] building ChanPred model
[08:21:22] params=43104
[08:21:22] warmup done
[08:21:23] iter=500  elapsed=0.4s
[08:21:23] iter=1000  elapsed=0.8s
[08:21:23] iter=1500  elapsed=1.2s
[08:21:24] iter=2000  elapsed=1.6s
[08:21:24] iter=2500  elapsed=2.1s
[08:21:25] iter=3000  elapsed=2.5s
[08:21:25] iter=3500  elapsed=2.9s
[08:21:26] iter=4000  elapsed=3.3s
[08:21:26] iter=4500  elapsed=3.7s
[08:21:26] iter=5000  elapsed=4.1s
[08:21:27] iter=5500  elapsed=4.5s
[08:21:27] iter=6000  elapsed=4.9s
[08:21:28] iter=6500  elapsed=5.3s
[08:21:28] iter=7000  elapsed=5.7s
[08:21:28] iter=7500  elapsed=6.2s
[08:21:29] iter=8000  elapsed=6.6s
[08:21:29] iter=8500  elapsed=7.0s
[08:21:30] iter=9000  elapsed=7.4s
[08:21:30] iter=9500  elapsed=7.8s
[08:21:30] iter=10000  elapsed=8.2s
[08:21:31] iter=10500  elapsed=8.6s
[08:21:31] iter=11000  elapsed=9.0s
[08:21:32] iter=11500  elapsed=9.4s
[08:21:32] iter=12000  elapsed=9.8s
[08:21:33] iter=12500  elapsed=10.3s
[08:21:33] iter=13000  elapsed=10.7s
[08:21:33] iter=13500  elapsed=11.1s
[08:21:34] iter=14000  elapsed=11.5s
[08:21:34] iter=14500  elapsed=11.9s
[08:21:35] iter=15000  elapsed=12.3s
[08:21:35] iter=15500  elapsed=12.7s
[08:21:35] iter=16000  elapsed=13.1s
[08:21:36] iter=16500  elapsed=13.5s
[08:21:36] iter=17000  elapsed=13.9s
[08:21:37] iter=17500  elapsed=14.4s
[08:21:37] iter=18000  elapsed=14.8s
[08:21:37] iter=18500  elapsed=15.2s
[08:21:38] iter=19000  elapsed=15.6s
[08:21:38] iter=19500  elapsed=16.2s
[08:21:39] iter=20000  elapsed=16.8s
[08:21:40] iter=20500  elapsed=17.3s
[08:21:40] iter=21000  elapsed=17.9s
[08:21:41] iter=21500  elapsed=18.5s
[08:21:41] iter=22000  elapsed=19.0s
[08:21:42] iter=22500  elapsed=19.6s
[08:21:42] iter=23000  elapsed=20.2s
[08:21:43] iter=23500  elapsed=20.7s
[08:21:44] iter=24000  elapsed=21.3s
[08:21:44] iter=24500  elapsed=21.9s
[08:21:45] iter=25000  elapsed=22.4s
[08:21:45] iter=25500  elapsed=23.0s
[08:21:46] iter=26000  elapsed=23.5s
[08:21:46] iter=26500  elapsed=24.1s
[08:21:47] iter=27000  elapsed=24.7s
[08:21:47] iter=27500  elapsed=25.2s
[08:21:48] iter=28000  elapsed=25.8s
[08:21:49] iter=28500  elapsed=26.4s
[08:21:49] iter=29000  elapsed=26.9s
[08:21:50] iter=29500  elapsed=27.5s
[08:21:50] iter=30000  elapsed=28.1s
[08:21:51] iter=30500  elapsed=28.6s
[08:21:51] iter=31000  elapsed=29.2s
[08:21:52] iter=31500  elapsed=29.8s
[08:21:53] iter=32000  elapsed=30.3s
[08:21:53] iter=32500  elapsed=30.9s
[08:21:54] iter=33000  elapsed=31.4s
[08:21:54] iter=33500  elapsed=32.0s
[08:21:55] iter=34000  elapsed=32.6s
[08:21:55] iter=34500  elapsed=33.1s
[08:21:56] iter=35000  elapsed=33.7s
[08:21:57] iter=35500  elapsed=34.3s
[08:21:57] iter=36000  elapsed=34.8s
[08:21:57] iter=36500  elapsed=35.2s
[08:21:58] iter=37000  elapsed=35.6s
[08:21:58] iter=37500  elapsed=36.0s
[08:21:59] iter=38000  elapsed=36.4s
[08:21:59] iter=38500  elapsed=36.8s
[08:21:59] iter=39000  elapsed=37.2s
[08:22:00] iter=39500  elapsed=37.7s
