[16:58:54] building ChanPred model
[16:58:55] params=43104
[16:58:55] warmup done
[16:58:55] iter=500  elapsed=0.5s
[16:58:56] iter=1000  elapsed=1.0s
[16:58:56] iter=1500  elapsed=1.5s
[16:58:57] iter=2000  elapsed=2.0s
[16:58:57] iter=2500  elapsed=2.5s
[16:58:58] iter=3000  elapsed=3.0s
[16:58:58] iter=3500  elapsed=3.5s
[16:58:59] iter=4000  elapsed=4.0s
[16:58:59] iter=4500  elapsed=4.4s
[16:59:00] iter=5000  elapsed=4.9s
[16:59:00] iter=5500  elapsed=5.4s
[16:59:01] iter=6000  elapsed=5.9s
[16:59:01] iter=6500  elapsed=6.4s
[16:59:02] iter=7000  elapsed=6.9s
[16:59:02] iter=7500  elapsed=7.4s
[16:59:03] iter=8000  elapsed=7.9s
[16:59:03] iter=8500  elapsed=8.4s
[16:59:04] iter=9000  elapsed=8.9s
[16:59:04] iter=9500  elapsed=9.4s
[16:59:05] iter=10000  elapsed=9.9s
[16:59:05] iter=10500  elapsed=10.3s
[16:59:06] iter=11000  elapsed=10.8s
[16:59:06] iter=11500  elapsed=11.3s
[16:59:07] iter=12000  elapsed=11.8s
[16:59:07] iter=12500  elapsed=12.3s
[16:59:08] iter=13000  elapsed=12.8s
[16:59:08] iter=13500  elapsed=13.3s
[16:59:09] iter=14000  elapsed=13.8s
[16:59:09] iter=14500  elapsed=14.3s
[16:59:10] iter=15000  elapsed=14.8s
[16:59:10] iter=15500  elapsed=15.3s
[16:59:11] iter=16000  elapsed=15.7s
[16:59:11] iter=16500  elapsed=16.2s
[16:59:12] iter=17000  elapsed=16.7s
[16:59:12] iter=17500  elapsed=17.2s
[16:59:13] iter=18000  elapsed=17.7s
[16:59:13] iter=18500  elapsed=18.2s
[16:59:14] iter=19000  elapsed=18.7s
[16:59:14] iter=19500  elapsed=19.2s
[16:59:15] iter=20000  elapsed=19.7s
[16:59:15] iter=20500  elapsed=20.2s
[16:59:15] iter=21000  elapsed=20.7s
[16:59:16] iter=21500  elapsed=21.1s
[16:59:16] iter=22000  elapsed=21.6s
[16:59:17] iter=22500  elapsed=22.1s
[16:59:17] iter=23000  elapsed=22.6s
[16:59:18] iter=23500  elapsed=23.1s
[16:59:18] iter=24000  elapsed=23.6s
[16:59:19] iter=24500  elapsed=24.1s
[16:59:19] iter=25000  elapsed=24.6s
[16:59:20] iter=25500  elapsed=25.1s
[16:59:20] iter=26000  elapsed=25.6s
[16:59:21] iter=26500  elapsed=26.1s
[16:59:21] iter=27000  elapsed=26.5s
