[17:14:29] allocating 2× 128 KB buffers
[17:14:29] entering high-launch-rate memcpy loop
[17:14:29] copies=10000 rate=100109/s BW=26.2 GB/s elapsed=0.1s
[17:14:30] copies=20000 rate=99157/s BW=26.0 GB/s elapsed=0.2s
[17:14:30] copies=30000 rate=99222/s BW=26.0 GB/s elapsed=0.3s
[17:14:30] copies=40000 rate=99144/s BW=26.0 GB/s elapsed=0.4s
[17:14:30] copies=50000 rate=98377/s BW=25.8 GB/s elapsed=0.5s
[17:14:30] copies=60000 rate=98353/s BW=25.8 GB/s elapsed=0.6s
[17:14:30] copies=70000 rate=98056/s BW=25.7 GB/s elapsed=0.7s
[17:14:30] copies=80000 rate=98127/s BW=25.7 GB/s elapsed=0.8s
[17:14:30] copies=90000 rate=98178/s BW=25.7 GB/s elapsed=0.9s
[17:14:30] copies=100000 rate=97968/s BW=25.7 GB/s elapsed=1.0s
[17:14:31] copies=110000 rate=97881/s BW=25.7 GB/s elapsed=1.1s
[17:14:31] copies=120000 rate=97947/s BW=25.7 GB/s elapsed=1.2s
[17:14:31] copies=130000 rate=98001/s BW=25.7 GB/s elapsed=1.3s
[17:14:31] copies=140000 rate=98066/s BW=25.7 GB/s elapsed=1.4s
[17:14:31] copies=150000 rate=98026/s BW=25.7 GB/s elapsed=1.5s
[17:14:31] copies=160000 rate=97695/s BW=25.6 GB/s elapsed=1.6s
[17:14:31] copies=170000 rate=98005/s BW=25.7 GB/s elapsed=1.7s
[17:14:31] copies=180000 rate=98066/s BW=25.7 GB/s elapsed=1.8s
[17:14:31] copies=190000 rate=98114/s BW=25.7 GB/s elapsed=1.9s
[17:14:31] copies=200000 rate=98034/s BW=25.7 GB/s elapsed=2.0s
[17:14:32] copies=210000 rate=97914/s BW=25.7 GB/s elapsed=2.1s
[17:14:32] copies=220000 rate=97976/s BW=25.7 GB/s elapsed=2.2s
[17:14:32] copies=230000 rate=98016/s BW=25.7 GB/s elapsed=2.3s
[17:14:32] copies=240000 rate=98002/s BW=25.7 GB/s elapsed=2.4s
[17:14:32] copies=250000 rate=97981/s BW=25.7 GB/s elapsed=2.6s
[17:14:32] copies=260000 rate=97947/s BW=25.7 GB/s elapsed=2.7s
[17:14:32] copies=270000 rate=97978/s BW=25.7 GB/s elapsed=2.8s
[17:14:32] copies=280000 rate=98007/s BW=25.7 GB/s elapsed=2.9s
[17:14:32] copies=290000 rate=98034/s BW=25.7 GB/s elapsed=3.0s
[17:14:32] copies=300000 rate=97943/s BW=25.7 GB/s elapsed=3.1s
[17:14:33] copies=310000 rate=97983/s BW=25.7 GB/s elapsed=3.2s
[17:14:33] copies=320000 rate=97968/s BW=25.7 GB/s elapsed=3.3s
[17:14:33] copies=330000 rate=97974/s BW=25.7 GB/s elapsed=3.4s
[17:14:33] copies=340000 rate=97988/s BW=25.7 GB/s elapsed=3.5s
[17:14:33] copies=350000 rate=97931/s BW=25.7 GB/s elapsed=3.6s
[17:14:33] copies=360000 rate=97918/s BW=25.7 GB/s elapsed=3.7s
[17:14:33] copies=370000 rate=97961/s BW=25.7 GB/s elapsed=3.8s
[17:14:33] copies=380000 rate=98001/s BW=25.7 GB/s elapsed=3.9s
[17:14:33] copies=390000 rate=98040/s BW=25.7 GB/s elapsed=4.0s
[17:14:33] copies=400000 rate=97974/s BW=25.7 GB/s elapsed=4.1s
[17:14:34] copies=410000 rate=98007/s BW=25.7 GB/s elapsed=4.2s
[17:14:34] copies=420000 rate=98032/s BW=25.7 GB/s elapsed=4.3s
[17:14:34] copies=430000 rate=98056/s BW=25.7 GB/s elapsed=4.4s
[17:14:34] copies=440000 rate=98072/s BW=25.7 GB/s elapsed=4.5s
[17:14:34] copies=450000 rate=98081/s BW=25.7 GB/s elapsed=4.6s
[17:14:34] copies=460000 rate=98061/s BW=25.7 GB/s elapsed=4.7s
[17:14:34] copies=470000 rate=98082/s BW=25.7 GB/s elapsed=4.8s
[17:14:34] copies=480000 rate=98098/s BW=25.7 GB/s elapsed=4.9s
[17:14:34] copies=490000 rate=98116/s BW=25.7 GB/s elapsed=5.0s
[17:14:34] copies=500000 rate=98069/s BW=25.7 GB/s elapsed=5.1s
[17:14:35] copies=510000 rate=98078/s BW=25.7 GB/s elapsed=5.2s
[17:14:35] copies=520000 rate=98089/s BW=25.7 GB/s elapsed=5.3s
[17:14:35] copies=530000 rate=98099/s BW=25.7 GB/s elapsed=5.4s
[17:14:35] copies=540000 rate=98115/s BW=25.7 GB/s elapsed=5.5s
[17:14:35] copies=550000 rate=98124/s BW=25.7 GB/s elapsed=5.6s
[17:14:35] copies=560000 rate=98102/s BW=25.7 GB/s elapsed=5.7s
[17:14:35] copies=570000 rate=98115/s BW=25.7 GB/s elapsed=5.8s
[17:14:35] copies=580000 rate=98129/s BW=25.7 GB/s elapsed=5.9s
[17:14:35] copies=590000 rate=98141/s BW=25.7 GB/s elapsed=6.0s
[17:14:36] copies=600000 rate=98107/s BW=25.7 GB/s elapsed=6.1s
[17:14:36] copies=610000 rate=98128/s BW=25.7 GB/s elapsed=6.2s
[17:14:36] copies=620000 rate=98129/s BW=25.7 GB/s elapsed=6.3s
[17:14:36] copies=630000 rate=98130/s BW=25.7 GB/s elapsed=6.4s
[17:14:36] copies=640000 rate=98127/s BW=25.7 GB/s elapsed=6.5s
[17:14:36] copies=650000 rate=98130/s BW=25.7 GB/s elapsed=6.6s
[17:14:36] copies=660000 rate=98120/s BW=25.7 GB/s elapsed=6.7s
