[16:05:25] building ChanPred model
[16:05:26] params=43104
[16:05:26] warmup done
[16:05:27] iter=500  elapsed=0.4s
[16:05:27] iter=1000  elapsed=0.9s
[16:05:27] iter=1500  elapsed=1.3s
[16:05:28] iter=2000  elapsed=1.7s
[16:05:28] iter=2500  elapsed=2.2s
[16:05:29] iter=3000  elapsed=2.6s
[16:05:29] iter=3500  elapsed=3.0s
[16:05:30] iter=4000  elapsed=3.5s
[16:05:30] iter=4500  elapsed=3.9s
[16:05:30] iter=5000  elapsed=4.3s
[16:05:31] iter=5500  elapsed=4.8s
[16:05:31] iter=6000  elapsed=5.2s
[16:05:32] iter=6500  elapsed=5.6s
[16:05:32] iter=7000  elapsed=6.1s
[16:05:33] iter=7500  elapsed=6.5s
[16:05:33] iter=8000  elapsed=6.9s
[16:05:33] iter=8500  elapsed=7.4s
[16:05:34] iter=9000  elapsed=7.8s
[16:05:34] iter=9500  elapsed=8.2s
[16:05:35] iter=10000  elapsed=8.7s
[16:05:35] iter=10500  elapsed=9.1s
[16:05:36] iter=11000  elapsed=9.5s
[16:05:36] iter=11500  elapsed=10.0s
[16:05:37] iter=12000  elapsed=10.4s
[16:05:37] iter=12500  elapsed=10.9s
[16:05:37] iter=13000  elapsed=11.3s
[16:05:38] iter=13500  elapsed=11.7s
[16:05:38] iter=14000  elapsed=12.2s
[16:05:39] iter=14500  elapsed=12.6s
[16:05:39] iter=15000  elapsed=13.0s
[16:05:40] iter=15500  elapsed=13.5s
[16:05:40] iter=16000  elapsed=13.9s
[16:05:40] iter=16500  elapsed=14.3s
[16:05:41] iter=17000  elapsed=14.8s
[16:05:41] iter=17500  elapsed=15.3s
[16:05:42] iter=18000  elapsed=15.9s
[16:05:43] iter=18500  elapsed=16.5s
[16:05:43] iter=19000  elapsed=17.1s
[16:05:44] iter=19500  elapsed=17.7s
[16:05:44] iter=20000  elapsed=18.2s
[16:05:45] iter=20500  elapsed=18.8s
[16:05:45] iter=21000  elapsed=19.4s
[16:05:46] iter=21500  elapsed=20.0s
[16:05:47] iter=22000  elapsed=20.5s
[16:05:47] iter=22500  elapsed=21.1s
[16:05:48] iter=23000  elapsed=21.7s
[16:05:48] iter=23500  elapsed=22.3s
[16:05:49] iter=24000  elapsed=22.9s
[16:05:50] iter=24500  elapsed=23.4s
[16:05:50] iter=25000  elapsed=24.0s
[16:05:51] iter=25500  elapsed=24.6s
[16:05:51] iter=26000  elapsed=25.2s
[16:05:52] iter=26500  elapsed=25.7s
[16:05:52] iter=27000  elapsed=26.3s
[16:05:53] iter=27500  elapsed=26.9s
[16:05:54] iter=28000  elapsed=27.5s
[16:05:54] iter=28500  elapsed=28.0s
[16:05:55] iter=29000  elapsed=28.6s
[16:05:55] iter=29500  elapsed=29.2s
[16:05:56] iter=30000  elapsed=29.8s
[16:05:56] iter=30500  elapsed=30.4s
[16:05:57] iter=31000  elapsed=30.9s
[16:05:58] iter=31500  elapsed=31.5s
[16:05:58] iter=32000  elapsed=32.0s
[16:05:59] iter=32500  elapsed=32.6s
[16:05:59] iter=33000  elapsed=33.2s
[16:06:00] iter=33500  elapsed=33.7s
[16:06:00] iter=34000  elapsed=34.3s
[16:06:01] iter=34500  elapsed=34.7s
[16:06:01] iter=35000  elapsed=35.1s
Collecting data...
Generating '/tmp/nsys-report-a671.qdstrm'
