[16:51:40] allocating 2× 128 KB buffers
[16:51:41] entering high-launch-rate memcpy loop
[16:51:41] copies=10000 rate=85757/s BW=22.5 GB/s elapsed=0.1s
[16:51:41] copies=20000 rate=88809/s BW=23.3 GB/s elapsed=0.2s
[16:51:41] copies=30000 rate=90771/s BW=23.8 GB/s elapsed=0.3s
[16:51:41] copies=40000 rate=93410/s BW=24.5 GB/s elapsed=0.4s
[16:51:41] copies=50000 rate=95133/s BW=24.9 GB/s elapsed=0.5s
[16:51:41] copies=60000 rate=96049/s BW=25.2 GB/s elapsed=0.6s
[16:51:41] copies=70000 rate=97188/s BW=25.5 GB/s elapsed=0.7s
[16:51:41] copies=80000 rate=97998/s BW=25.7 GB/s elapsed=0.8s
[16:51:42] copies=90000 rate=98463/s BW=25.8 GB/s elapsed=0.9s
[16:51:42] copies=100000 rate=98821/s BW=25.9 GB/s elapsed=1.0s
[16:51:42] copies=110000 rate=99111/s BW=26.0 GB/s elapsed=1.1s
[16:51:42] copies=120000 rate=99447/s BW=26.1 GB/s elapsed=1.2s
[16:51:42] copies=130000 rate=99763/s BW=26.2 GB/s elapsed=1.3s
[16:51:42] copies=140000 rate=100011/s BW=26.2 GB/s elapsed=1.4s
[16:51:42] copies=150000 rate=100144/s BW=26.3 GB/s elapsed=1.5s
[16:51:42] copies=160000 rate=100234/s BW=26.3 GB/s elapsed=1.6s
[16:51:42] copies=170000 rate=100435/s BW=26.3 GB/s elapsed=1.7s
[16:51:42] copies=180000 rate=100611/s BW=26.4 GB/s elapsed=1.8s
[16:51:42] copies=190000 rate=100759/s BW=26.4 GB/s elapsed=1.9s
[16:51:43] copies=200000 rate=100838/s BW=26.4 GB/s elapsed=2.0s
[16:51:43] copies=210000 rate=100839/s BW=26.4 GB/s elapsed=2.1s
[16:51:43] copies=220000 rate=101009/s BW=26.5 GB/s elapsed=2.2s
[16:51:43] copies=230000 rate=101160/s BW=26.5 GB/s elapsed=2.3s
[16:51:43] copies=240000 rate=101277/s BW=26.5 GB/s elapsed=2.4s
[16:51:43] copies=250000 rate=101390/s BW=26.6 GB/s elapsed=2.5s
[16:51:43] copies=260000 rate=101439/s BW=26.6 GB/s elapsed=2.6s
[16:51:43] copies=270000 rate=101540/s BW=26.6 GB/s elapsed=2.7s
[16:51:43] copies=280000 rate=101640/s BW=26.6 GB/s elapsed=2.8s
[16:51:43] copies=290000 rate=101735/s BW=26.7 GB/s elapsed=2.9s
[16:51:44] copies=300000 rate=101704/s BW=26.7 GB/s elapsed=2.9s
[16:51:44] copies=310000 rate=101805/s BW=26.7 GB/s elapsed=3.0s
[16:51:44] copies=320000 rate=101850/s BW=26.7 GB/s elapsed=3.1s
[16:51:44] copies=330000 rate=101893/s BW=26.7 GB/s elapsed=3.2s
[16:51:44] copies=340000 rate=101928/s BW=26.7 GB/s elapsed=3.3s
[16:51:44] copies=350000 rate=101965/s BW=26.7 GB/s elapsed=3.4s
[16:51:44] copies=360000 rate=101928/s BW=26.7 GB/s elapsed=3.5s
[16:51:44] copies=370000 rate=101978/s BW=26.7 GB/s elapsed=3.6s
[16:51:44] copies=380000 rate=102031/s BW=26.7 GB/s elapsed=3.7s
[16:51:44] copies=390000 rate=102085/s BW=26.8 GB/s elapsed=3.8s
[16:51:45] copies=400000 rate=102045/s BW=26.8 GB/s elapsed=3.9s
[16:51:45] copies=410000 rate=102108/s BW=26.8 GB/s elapsed=4.0s
[16:51:45] copies=420000 rate=102163/s BW=26.8 GB/s elapsed=4.1s
[16:51:45] copies=430000 rate=102219/s BW=26.8 GB/s elapsed=4.2s
[16:51:45] copies=440000 rate=102272/s BW=26.8 GB/s elapsed=4.3s
[16:51:45] copies=450000 rate=102315/s BW=26.8 GB/s elapsed=4.4s
[16:51:45] copies=460000 rate=102311/s BW=26.8 GB/s elapsed=4.5s
[16:51:45] copies=470000 rate=102350/s BW=26.8 GB/s elapsed=4.6s
[16:51:45] copies=480000 rate=102390/s BW=26.8 GB/s elapsed=4.7s
[16:51:45] copies=490000 rate=102424/s BW=26.8 GB/s elapsed=4.8s
[16:51:45] copies=500000 rate=102408/s BW=26.8 GB/s elapsed=4.9s
[16:51:46] copies=510000 rate=102447/s BW=26.9 GB/s elapsed=5.0s
[16:51:46] copies=520000 rate=102480/s BW=26.9 GB/s elapsed=5.1s
[16:51:46] copies=530000 rate=102518/s BW=26.9 GB/s elapsed=5.2s
[16:51:46] copies=540000 rate=102560/s BW=26.9 GB/s elapsed=5.3s
[16:51:46] copies=550000 rate=102598/s BW=26.9 GB/s elapsed=5.4s
[16:51:46] copies=560000 rate=102600/s BW=26.9 GB/s elapsed=5.5s
[16:51:46] copies=570000 rate=102629/s BW=26.9 GB/s elapsed=5.6s
[16:51:46] copies=580000 rate=102654/s BW=26.9 GB/s elapsed=5.7s
[16:51:46] copies=590000 rate=102681/s BW=26.9 GB/s elapsed=5.7s
[16:51:46] copies=600000 rate=102672/s BW=26.9 GB/s elapsed=5.8s
[16:51:47] copies=610000 rate=102700/s BW=26.9 GB/s elapsed=5.9s
[16:51:47] copies=620000 rate=102700/s BW=26.9 GB/s elapsed=6.0s
[16:51:47] copies=630000 rate=102704/s BW=26.9 GB/s elapsed=6.1s
[16:51:47] copies=640000 rate=102714/s BW=26.9 GB/s elapsed=6.2s
[16:51:47] copies=650000 rate=102742/s BW=26.9 GB/s elapsed=6.3s
[16:51:47] copies=660000 rate=102728/s BW=26.9 GB/s elapsed=6.4s
[16:51:47] copies=670000 rate=102747/s BW=26.9 GB/s elapsed=6.5s
