[16:54:32] allocating 2× 128 KB buffers
[16:54:32] entering high-launch-rate memcpy loop
[16:54:33] copies=10000 rate=100585/s BW=26.4 GB/s elapsed=0.1s
[16:54:33] copies=20000 rate=100122/s BW=26.2 GB/s elapsed=0.2s
[16:54:33] copies=30000 rate=100228/s BW=26.3 GB/s elapsed=0.3s
[16:54:33] copies=40000 rate=99719/s BW=26.1 GB/s elapsed=0.4s
[16:54:33] copies=50000 rate=99849/s BW=26.2 GB/s elapsed=0.5s
[16:54:33] copies=60000 rate=99931/s BW=26.2 GB/s elapsed=0.6s
[16:54:33] copies=70000 rate=99682/s BW=26.1 GB/s elapsed=0.7s
[16:54:33] copies=80000 rate=99867/s BW=26.2 GB/s elapsed=0.8s
[16:54:33] copies=90000 rate=99678/s BW=26.1 GB/s elapsed=0.9s
[16:54:33] copies=100000 rate=99585/s BW=26.1 GB/s elapsed=1.0s
[16:54:34] copies=110000 rate=99455/s BW=26.1 GB/s elapsed=1.1s
[16:54:34] copies=120000 rate=99457/s BW=26.1 GB/s elapsed=1.2s
[16:54:34] copies=130000 rate=99459/s BW=26.1 GB/s elapsed=1.3s
[16:54:34] copies=140000 rate=99451/s BW=26.1 GB/s elapsed=1.4s
[16:54:34] copies=150000 rate=99391/s BW=26.1 GB/s elapsed=1.5s
[16:54:34] copies=160000 rate=99286/s BW=26.0 GB/s elapsed=1.6s
[16:54:34] copies=170000 rate=99329/s BW=26.0 GB/s elapsed=1.7s
[16:54:34] copies=180000 rate=99327/s BW=26.0 GB/s elapsed=1.8s
[16:54:34] copies=190000 rate=99330/s BW=26.0 GB/s elapsed=1.9s
[16:54:34] copies=200000 rate=99260/s BW=26.0 GB/s elapsed=2.0s
[16:54:35] copies=210000 rate=99094/s BW=26.0 GB/s elapsed=2.1s
[16:54:35] copies=220000 rate=99114/s BW=26.0 GB/s elapsed=2.2s
[16:54:35] copies=230000 rate=99148/s BW=26.0 GB/s elapsed=2.3s
[16:54:35] copies=240000 rate=99115/s BW=26.0 GB/s elapsed=2.4s
[16:54:35] copies=250000 rate=99115/s BW=26.0 GB/s elapsed=2.5s
[16:54:35] copies=260000 rate=99068/s BW=26.0 GB/s elapsed=2.6s
[16:54:35] copies=270000 rate=99080/s BW=26.0 GB/s elapsed=2.7s
[16:54:35] copies=280000 rate=99101/s BW=26.0 GB/s elapsed=2.8s
[16:54:35] copies=290000 rate=99129/s BW=26.0 GB/s elapsed=2.9s
[16:54:35] copies=300000 rate=99039/s BW=26.0 GB/s elapsed=3.0s
[16:54:36] copies=310000 rate=99051/s BW=26.0 GB/s elapsed=3.1s
[16:54:36] copies=320000 rate=99050/s BW=26.0 GB/s elapsed=3.2s
[16:54:36] copies=330000 rate=99054/s BW=26.0 GB/s elapsed=3.3s
[16:54:36] copies=340000 rate=99056/s BW=26.0 GB/s elapsed=3.4s
[16:54:36] copies=350000 rate=99013/s BW=26.0 GB/s elapsed=3.5s
[16:54:36] copies=360000 rate=98986/s BW=25.9 GB/s elapsed=3.6s
[16:54:36] copies=370000 rate=99000/s BW=26.0 GB/s elapsed=3.7s
[16:54:36] copies=380000 rate=99015/s BW=26.0 GB/s elapsed=3.8s
[16:54:36] copies=390000 rate=99020/s BW=26.0 GB/s elapsed=3.9s
[16:54:36] copies=400000 rate=98952/s BW=25.9 GB/s elapsed=4.0s
[16:54:37] copies=410000 rate=98986/s BW=25.9 GB/s elapsed=4.1s
[16:54:37] copies=420000 rate=99006/s BW=26.0 GB/s elapsed=4.2s
[16:54:37] copies=430000 rate=99028/s BW=26.0 GB/s elapsed=4.3s
[16:54:37] copies=440000 rate=99036/s BW=26.0 GB/s elapsed=4.4s
[16:54:37] copies=450000 rate=99051/s BW=26.0 GB/s elapsed=4.5s
[16:54:37] copies=460000 rate=99028/s BW=26.0 GB/s elapsed=4.6s
[16:54:37] copies=470000 rate=99046/s BW=26.0 GB/s elapsed=4.7s
[16:54:37] copies=480000 rate=99061/s BW=26.0 GB/s elapsed=4.8s
[16:54:37] copies=490000 rate=99072/s BW=26.0 GB/s elapsed=4.9s
[16:54:37] copies=500000 rate=99036/s BW=26.0 GB/s elapsed=5.0s
[16:54:38] copies=510000 rate=99060/s BW=26.0 GB/s elapsed=5.1s
[16:54:38] copies=520000 rate=99077/s BW=26.0 GB/s elapsed=5.2s
[16:54:38] copies=530000 rate=99091/s BW=26.0 GB/s elapsed=5.3s
[16:54:38] copies=540000 rate=99070/s BW=26.0 GB/s elapsed=5.5s
[16:54:38] copies=550000 rate=99071/s BW=26.0 GB/s elapsed=5.6s
[16:54:38] copies=560000 rate=99051/s BW=26.0 GB/s elapsed=5.7s
[16:54:38] copies=570000 rate=99060/s BW=26.0 GB/s elapsed=5.8s
[16:54:38] copies=580000 rate=99076/s BW=26.0 GB/s elapsed=5.9s
[16:54:38] copies=590000 rate=99087/s BW=26.0 GB/s elapsed=6.0s
