[17:22:46] building ChanPred model
[17:22:47] params=43104
[17:22:47] warmup done
[17:22:47] iter=500  elapsed=0.4s
[17:22:47] iter=1000  elapsed=0.7s
[17:22:48] iter=1500  elapsed=1.0s
[17:22:48] iter=2000  elapsed=1.4s
[17:22:48] iter=2500  elapsed=1.7s
[17:22:49] iter=3000  elapsed=2.1s
[17:22:49] iter=3500  elapsed=2.4s
[17:22:49] iter=4000  elapsed=2.7s
[17:22:50] iter=4500  elapsed=3.1s
[17:22:50] iter=5000  elapsed=3.4s
[17:22:50] iter=5500  elapsed=3.8s
[17:22:51] iter=6000  elapsed=4.1s
[17:22:51] iter=6500  elapsed=4.5s
[17:22:52] iter=7000  elapsed=4.8s
[17:22:52] iter=7500  elapsed=5.1s
[17:22:52] iter=8000  elapsed=5.5s
[17:22:53] iter=8500  elapsed=5.8s
[17:22:53] iter=9000  elapsed=6.2s
[17:22:53] iter=9500  elapsed=6.5s
[17:22:54] iter=10000  elapsed=6.8s
[17:22:54] iter=10500  elapsed=7.2s
[17:22:54] iter=11000  elapsed=7.5s
[17:22:55] iter=11500  elapsed=7.9s
[17:22:55] iter=12000  elapsed=8.2s
[17:22:55] iter=12500  elapsed=8.5s
[17:22:56] iter=13000  elapsed=8.9s
[17:22:56] iter=13500  elapsed=9.2s
[17:22:56] iter=14000  elapsed=9.6s
[17:22:57] iter=14500  elapsed=9.9s
[17:22:57] iter=15000  elapsed=10.3s
[17:22:57] iter=15500  elapsed=10.6s
[17:22:58] iter=16000  elapsed=10.9s
[17:22:58] iter=16500  elapsed=11.3s
[17:22:58] iter=17000  elapsed=11.6s
[17:22:59] iter=17500  elapsed=12.0s
[17:22:59] iter=18000  elapsed=12.3s
[17:22:59] iter=18500  elapsed=12.7s
[17:23:00] iter=19000  elapsed=13.0s
[17:23:00] iter=19500  elapsed=13.4s
[17:23:00] iter=20000  elapsed=13.7s
[17:23:01] iter=20500  elapsed=14.1s
[17:23:01] iter=21000  elapsed=14.5s
[17:23:02] iter=21500  elapsed=15.0s
[17:23:02] iter=22000  elapsed=15.4s
[17:23:03] iter=22500  elapsed=15.9s
[17:23:03] iter=23000  elapsed=16.4s
[17:23:04] iter=23500  elapsed=16.9s
[17:23:04] iter=24000  elapsed=17.3s
[17:23:05] iter=24500  elapsed=17.8s
[17:23:05] iter=25000  elapsed=18.3s
[17:23:06] iter=25500  elapsed=18.8s
[17:23:06] iter=26000  elapsed=19.3s
[17:23:06] iter=26500  elapsed=19.7s
[17:23:07] iter=27000  elapsed=20.2s
[17:23:07] iter=27500  elapsed=20.7s
[17:23:08] iter=28000  elapsed=21.2s
[17:23:08] iter=28500  elapsed=21.7s
[17:23:09] iter=29000  elapsed=22.2s
[17:23:09] iter=29500  elapsed=22.6s
[17:23:10] iter=30000  elapsed=23.1s
[17:23:10] iter=30500  elapsed=23.6s
[17:23:11] iter=31000  elapsed=24.1s
[17:23:11] iter=31500  elapsed=24.6s
[17:23:12] iter=32000  elapsed=25.0s
[17:23:12] iter=32500  elapsed=25.5s
[17:23:13] iter=33000  elapsed=26.0s
[17:23:13] iter=33500  elapsed=26.5s
[17:23:14] iter=34000  elapsed=27.0s
[17:23:14] iter=34500  elapsed=27.4s
[17:23:15] iter=35000  elapsed=27.9s
[17:23:15] iter=35500  elapsed=28.3s
[17:23:15] iter=36000  elapsed=28.6s
[17:23:16] iter=36500  elapsed=28.9s
[17:23:16] iter=37000  elapsed=29.3s
[17:23:16] iter=37500  elapsed=29.6s
[17:23:17] iter=38000  elapsed=30.0s
[17:23:17] iter=38500  elapsed=30.3s
[17:23:17] iter=39000  elapsed=30.6s
[17:23:18] iter=39500  elapsed=30.9s
