[17:48:34] allocating 2× 128 KB buffers
[17:48:34] entering high-launch-rate memcpy loop
[17:48:35] copies=10000 rate=103553/s BW=27.1 GB/s elapsed=0.1s
[17:48:35] copies=20000 rate=103384/s BW=27.1 GB/s elapsed=0.2s
[17:48:35] copies=30000 rate=103569/s BW=27.1 GB/s elapsed=0.3s
[17:48:35] copies=40000 rate=103104/s BW=27.0 GB/s elapsed=0.4s
[17:48:35] copies=50000 rate=103078/s BW=27.0 GB/s elapsed=0.5s
[17:48:35] copies=60000 rate=102943/s BW=27.0 GB/s elapsed=0.6s
[17:48:35] copies=70000 rate=102921/s BW=27.0 GB/s elapsed=0.7s
[17:48:35] copies=80000 rate=103210/s BW=27.1 GB/s elapsed=0.8s
[17:48:35] copies=90000 rate=103362/s BW=27.1 GB/s elapsed=0.9s
[17:48:35] copies=100000 rate=103064/s BW=27.0 GB/s elapsed=1.0s
[17:48:36] copies=110000 rate=102923/s BW=27.0 GB/s elapsed=1.1s
[17:48:36] copies=120000 rate=102982/s BW=27.0 GB/s elapsed=1.2s
[17:48:36] copies=130000 rate=103033/s BW=27.0 GB/s elapsed=1.3s
[17:48:36] copies=140000 rate=103091/s BW=27.0 GB/s elapsed=1.4s
[17:48:36] copies=150000 rate=103067/s BW=27.0 GB/s elapsed=1.5s
[17:48:36] copies=160000 rate=102879/s BW=27.0 GB/s elapsed=1.6s
[17:48:36] copies=170000 rate=102972/s BW=27.0 GB/s elapsed=1.7s
[17:48:36] copies=180000 rate=103033/s BW=27.0 GB/s elapsed=1.7s
[17:48:36] copies=190000 rate=103083/s BW=27.0 GB/s elapsed=1.8s
[17:48:36] copies=200000 rate=103078/s BW=27.0 GB/s elapsed=1.9s
[17:48:37] copies=210000 rate=102967/s BW=27.0 GB/s elapsed=2.0s
[17:48:37] copies=220000 rate=102981/s BW=27.0 GB/s elapsed=2.1s
[17:48:37] copies=230000 rate=102992/s BW=27.0 GB/s elapsed=2.2s
[17:48:37] copies=240000 rate=102939/s BW=27.0 GB/s elapsed=2.3s
[17:48:37] copies=250000 rate=102953/s BW=27.0 GB/s elapsed=2.4s
[17:48:37] copies=260000 rate=102923/s BW=27.0 GB/s elapsed=2.5s
[17:48:37] copies=270000 rate=102967/s BW=27.0 GB/s elapsed=2.6s
[17:48:37] copies=280000 rate=103001/s BW=27.0 GB/s elapsed=2.7s
[17:48:37] copies=290000 rate=103027/s BW=27.0 GB/s elapsed=2.8s
[17:48:37] copies=300000 rate=102925/s BW=27.0 GB/s elapsed=2.9s
[17:48:37] copies=310000 rate=102972/s BW=27.0 GB/s elapsed=3.0s
[17:48:38] copies=320000 rate=102975/s BW=27.0 GB/s elapsed=3.1s
[17:48:38] copies=330000 rate=102979/s BW=27.0 GB/s elapsed=3.2s
[17:48:38] copies=340000 rate=102986/s BW=27.0 GB/s elapsed=3.3s
[17:48:38] copies=350000 rate=102993/s BW=27.0 GB/s elapsed=3.4s
[17:48:38] copies=360000 rate=102970/s BW=27.0 GB/s elapsed=3.5s
[17:48:38] copies=370000 rate=102987/s BW=27.0 GB/s elapsed=3.6s
[17:48:38] copies=380000 rate=103030/s BW=27.0 GB/s elapsed=3.7s
[17:48:38] copies=390000 rate=103065/s BW=27.0 GB/s elapsed=3.8s
[17:48:38] copies=400000 rate=102998/s BW=27.0 GB/s elapsed=3.9s
[17:48:38] copies=410000 rate=103031/s BW=27.0 GB/s elapsed=4.0s
[17:48:39] copies=420000 rate=103064/s BW=27.0 GB/s elapsed=4.1s
[17:48:39] copies=430000 rate=103094/s BW=27.0 GB/s elapsed=4.2s
[17:48:39] copies=440000 rate=103122/s BW=27.0 GB/s elapsed=4.3s
[17:48:39] copies=450000 rate=103143/s BW=27.0 GB/s elapsed=4.4s
[17:48:39] copies=460000 rate=103120/s BW=27.0 GB/s elapsed=4.5s
[17:48:39] copies=470000 rate=103142/s BW=27.0 GB/s elapsed=4.6s
[17:48:39] copies=480000 rate=103168/s BW=27.0 GB/s elapsed=4.7s
[17:48:39] copies=490000 rate=103190/s BW=27.1 GB/s elapsed=4.7s
[17:48:39] copies=500000 rate=103148/s BW=27.0 GB/s elapsed=4.8s
[17:48:39] copies=510000 rate=103171/s BW=27.0 GB/s elapsed=4.9s
[17:48:40] copies=520000 rate=103193/s BW=27.1 GB/s elapsed=5.0s
[17:48:40] copies=530000 rate=103211/s BW=27.1 GB/s elapsed=5.1s
[17:48:40] copies=540000 rate=103227/s BW=27.1 GB/s elapsed=5.2s
[17:48:40] copies=550000 rate=103234/s BW=27.1 GB/s elapsed=5.3s
[17:48:40] copies=560000 rate=103208/s BW=27.1 GB/s elapsed=5.4s
[17:48:40] copies=570000 rate=103217/s BW=27.1 GB/s elapsed=5.5s
[17:48:40] copies=580000 rate=103203/s BW=27.1 GB/s elapsed=5.6s
[17:48:40] copies=590000 rate=103197/s BW=27.1 GB/s elapsed=5.7s
[17:48:40] copies=600000 rate=103176/s BW=27.0 GB/s elapsed=5.8s
[17:48:40] copies=610000 rate=103188/s BW=27.1 GB/s elapsed=5.9s
[17:48:40] copies=620000 rate=103200/s BW=27.1 GB/s elapsed=6.0s
[17:48:41] copies=630000 rate=103214/s BW=27.1 GB/s elapsed=6.1s
[17:48:41] copies=640000 rate=103226/s BW=27.1 GB/s elapsed=6.2s
[17:48:41] copies=650000 rate=103223/s BW=27.1 GB/s elapsed=6.3s
[17:48:41] copies=660000 rate=103202/s BW=27.1 GB/s elapsed=6.4s
[17:48:41] copies=670000 rate=103218/s BW=27.1 GB/s elapsed=6.5s
[17:48:41] copies=680000 rate=103234/s BW=27.1 GB/s elapsed=6.6s
[17:48:41] copies=690000 rate=103252/s BW=27.1 GB/s elapsed=6.7s
[17:48:41] copies=700000 rate=103192/s BW=27.1 GB/s elapsed=6.8s
[17:48:41] copies=710000 rate=103210/s BW=27.1 GB/s elapsed=6.9s
[17:48:41] copies=720000 rate=103224/s BW=27.1 GB/s elapsed=7.0s
[17:48:42] copies=730000 rate=103238/s BW=27.1 GB/s elapsed=7.1s
[17:48:42] copies=740000 rate=103255/s BW=27.1 GB/s elapsed=7.2s
[17:48:42] copies=750000 rate=103273/s BW=27.1 GB/s elapsed=7.3s
[17:48:42] copies=760000 rate=103256/s BW=27.1 GB/s elapsed=7.4s
[17:48:42] copies=770000 rate=103268/s BW=27.1 GB/s elapsed=7.5s
[17:48:42] copies=780000 rate=103282/s BW=27.1 GB/s elapsed=7.6s
[17:48:42] copies=790000 rate=103295/s BW=27.1 GB/s elapsed=7.6s
[17:48:42] copies=800000 rate=103271/s BW=27.1 GB/s elapsed=7.7s
[17:48:42] copies=810000 rate=103275/s BW=27.1 GB/s elapsed=7.8s
[17:48:42] copies=820000 rate=103282/s BW=27.1 GB/s elapsed=7.9s
[17:48:43] copies=830000 rate=103291/s BW=27.1 GB/s elapsed=8.0s
[17:48:43] copies=840000 rate=103281/s BW=27.1 GB/s elapsed=8.1s
[17:48:43] copies=850000 rate=103288/s BW=27.1 GB/s elapsed=8.2s
[17:48:43] copies=860000 rate=103269/s BW=27.1 GB/s elapsed=8.3s
[17:48:43] copies=870000 rate=103279/s BW=27.1 GB/s elapsed=8.4s
[17:48:43] copies=880000 rate=103286/s BW=27.1 GB/s elapsed=8.5s
[17:48:43] copies=890000 rate=103295/s BW=27.1 GB/s elapsed=8.6s
[17:48:43] copies=900000 rate=103276/s BW=27.1 GB/s elapsed=8.7s
[17:48:43] copies=910000 rate=103268/s BW=27.1 GB/s elapsed=8.8s
[17:48:43] copies=920000 rate=103286/s BW=27.1 GB/s elapsed=8.9s
[17:48:43] copies=930000 rate=103293/s BW=27.1 GB/s elapsed=9.0s
[17:48:44] copies=940000 rate=103301/s BW=27.1 GB/s elapsed=9.1s
[17:48:44] copies=950000 rate=103307/s BW=27.1 GB/s elapsed=9.2s
[17:48:44] copies=960000 rate=103293/s BW=27.1 GB/s elapsed=9.3s
[17:48:44] copies=970000 rate=103302/s BW=27.1 GB/s elapsed=9.4s
[17:48:44] copies=980000 rate=103311/s BW=27.1 GB/s elapsed=9.5s
[17:48:44] copies=990000 rate=103317/s BW=27.1 GB/s elapsed=9.6s
[17:48:44] copies=1000000 rate=103295/s BW=27.1 GB/s elapsed=9.7s
[17:48:44] copies=1010000 rate=103299/s BW=27.1 GB/s elapsed=9.8s
[17:48:44] copies=1020000 rate=103304/s BW=27.1 GB/s elapsed=9.9s
[17:48:44] copies=1030000 rate=103312/s BW=27.1 GB/s elapsed=10.0s
[17:48:45] copies=1040000 rate=103313/s BW=27.1 GB/s elapsed=10.1s
[17:48:45] copies=1050000 rate=103300/s BW=27.1 GB/s elapsed=10.2s
[17:48:45] copies=1060000 rate=103302/s BW=27.1 GB/s elapsed=10.3s
[17:48:45] copies=1070000 rate=103305/s BW=27.1 GB/s elapsed=10.4s
[17:48:45] copies=1080000 rate=103307/s BW=27.1 GB/s elapsed=10.5s
[17:48:45] copies=1090000 rate=103292/s BW=27.1 GB/s elapsed=10.6s
[17:48:45] copies=1100000 rate=103277/s BW=27.1 GB/s elapsed=10.7s
[17:48:45] copies=1110000 rate=103271/s BW=27.1 GB/s elapsed=10.7s
[17:48:45] copies=1120000 rate=103282/s BW=27.1 GB/s elapsed=10.8s
[17:48:45] copies=1130000 rate=103298/s BW=27.1 GB/s elapsed=10.9s
[17:48:46] copies=1140000 rate=103302/s BW=27.1 GB/s elapsed=11.0s
[17:48:46] copies=1150000 rate=103289/s BW=27.1 GB/s elapsed=11.1s
[17:48:46] copies=1160000 rate=103296/s BW=27.1 GB/s elapsed=11.2s
[17:48:46] copies=1170000 rate=103304/s BW=27.1 GB/s elapsed=11.3s
[17:48:46] copies=1180000 rate=103296/s BW=27.1 GB/s elapsed=11.4s
[17:48:46] copies=1190000 rate=103304/s BW=27.1 GB/s elapsed=11.5s
[17:48:46] copies=1200000 rate=103285/s BW=27.1 GB/s elapsed=11.6s
[17:48:46] copies=1210000 rate=103303/s BW=27.1 GB/s elapsed=11.7s
[17:48:46] copies=1220000 rate=103311/s BW=27.1 GB/s elapsed=11.8s
[17:48:46] copies=1230000 rate=103320/s BW=27.1 GB/s elapsed=11.9s
[17:48:46] copies=1240000 rate=103324/s BW=27.1 GB/s elapsed=12.0s
[17:48:47] copies=1250000 rate=103315/s BW=27.1 GB/s elapsed=12.1s
[17:48:47] copies=1260000 rate=103323/s BW=27.1 GB/s elapsed=12.2s
[17:48:47] copies=1270000 rate=103331/s BW=27.1 GB/s elapsed=12.3s
[17:48:47] copies=1280000 rate=103334/s BW=27.1 GB/s elapsed=12.4s
[17:48:47] copies=1290000 rate=103338/s BW=27.1 GB/s elapsed=12.5s
[17:48:47] copies=1300000 rate=103324/s BW=27.1 GB/s elapsed=12.6s
[17:48:47] copies=1310000 rate=103346/s BW=27.1 GB/s elapsed=12.7s
[17:48:47] copies=1320000 rate=103357/s BW=27.1 GB/s elapsed=12.8s
[17:48:47] copies=1330000 rate=103366/s BW=27.1 GB/s elapsed=12.9s
[17:48:47] copies=1340000 rate=103378/s BW=27.1 GB/s elapsed=13.0s
[17:48:48] copies=1350000 rate=103374/s BW=27.1 GB/s elapsed=13.1s
[17:48:48] copies=1360000 rate=103384/s BW=27.1 GB/s elapsed=13.2s
[17:48:48] copies=1370000 rate=103393/s BW=27.1 GB/s elapsed=13.3s
[17:48:48] copies=1380000 rate=103402/s BW=27.1 GB/s elapsed=13.3s
[17:48:48] copies=1390000 rate=103412/s BW=27.1 GB/s elapsed=13.4s
[17:48:48] copies=1400000 rate=103385/s BW=27.1 GB/s elapsed=13.5s
[17:48:48] copies=1410000 rate=103379/s BW=27.1 GB/s elapsed=13.6s
[17:48:48] copies=1420000 rate=103374/s BW=27.1 GB/s elapsed=13.7s
[17:48:48] copies=1430000 rate=103372/s BW=27.1 GB/s elapsed=13.8s
[17:48:48] copies=1440000 rate=103378/s BW=27.1 GB/s elapsed=13.9s
[17:48:49] copies=1450000 rate=103377/s BW=27.1 GB/s elapsed=14.0s
[17:48:49] copies=1460000 rate=103382/s BW=27.1 GB/s elapsed=14.1s
[17:48:49] copies=1470000 rate=103387/s BW=27.1 GB/s elapsed=14.2s
[17:48:49] copies=1480000 rate=103395/s BW=27.1 GB/s elapsed=14.3s
[17:48:49] copies=1490000 rate=103400/s BW=27.1 GB/s elapsed=14.4s
[17:48:49] copies=1500000 rate=103380/s BW=27.1 GB/s elapsed=14.5s
[17:48:49] copies=1510000 rate=103380/s BW=27.1 GB/s elapsed=14.6s
[17:48:49] copies=1520000 rate=103386/s BW=27.1 GB/s elapsed=14.7s
[17:48:49] copies=1530000 rate=103391/s BW=27.1 GB/s elapsed=14.8s
[17:48:49] copies=1540000 rate=103379/s BW=27.1 GB/s elapsed=14.9s
[17:48:49] copies=1550000 rate=103373/s BW=27.1 GB/s elapsed=15.0s
[17:48:50] copies=1560000 rate=103386/s BW=27.1 GB/s elapsed=15.1s
[17:48:50] copies=1570000 rate=103393/s BW=27.1 GB/s elapsed=15.2s
[17:48:50] copies=1580000 rate=103401/s BW=27.1 GB/s elapsed=15.3s
[17:48:50] copies=1590000 rate=103370/s BW=27.1 GB/s elapsed=15.4s
[17:48:50] copies=1600000 rate=103358/s BW=27.1 GB/s elapsed=15.5s
[17:48:50] copies=1610000 rate=103360/s BW=27.1 GB/s elapsed=15.6s
[17:48:50] copies=1620000 rate=103312/s BW=27.1 GB/s elapsed=15.7s
[17:48:50] copies=1630000 rate=103311/s BW=27.1 GB/s elapsed=15.8s
[17:48:50] copies=1640000 rate=103229/s BW=27.1 GB/s elapsed=15.9s
[17:48:51] copies=1650000 rate=103045/s BW=27.0 GB/s elapsed=16.0s
[17:48:51] copies=1660000 rate=102836/s BW=27.0 GB/s elapsed=16.1s
