[17:51:17] allocating 2× 128 KB buffers
[17:51:18] entering high-launch-rate memcpy loop
[17:51:18] copies=10000 rate=97400/s BW=25.5 GB/s elapsed=0.1s
[17:51:18] copies=20000 rate=97427/s BW=25.5 GB/s elapsed=0.2s
[17:51:18] copies=30000 rate=96923/s BW=25.4 GB/s elapsed=0.3s
[17:51:19] copies=40000 rate=97247/s BW=25.5 GB/s elapsed=0.4s
[17:51:19] copies=50000 rate=97100/s BW=25.5 GB/s elapsed=0.5s
[17:51:19] copies=60000 rate=96792/s BW=25.4 GB/s elapsed=0.6s
[17:51:19] copies=70000 rate=97058/s BW=25.4 GB/s elapsed=0.7s
[17:51:19] copies=80000 rate=97005/s BW=25.4 GB/s elapsed=0.8s
[17:51:19] copies=90000 rate=97188/s BW=25.5 GB/s elapsed=0.9s
[17:51:19] copies=100000 rate=97156/s BW=25.5 GB/s elapsed=1.0s
[17:51:19] copies=110000 rate=97068/s BW=25.4 GB/s elapsed=1.1s
[17:51:19] copies=120000 rate=97128/s BW=25.5 GB/s elapsed=1.2s
[17:51:19] copies=130000 rate=97163/s BW=25.5 GB/s elapsed=1.3s
[17:51:20] copies=140000 rate=97203/s BW=25.5 GB/s elapsed=1.4s
[17:51:20] copies=150000 rate=97129/s BW=25.5 GB/s elapsed=1.5s
[17:51:20] copies=160000 rate=97091/s BW=25.5 GB/s elapsed=1.6s
[17:51:20] copies=170000 rate=97153/s BW=25.5 GB/s elapsed=1.7s
[17:51:20] copies=180000 rate=97210/s BW=25.5 GB/s elapsed=1.9s
[17:51:20] copies=190000 rate=97168/s BW=25.5 GB/s elapsed=2.0s
[17:51:20] copies=200000 rate=97306/s BW=25.5 GB/s elapsed=2.1s
[17:51:20] copies=210000 rate=97290/s BW=25.5 GB/s elapsed=2.2s
[17:51:20] copies=220000 rate=97292/s BW=25.5 GB/s elapsed=2.3s
[17:51:20] copies=230000 rate=97386/s BW=25.5 GB/s elapsed=2.4s
[17:51:21] copies=240000 rate=97441/s BW=25.5 GB/s elapsed=2.5s
[17:51:21] copies=250000 rate=97451/s BW=25.5 GB/s elapsed=2.6s
[17:51:21] copies=260000 rate=97419/s BW=25.5 GB/s elapsed=2.7s
[17:51:21] copies=270000 rate=97450/s BW=25.5 GB/s elapsed=2.8s
[17:51:21] copies=280000 rate=97475/s BW=25.6 GB/s elapsed=2.9s
[17:51:21] copies=290000 rate=97499/s BW=25.6 GB/s elapsed=3.0s
[17:51:21] copies=300000 rate=97365/s BW=25.5 GB/s elapsed=3.1s
[17:51:21] copies=310000 rate=97394/s BW=25.5 GB/s elapsed=3.2s
[17:51:21] copies=320000 rate=97417/s BW=25.5 GB/s elapsed=3.3s
[17:51:21] copies=330000 rate=97435/s BW=25.5 GB/s elapsed=3.4s
[17:51:22] copies=340000 rate=97420/s BW=25.5 GB/s elapsed=3.5s
[17:51:22] copies=350000 rate=97421/s BW=25.5 GB/s elapsed=3.6s
[17:51:22] copies=360000 rate=97391/s BW=25.5 GB/s elapsed=3.7s
[17:51:22] copies=370000 rate=97412/s BW=25.5 GB/s elapsed=3.8s
[17:51:22] copies=380000 rate=97427/s BW=25.5 GB/s elapsed=3.9s
[17:51:22] copies=390000 rate=97445/s BW=25.5 GB/s elapsed=4.0s
[17:51:22] copies=400000 rate=97374/s BW=25.5 GB/s elapsed=4.1s
[17:51:22] copies=410000 rate=97389/s BW=25.5 GB/s elapsed=4.2s
[17:51:22] copies=420000 rate=97403/s BW=25.5 GB/s elapsed=4.3s
[17:51:23] copies=430000 rate=97415/s BW=25.5 GB/s elapsed=4.4s
[17:51:23] copies=440000 rate=97426/s BW=25.5 GB/s elapsed=4.5s
[17:51:23] copies=450000 rate=97431/s BW=25.5 GB/s elapsed=4.6s
[17:51:23] copies=460000 rate=97406/s BW=25.5 GB/s elapsed=4.7s
[17:51:23] copies=470000 rate=97425/s BW=25.5 GB/s elapsed=4.8s
[17:51:23] copies=480000 rate=97433/s BW=25.5 GB/s elapsed=4.9s
[17:51:23] copies=490000 rate=97444/s BW=25.5 GB/s elapsed=5.0s
[17:51:23] copies=500000 rate=97403/s BW=25.5 GB/s elapsed=5.1s
