[19:14:05] building ChanPred model
[19:14:06] params=43104
[19:14:06] warmup done
[19:14:07] iter=500  elapsed=0.7s
[19:14:07] iter=1000  elapsed=1.4s
[19:14:08] iter=1500  elapsed=2.1s
[19:14:09] iter=2000  elapsed=2.8s
[19:14:10] iter=2500  elapsed=3.5s
[19:14:10] iter=3000  elapsed=4.2s
[19:14:11] iter=3500  elapsed=4.8s
[19:14:12] iter=4000  elapsed=5.5s
[19:14:12] iter=4500  elapsed=6.2s
[19:14:13] iter=5000  elapsed=6.9s
[19:14:14] iter=5500  elapsed=7.6s
[19:14:14] iter=6000  elapsed=8.3s
[19:14:15] iter=6500  elapsed=9.0s
[19:14:16] iter=7000  elapsed=9.6s
[19:14:16] iter=7500  elapsed=10.3s
[19:14:17] iter=8000  elapsed=11.0s
[19:14:18] iter=8500  elapsed=11.7s
[19:14:18] iter=9000  elapsed=12.4s
[19:14:19] iter=9500  elapsed=13.1s
[19:14:20] iter=10000  elapsed=13.8s
[19:14:21] iter=10500  elapsed=14.4s
[19:14:21] iter=11000  elapsed=15.1s
[19:14:22] iter=11500  elapsed=15.8s
[19:14:23] iter=12000  elapsed=16.5s
[19:14:23] iter=12500  elapsed=17.2s
[19:14:24] iter=13000  elapsed=17.9s
[19:14:25] iter=13500  elapsed=18.6s
[19:14:25] iter=14000  elapsed=19.3s
[19:14:26] iter=14500  elapsed=19.9s
[19:14:27] iter=15000  elapsed=20.6s
[19:14:27] iter=15500  elapsed=21.3s
[19:14:28] iter=16000  elapsed=22.0s
[19:14:29] iter=16500  elapsed=22.7s
[19:14:29] iter=17000  elapsed=23.4s
[19:14:30] iter=17500  elapsed=24.1s
[19:14:31] iter=18000  elapsed=24.7s
[19:14:32] iter=18500  elapsed=25.4s
[19:14:32] iter=19000  elapsed=26.1s
