[18:53:42] building ChanPred model
[18:53:42] params=43104
[18:53:42] warmup done
[18:53:43] iter=500  elapsed=0.7s
[18:53:44] iter=1000  elapsed=1.4s
[18:53:44] iter=1500  elapsed=2.1s
[18:53:45] iter=2000  elapsed=2.8s
[18:53:46] iter=2500  elapsed=3.5s
[18:53:46] iter=3000  elapsed=4.2s
[18:53:47] iter=3500  elapsed=4.9s
[18:53:48] iter=4000  elapsed=5.6s
[18:53:49] iter=4500  elapsed=6.2s
[18:53:49] iter=5000  elapsed=6.9s
[18:53:50] iter=5500  elapsed=7.6s
[18:53:51] iter=6000  elapsed=8.3s
[18:53:51] iter=6500  elapsed=9.0s
[18:53:52] iter=7000  elapsed=9.7s
[18:53:53] iter=7500  elapsed=10.3s
[18:53:53] iter=8000  elapsed=11.0s
[18:53:54] iter=8500  elapsed=11.7s
[18:53:55] iter=9000  elapsed=12.4s
[18:53:55] iter=9500  elapsed=13.1s
[18:53:56] iter=10000  elapsed=13.8s
[18:53:57] iter=10500  elapsed=14.4s
[18:53:57] iter=11000  elapsed=15.1s
[18:53:58] iter=11500  elapsed=15.8s
[18:53:59] iter=12000  elapsed=16.5s
[18:53:59] iter=12500  elapsed=17.2s
[18:54:00] iter=13000  elapsed=17.9s
[18:54:01] iter=13500  elapsed=18.5s
[18:54:02] iter=14000  elapsed=19.2s
[18:54:02] iter=14500  elapsed=19.9s
[18:54:03] iter=15000  elapsed=20.6s
[18:54:04] iter=15500  elapsed=21.3s
[18:54:04] iter=16000  elapsed=22.0s
[18:54:05] iter=16500  elapsed=22.6s
[18:54:06] iter=17000  elapsed=23.3s
[18:54:06] iter=17500  elapsed=24.0s
[18:54:07] iter=18000  elapsed=24.7s
[18:54:08] iter=18500  elapsed=25.4s
[18:54:08] iter=19000  elapsed=26.1s
[18:54:09] iter=19500  elapsed=26.8s
