[19:07:25] allocating 2× 128 KB buffers
[19:07:26] entering high-launch-rate memcpy loop
[19:07:26] copies=10000 rate=102104/s BW=26.8 GB/s elapsed=0.1s
[19:07:26] copies=20000 rate=102597/s BW=26.9 GB/s elapsed=0.2s
[19:07:26] copies=30000 rate=102322/s BW=26.8 GB/s elapsed=0.3s
[19:07:26] copies=40000 rate=102361/s BW=26.8 GB/s elapsed=0.4s
[19:07:27] copies=50000 rate=101739/s BW=26.7 GB/s elapsed=0.5s
[19:07:27] copies=60000 rate=101769/s BW=26.7 GB/s elapsed=0.6s
[19:07:27] copies=70000 rate=101957/s BW=26.7 GB/s elapsed=0.7s
[19:07:27] copies=80000 rate=101749/s BW=26.7 GB/s elapsed=0.8s
[19:07:27] copies=90000 rate=101873/s BW=26.7 GB/s elapsed=0.9s
[19:07:27] copies=100000 rate=101895/s BW=26.7 GB/s elapsed=1.0s
[19:07:27] copies=110000 rate=101680/s BW=26.7 GB/s elapsed=1.1s
[19:07:27] copies=120000 rate=101758/s BW=26.7 GB/s elapsed=1.2s
[19:07:27] copies=130000 rate=101829/s BW=26.7 GB/s elapsed=1.3s
[19:07:27] copies=140000 rate=101899/s BW=26.7 GB/s elapsed=1.4s
[19:07:27] copies=150000 rate=101910/s BW=26.7 GB/s elapsed=1.5s
[19:07:28] copies=160000 rate=101871/s BW=26.7 GB/s elapsed=1.6s
[19:07:28] copies=170000 rate=101914/s BW=26.7 GB/s elapsed=1.7s
[19:07:28] copies=180000 rate=101939/s BW=26.7 GB/s elapsed=1.8s
[19:07:28] copies=190000 rate=101977/s BW=26.7 GB/s elapsed=1.9s
[19:07:28] copies=200000 rate=101980/s BW=26.7 GB/s elapsed=2.0s
[19:07:28] copies=210000 rate=101930/s BW=26.7 GB/s elapsed=2.1s
[19:07:28] copies=220000 rate=101962/s BW=26.7 GB/s elapsed=2.2s
[19:07:28] copies=230000 rate=101983/s BW=26.7 GB/s elapsed=2.3s
[19:07:28] copies=240000 rate=102000/s BW=26.7 GB/s elapsed=2.4s
[19:07:28] copies=250000 rate=101922/s BW=26.7 GB/s elapsed=2.5s
[19:07:29] copies=260000 rate=101899/s BW=26.7 GB/s elapsed=2.6s
[19:07:29] copies=270000 rate=101930/s BW=26.7 GB/s elapsed=2.6s
[19:07:29] copies=280000 rate=101961/s BW=26.7 GB/s elapsed=2.7s
[19:07:29] copies=290000 rate=101985/s BW=26.7 GB/s elapsed=2.8s
[19:07:29] copies=300000 rate=101893/s BW=26.7 GB/s elapsed=2.9s
[19:07:29] copies=310000 rate=101939/s BW=26.7 GB/s elapsed=3.0s
[19:07:29] copies=320000 rate=101970/s BW=26.7 GB/s elapsed=3.1s
[19:07:29] copies=330000 rate=101967/s BW=26.7 GB/s elapsed=3.2s
[19:07:29] copies=340000 rate=101968/s BW=26.7 GB/s elapsed=3.3s
[19:07:29] copies=350000 rate=101983/s BW=26.7 GB/s elapsed=3.4s
[19:07:30] copies=360000 rate=101968/s BW=26.7 GB/s elapsed=3.5s
[19:07:30] copies=370000 rate=101955/s BW=26.7 GB/s elapsed=3.6s
[19:07:30] copies=380000 rate=101984/s BW=26.7 GB/s elapsed=3.7s
[19:07:30] copies=390000 rate=102007/s BW=26.7 GB/s elapsed=3.8s
[19:07:30] copies=400000 rate=101947/s BW=26.7 GB/s elapsed=3.9s
[19:07:30] copies=410000 rate=101984/s BW=26.7 GB/s elapsed=4.0s
[19:07:30] copies=420000 rate=102012/s BW=26.7 GB/s elapsed=4.1s
[19:07:30] copies=430000 rate=102040/s BW=26.7 GB/s elapsed=4.2s
[19:07:30] copies=440000 rate=102065/s BW=26.8 GB/s elapsed=4.3s
[19:07:30] copies=450000 rate=102091/s BW=26.8 GB/s elapsed=4.4s
[19:07:31] copies=460000 rate=102053/s BW=26.8 GB/s elapsed=4.5s
[19:07:31] copies=470000 rate=102070/s BW=26.8 GB/s elapsed=4.6s
[19:07:31] copies=480000 rate=102088/s BW=26.8 GB/s elapsed=4.7s
[19:07:31] copies=490000 rate=102102/s BW=26.8 GB/s elapsed=4.8s
[19:07:31] copies=500000 rate=102068/s BW=26.8 GB/s elapsed=4.9s
[19:07:31] copies=510000 rate=102092/s BW=26.8 GB/s elapsed=5.0s
[19:07:31] copies=520000 rate=102107/s BW=26.8 GB/s elapsed=5.1s
[19:07:31] copies=530000 rate=102120/s BW=26.8 GB/s elapsed=5.2s
[19:07:31] copies=540000 rate=102127/s BW=26.8 GB/s elapsed=5.3s
[19:07:31] copies=550000 rate=102146/s BW=26.8 GB/s elapsed=5.4s
[19:07:32] copies=560000 rate=102114/s BW=26.8 GB/s elapsed=5.5s
[19:07:32] copies=570000 rate=102119/s BW=26.8 GB/s elapsed=5.6s
[19:07:32] copies=580000 rate=102083/s BW=26.8 GB/s elapsed=5.7s
[19:07:32] copies=590000 rate=102079/s BW=26.8 GB/s elapsed=5.8s
[19:07:32] copies=600000 rate=102060/s BW=26.8 GB/s elapsed=5.9s
[19:07:32] copies=610000 rate=102074/s BW=26.8 GB/s elapsed=6.0s
[19:07:32] copies=620000 rate=102081/s BW=26.8 GB/s elapsed=6.1s
[19:07:32] copies=630000 rate=102090/s BW=26.8 GB/s elapsed=6.2s
[19:07:32] copies=640000 rate=102097/s BW=26.8 GB/s elapsed=6.3s
[19:07:32] copies=650000 rate=102099/s BW=26.8 GB/s elapsed=6.4s
[19:07:32] copies=660000 rate=102045/s BW=26.8 GB/s elapsed=6.5s
[19:07:33] copies=670000 rate=102056/s BW=26.8 GB/s elapsed=6.6s
[19:07:33] copies=680000 rate=102066/s BW=26.8 GB/s elapsed=6.7s
[19:07:33] copies=690000 rate=102072/s BW=26.8 GB/s elapsed=6.8s
[19:07:33] copies=700000 rate=102058/s BW=26.8 GB/s elapsed=6.9s
[19:07:33] copies=710000 rate=101943/s BW=26.7 GB/s elapsed=7.0s
[19:07:33] copies=720000 rate=101925/s BW=26.7 GB/s elapsed=7.1s
[19:07:33] copies=730000 rate=101940/s BW=26.7 GB/s elapsed=7.2s
