[17:59:35] building ChanPred model
[17:59:36] params=43104
[17:59:36] warmup done
[17:59:37] iter=500  elapsed=0.5s
[17:59:37] iter=1000  elapsed=1.0s
[17:59:38] iter=1500  elapsed=1.5s
[17:59:38] iter=2000  elapsed=2.0s
[17:59:39] iter=2500  elapsed=2.5s
[17:59:39] iter=3000  elapsed=3.0s
[17:59:40] iter=3500  elapsed=3.5s
[17:59:40] iter=4000  elapsed=4.0s
[17:59:41] iter=4500  elapsed=4.4s
[17:59:41] iter=5000  elapsed=4.9s
[17:59:42] iter=5500  elapsed=5.4s
[17:59:42] iter=6000  elapsed=5.9s
[17:59:42] iter=6500  elapsed=6.4s
[17:59:43] iter=7000  elapsed=6.9s
[17:59:43] iter=7500  elapsed=7.4s
[17:59:44] iter=8000  elapsed=7.9s
[17:59:44] iter=8500  elapsed=8.4s
[17:59:45] iter=9000  elapsed=8.8s
[17:59:45] iter=9500  elapsed=9.3s
[17:59:46] iter=10000  elapsed=9.8s
[17:59:46] iter=10500  elapsed=10.3s
[17:59:47] iter=11000  elapsed=10.8s
[17:59:47] iter=11500  elapsed=11.3s
[17:59:48] iter=12000  elapsed=11.8s
[17:59:48] iter=12500  elapsed=12.3s
[17:59:49] iter=13000  elapsed=12.8s
[17:59:49] iter=13500  elapsed=13.3s
[17:59:50] iter=14000  elapsed=13.7s
[17:59:50] iter=14500  elapsed=14.2s
[17:59:51] iter=15000  elapsed=14.8s
[17:59:52] iter=15500  elapsed=15.4s
[17:59:52] iter=16000  elapsed=16.0s
[17:59:53] iter=16500  elapsed=16.7s
[17:59:53] iter=17000  elapsed=17.3s
[17:59:54] iter=17500  elapsed=18.0s
[17:59:55] iter=18000  elapsed=18.6s
[17:59:55] iter=18500  elapsed=19.2s
[17:59:56] iter=19000  elapsed=19.9s
[17:59:57] iter=19500  elapsed=20.5s
[17:59:57] iter=20000  elapsed=21.1s
[17:59:58] iter=20500  elapsed=21.8s
[17:59:58] iter=21000  elapsed=22.4s
[17:59:59] iter=21500  elapsed=23.0s
[18:00:00] iter=22000  elapsed=23.7s
[18:00:00] iter=22500  elapsed=24.3s
[18:00:01] iter=23000  elapsed=24.9s
[18:00:02] iter=23500  elapsed=25.6s
[18:00:02] iter=24000  elapsed=26.2s
[18:00:03] iter=24500  elapsed=26.8s
[18:00:04] iter=25000  elapsed=27.5s
[18:00:04] iter=25500  elapsed=28.1s
[18:00:05] iter=26000  elapsed=28.8s
[18:00:05] iter=26500  elapsed=29.4s
[18:00:06] iter=27000  elapsed=30.0s
[18:00:07] iter=27500  elapsed=30.7s
[18:00:07] iter=28000  elapsed=31.3s
[18:00:08] iter=28500  elapsed=31.9s
[18:00:09] iter=29000  elapsed=32.5s
[18:00:09] iter=29500  elapsed=33.1s
[18:00:10] iter=30000  elapsed=33.8s
[18:00:10] iter=30500  elapsed=34.4s
Collecting data...
Generating '/tmp/nsys-report-3d82.qdstrm'
