[18:47:11] allocating 2× 128 KB buffers
[18:47:12] entering high-launch-rate memcpy loop
[18:47:12] copies=10000 rate=104424/s BW=27.4 GB/s elapsed=0.1s
[18:47:12] copies=20000 rate=104482/s BW=27.4 GB/s elapsed=0.2s
[18:47:12] copies=30000 rate=103928/s BW=27.2 GB/s elapsed=0.3s
[18:47:12] copies=40000 rate=103851/s BW=27.2 GB/s elapsed=0.4s
[18:47:12] copies=50000 rate=103096/s BW=27.0 GB/s elapsed=0.5s
[18:47:12] copies=60000 rate=103285/s BW=27.1 GB/s elapsed=0.6s
[18:47:12] copies=70000 rate=103562/s BW=27.1 GB/s elapsed=0.7s
[18:47:13] copies=80000 rate=103414/s BW=27.1 GB/s elapsed=0.8s
[18:47:13] copies=90000 rate=103495/s BW=27.1 GB/s elapsed=0.9s
[18:47:13] copies=100000 rate=103466/s BW=27.1 GB/s elapsed=1.0s
[18:47:13] copies=110000 rate=103285/s BW=27.1 GB/s elapsed=1.1s
[18:47:13] copies=120000 rate=103389/s BW=27.1 GB/s elapsed=1.2s
[18:47:13] copies=130000 rate=103466/s BW=27.1 GB/s elapsed=1.3s
[18:47:13] copies=140000 rate=103548/s BW=27.1 GB/s elapsed=1.4s
[18:47:13] copies=150000 rate=103574/s BW=27.2 GB/s elapsed=1.4s
[18:47:13] copies=160000 rate=103527/s BW=27.1 GB/s elapsed=1.5s
[18:47:13] copies=170000 rate=103562/s BW=27.1 GB/s elapsed=1.6s
[18:47:14] copies=180000 rate=103592/s BW=27.2 GB/s elapsed=1.7s
[18:47:14] copies=190000 rate=103606/s BW=27.2 GB/s elapsed=1.8s
[18:47:14] copies=200000 rate=103615/s BW=27.2 GB/s elapsed=1.9s
[18:47:14] copies=210000 rate=103579/s BW=27.2 GB/s elapsed=2.0s
[18:47:14] copies=220000 rate=103544/s BW=27.1 GB/s elapsed=2.1s
[18:47:14] copies=230000 rate=103508/s BW=27.1 GB/s elapsed=2.2s
[18:47:14] copies=240000 rate=103553/s BW=27.1 GB/s elapsed=2.3s
[18:47:14] copies=250000 rate=103523/s BW=27.1 GB/s elapsed=2.4s
[18:47:14] copies=260000 rate=103438/s BW=27.1 GB/s elapsed=2.5s
[18:47:14] copies=270000 rate=103406/s BW=27.1 GB/s elapsed=2.6s
[18:47:15] copies=280000 rate=103414/s BW=27.1 GB/s elapsed=2.7s
[18:47:15] copies=290000 rate=103431/s BW=27.1 GB/s elapsed=2.8s
[18:47:15] copies=300000 rate=103315/s BW=27.1 GB/s elapsed=2.9s
[18:47:15] copies=310000 rate=103367/s BW=27.1 GB/s elapsed=3.0s
[18:47:15] copies=320000 rate=103409/s BW=27.1 GB/s elapsed=3.1s
[18:47:15] copies=330000 rate=103441/s BW=27.1 GB/s elapsed=3.2s
[18:47:15] copies=340000 rate=103427/s BW=27.1 GB/s elapsed=3.3s
[18:47:15] copies=350000 rate=103426/s BW=27.1 GB/s elapsed=3.4s
[18:47:15] copies=360000 rate=103393/s BW=27.1 GB/s elapsed=3.5s
[18:47:15] copies=370000 rate=103409/s BW=27.1 GB/s elapsed=3.6s
[18:47:15] copies=380000 rate=103397/s BW=27.1 GB/s elapsed=3.7s
[18:47:16] copies=390000 rate=103410/s BW=27.1 GB/s elapsed=3.8s
[18:47:16] copies=400000 rate=103338/s BW=27.1 GB/s elapsed=3.9s
[18:47:16] copies=410000 rate=103362/s BW=27.1 GB/s elapsed=4.0s
[18:47:16] copies=420000 rate=103372/s BW=27.1 GB/s elapsed=4.1s
[18:47:16] copies=430000 rate=103369/s BW=27.1 GB/s elapsed=4.2s
[18:47:16] copies=440000 rate=103368/s BW=27.1 GB/s elapsed=4.3s
[18:47:16] copies=450000 rate=103365/s BW=27.1 GB/s elapsed=4.4s
[18:47:16] copies=460000 rate=103322/s BW=27.1 GB/s elapsed=4.5s
[18:47:16] copies=470000 rate=103319/s BW=27.1 GB/s elapsed=4.5s
[18:47:16] copies=480000 rate=103314/s BW=27.1 GB/s elapsed=4.6s
[18:47:17] copies=490000 rate=103314/s BW=27.1 GB/s elapsed=4.7s
[18:47:17] copies=500000 rate=103270/s BW=27.1 GB/s elapsed=4.8s
[18:47:17] copies=510000 rate=103292/s BW=27.1 GB/s elapsed=4.9s
[18:47:17] copies=520000 rate=103299/s BW=27.1 GB/s elapsed=5.0s
[18:47:17] copies=530000 rate=103309/s BW=27.1 GB/s elapsed=5.1s
[18:47:17] copies=540000 rate=103328/s BW=27.1 GB/s elapsed=5.2s
[18:47:17] copies=550000 rate=103332/s BW=27.1 GB/s elapsed=5.3s
[18:47:17] copies=560000 rate=103331/s BW=27.1 GB/s elapsed=5.4s
[18:47:17] copies=570000 rate=103336/s BW=27.1 GB/s elapsed=5.5s
[18:47:17] copies=580000 rate=103345/s BW=27.1 GB/s elapsed=5.6s
[18:47:18] copies=590000 rate=103348/s BW=27.1 GB/s elapsed=5.7s
[18:47:18] copies=600000 rate=103319/s BW=27.1 GB/s elapsed=5.8s
[18:47:18] copies=610000 rate=103333/s BW=27.1 GB/s elapsed=5.9s
[18:47:18] copies=620000 rate=103345/s BW=27.1 GB/s elapsed=6.0s
[18:47:18] copies=630000 rate=103360/s BW=27.1 GB/s elapsed=6.1s
[18:47:18] copies=640000 rate=103364/s BW=27.1 GB/s elapsed=6.2s
[18:47:18] copies=650000 rate=103378/s BW=27.1 GB/s elapsed=6.3s
[18:47:18] copies=660000 rate=103337/s BW=27.1 GB/s elapsed=6.4s
[18:47:18] copies=670000 rate=103327/s BW=27.1 GB/s elapsed=6.5s
[18:47:18] copies=680000 rate=103313/s BW=27.1 GB/s elapsed=6.6s
[18:47:18] copies=690000 rate=103304/s BW=27.1 GB/s elapsed=6.7s
[18:47:19] copies=700000 rate=103274/s BW=27.1 GB/s elapsed=6.8s
[18:47:19] copies=710000 rate=103281/s BW=27.1 GB/s elapsed=6.9s
[18:47:19] copies=720000 rate=103273/s BW=27.1 GB/s elapsed=7.0s
[18:47:19] copies=730000 rate=103281/s BW=27.1 GB/s elapsed=7.1s
[18:47:19] copies=740000 rate=103298/s BW=27.1 GB/s elapsed=7.2s
[18:47:19] copies=750000 rate=103318/s BW=27.1 GB/s elapsed=7.3s
[18:47:19] copies=760000 rate=103313/s BW=27.1 GB/s elapsed=7.4s
[18:47:19] copies=770000 rate=103331/s BW=27.1 GB/s elapsed=7.5s
[18:47:19] copies=780000 rate=103347/s BW=27.1 GB/s elapsed=7.5s
[18:47:19] copies=790000 rate=103366/s BW=27.1 GB/s elapsed=7.6s
[18:47:20] copies=800000 rate=103301/s BW=27.1 GB/s elapsed=7.7s
[18:47:20] copies=810000 rate=103311/s BW=27.1 GB/s elapsed=7.8s
[18:47:20] copies=820000 rate=103326/s BW=27.1 GB/s elapsed=7.9s
[18:47:20] copies=830000 rate=103332/s BW=27.1 GB/s elapsed=8.0s
[18:47:20] copies=840000 rate=103345/s BW=27.1 GB/s elapsed=8.1s
[18:47:20] copies=850000 rate=103345/s BW=27.1 GB/s elapsed=8.2s
[18:47:20] copies=860000 rate=103301/s BW=27.1 GB/s elapsed=8.3s
[18:47:20] copies=870000 rate=103311/s BW=27.1 GB/s elapsed=8.4s
[18:47:20] copies=880000 rate=103314/s BW=27.1 GB/s elapsed=8.5s
[18:47:20] copies=890000 rate=103321/s BW=27.1 GB/s elapsed=8.6s
[18:47:21] copies=900000 rate=103315/s BW=27.1 GB/s elapsed=8.7s
