[18:49:47] allocating 2× 128 KB buffers
[18:49:48] entering high-launch-rate memcpy loop
[18:49:48] copies=10000 rate=97333/s BW=25.5 GB/s elapsed=0.1s
[18:49:48] copies=20000 rate=96597/s BW=25.3 GB/s elapsed=0.2s
[18:49:48] copies=30000 rate=96515/s BW=25.3 GB/s elapsed=0.3s
[18:49:48] copies=40000 rate=95968/s BW=25.2 GB/s elapsed=0.4s
[18:49:49] copies=50000 rate=95862/s BW=25.1 GB/s elapsed=0.5s
[18:49:49] copies=60000 rate=95771/s BW=25.1 GB/s elapsed=0.6s
[18:49:49] copies=70000 rate=95466/s BW=25.0 GB/s elapsed=0.7s
[18:49:49] copies=80000 rate=95626/s BW=25.1 GB/s elapsed=0.8s
[18:49:49] copies=90000 rate=95560/s BW=25.1 GB/s elapsed=0.9s
[18:49:49] copies=100000 rate=95516/s BW=25.0 GB/s elapsed=1.0s
[18:49:49] copies=110000 rate=95423/s BW=25.0 GB/s elapsed=1.2s
[18:49:49] copies=120000 rate=95459/s BW=25.0 GB/s elapsed=1.3s
[18:49:49] copies=130000 rate=95494/s BW=25.0 GB/s elapsed=1.4s
[18:49:49] copies=140000 rate=95514/s BW=25.0 GB/s elapsed=1.5s
[18:49:50] copies=150000 rate=95477/s BW=25.0 GB/s elapsed=1.6s
[18:49:50] copies=160000 rate=95383/s BW=25.0 GB/s elapsed=1.7s
[18:49:50] copies=170000 rate=95392/s BW=25.0 GB/s elapsed=1.8s
[18:49:50] copies=180000 rate=95425/s BW=25.0 GB/s elapsed=1.9s
[18:49:50] copies=190000 rate=95276/s BW=25.0 GB/s elapsed=2.0s
[18:49:50] copies=200000 rate=95194/s BW=25.0 GB/s elapsed=2.1s
[18:49:50] copies=210000 rate=95240/s BW=25.0 GB/s elapsed=2.2s
[18:49:50] copies=220000 rate=95348/s BW=25.0 GB/s elapsed=2.3s
[18:49:50] copies=230000 rate=95414/s BW=25.0 GB/s elapsed=2.4s
[18:49:51] copies=240000 rate=95519/s BW=25.0 GB/s elapsed=2.5s
[18:49:51] copies=250000 rate=95564/s BW=25.1 GB/s elapsed=2.6s
[18:49:51] copies=260000 rate=95546/s BW=25.0 GB/s elapsed=2.7s
[18:49:51] copies=270000 rate=95607/s BW=25.1 GB/s elapsed=2.8s
[18:49:51] copies=280000 rate=95658/s BW=25.1 GB/s elapsed=2.9s
[18:49:51] copies=290000 rate=95700/s BW=25.1 GB/s elapsed=3.0s
[18:49:51] copies=300000 rate=95532/s BW=25.0 GB/s elapsed=3.1s
[18:49:51] copies=310000 rate=95590/s BW=25.1 GB/s elapsed=3.2s
[18:49:51] copies=320000 rate=95638/s BW=25.1 GB/s elapsed=3.3s
[18:49:51] copies=330000 rate=95677/s BW=25.1 GB/s elapsed=3.4s
[18:49:52] copies=340000 rate=95670/s BW=25.1 GB/s elapsed=3.6s
[18:49:52] copies=350000 rate=95696/s BW=25.1 GB/s elapsed=3.7s
[18:49:52] copies=360000 rate=95681/s BW=25.1 GB/s elapsed=3.8s
[18:49:52] copies=370000 rate=95716/s BW=25.1 GB/s elapsed=3.9s
[18:49:52] copies=380000 rate=95749/s BW=25.1 GB/s elapsed=4.0s
[18:49:52] copies=390000 rate=95778/s BW=25.1 GB/s elapsed=4.1s
[18:49:52] copies=400000 rate=95731/s BW=25.1 GB/s elapsed=4.2s
[18:49:52] copies=410000 rate=95759/s BW=25.1 GB/s elapsed=4.3s
[18:49:52] copies=420000 rate=95783/s BW=25.1 GB/s elapsed=4.4s
[18:49:53] copies=430000 rate=95809/s BW=25.1 GB/s elapsed=4.5s
[18:49:53] copies=440000 rate=95829/s BW=25.1 GB/s elapsed=4.6s
[18:49:53] copies=450000 rate=95848/s BW=25.1 GB/s elapsed=4.7s
[18:49:53] copies=460000 rate=95821/s BW=25.1 GB/s elapsed=4.8s
[18:49:53] copies=470000 rate=95844/s BW=25.1 GB/s elapsed=4.9s
[18:49:53] copies=480000 rate=95866/s BW=25.1 GB/s elapsed=5.0s
[18:49:53] copies=490000 rate=95885/s BW=25.1 GB/s elapsed=5.1s
[18:49:53] copies=500000 rate=95858/s BW=25.1 GB/s elapsed=5.2s
[18:49:53] copies=510000 rate=95872/s BW=25.1 GB/s elapsed=5.3s
[18:49:53] copies=520000 rate=95887/s BW=25.1 GB/s elapsed=5.4s
[18:49:54] copies=530000 rate=95903/s BW=25.1 GB/s elapsed=5.5s
[18:49:54] copies=540000 rate=95922/s BW=25.1 GB/s elapsed=5.6s
[18:49:54] copies=550000 rate=95937/s BW=25.1 GB/s elapsed=5.7s
[18:49:54] copies=560000 rate=95916/s BW=25.1 GB/s elapsed=5.8s
[18:49:54] copies=570000 rate=95930/s BW=25.1 GB/s elapsed=5.9s
[18:49:54] copies=580000 rate=95943/s BW=25.2 GB/s elapsed=6.0s
[18:49:54] copies=590000 rate=95953/s BW=25.2 GB/s elapsed=6.1s
[18:49:54] copies=600000 rate=95884/s BW=25.1 GB/s elapsed=6.3s
[18:49:54] copies=610000 rate=95897/s BW=25.1 GB/s elapsed=6.4s
[18:49:54] copies=620000 rate=95908/s BW=25.1 GB/s elapsed=6.5s
[18:49:55] copies=630000 rate=95921/s BW=25.1 GB/s elapsed=6.6s
[18:49:55] copies=640000 rate=95925/s BW=25.1 GB/s elapsed=6.7s
[18:49:55] copies=650000 rate=95933/s BW=25.1 GB/s elapsed=6.8s
[18:49:55] copies=660000 rate=95893/s BW=25.1 GB/s elapsed=6.9s
[18:49:55] copies=670000 rate=95899/s BW=25.1 GB/s elapsed=7.0s
[18:49:55] copies=680000 rate=95907/s BW=25.1 GB/s elapsed=7.1s
[18:49:55] copies=690000 rate=95918/s BW=25.1 GB/s elapsed=7.2s
[18:49:55] copies=700000 rate=95888/s BW=25.1 GB/s elapsed=7.3s
[18:49:55] copies=710000 rate=95893/s BW=25.1 GB/s elapsed=7.4s
[18:49:56] copies=720000 rate=95901/s BW=25.1 GB/s elapsed=7.5s
[18:49:56] copies=730000 rate=95912/s BW=25.1 GB/s elapsed=7.6s
[18:49:56] copies=740000 rate=95925/s BW=25.1 GB/s elapsed=7.7s
[18:49:56] copies=750000 rate=95939/s BW=25.1 GB/s elapsed=7.8s
[18:49:56] copies=760000 rate=95924/s BW=25.1 GB/s elapsed=7.9s
[18:49:56] copies=770000 rate=95935/s BW=25.1 GB/s elapsed=8.0s
[18:49:56] copies=780000 rate=95933/s BW=25.1 GB/s elapsed=8.1s
[18:49:56] copies=790000 rate=95932/s BW=25.1 GB/s elapsed=8.2s
[18:49:56] copies=800000 rate=95909/s BW=25.1 GB/s elapsed=8.3s
[18:49:56] copies=810000 rate=95913/s BW=25.1 GB/s elapsed=8.4s
[18:49:57] copies=820000 rate=95919/s BW=25.1 GB/s elapsed=8.5s
[18:49:57] copies=830000 rate=95925/s BW=25.1 GB/s elapsed=8.7s
[18:49:57] copies=840000 rate=95931/s BW=25.1 GB/s elapsed=8.8s
[18:49:57] copies=850000 rate=95929/s BW=25.1 GB/s elapsed=8.9s
[18:49:57] copies=860000 rate=95911/s BW=25.1 GB/s elapsed=9.0s
[18:49:57] copies=870000 rate=95919/s BW=25.1 GB/s elapsed=9.1s
[18:49:57] copies=880000 rate=95926/s BW=25.1 GB/s elapsed=9.2s
[18:49:57] copies=890000 rate=95934/s BW=25.1 GB/s elapsed=9.3s
[18:49:57] copies=900000 rate=95915/s BW=25.1 GB/s elapsed=9.4s
[18:49:58] copies=910000 rate=95921/s BW=25.1 GB/s elapsed=9.5s
[18:49:58] copies=920000 rate=95926/s BW=25.1 GB/s elapsed=9.6s
[18:49:58] copies=930000 rate=95932/s BW=25.1 GB/s elapsed=9.7s
[18:49:58] copies=940000 rate=95939/s BW=25.1 GB/s elapsed=9.8s
[18:49:58] copies=950000 rate=95954/s BW=25.2 GB/s elapsed=9.9s
[18:49:58] copies=960000 rate=95942/s BW=25.2 GB/s elapsed=10.0s
[18:49:58] copies=970000 rate=95949/s BW=25.2 GB/s elapsed=10.1s
[18:49:58] copies=980000 rate=95955/s BW=25.2 GB/s elapsed=10.2s
