[06:16:40] allocating 2× 128 KB buffers
[06:16:41] entering high-launch-rate memcpy loop
[06:16:41] copies=10000 rate=142129/s BW=37.3 GB/s elapsed=0.1s
[06:16:41] copies=20000 rate=141850/s BW=37.2 GB/s elapsed=0.1s
[06:16:41] copies=30000 rate=140594/s BW=36.9 GB/s elapsed=0.2s
[06:16:41] copies=40000 rate=141289/s BW=37.0 GB/s elapsed=0.3s
[06:16:41] copies=50000 rate=141354/s BW=37.1 GB/s elapsed=0.4s
[06:16:41] copies=60000 rate=141401/s BW=37.1 GB/s elapsed=0.4s
[06:16:41] copies=70000 rate=141442/s BW=37.1 GB/s elapsed=0.5s
[06:16:41] copies=80000 rate=141452/s BW=37.1 GB/s elapsed=0.6s
[06:16:41] copies=90000 rate=141430/s BW=37.1 GB/s elapsed=0.6s
[06:16:42] copies=100000 rate=141379/s BW=37.1 GB/s elapsed=0.7s
[06:16:42] copies=110000 rate=141403/s BW=37.1 GB/s elapsed=0.8s
[06:16:42] copies=120000 rate=141435/s BW=37.1 GB/s elapsed=0.8s
[06:16:42] copies=130000 rate=141413/s BW=37.1 GB/s elapsed=0.9s
[06:16:42] copies=140000 rate=141237/s BW=37.0 GB/s elapsed=1.0s
[06:16:42] copies=150000 rate=140921/s BW=36.9 GB/s elapsed=1.1s
[06:16:42] copies=160000 rate=140624/s BW=36.9 GB/s elapsed=1.1s
[06:16:42] copies=170000 rate=140361/s BW=36.8 GB/s elapsed=1.2s
[06:16:42] copies=180000 rate=140144/s BW=36.7 GB/s elapsed=1.3s
[06:16:42] copies=190000 rate=139954/s BW=36.7 GB/s elapsed=1.4s
[06:16:42] copies=200000 rate=139805/s BW=36.6 GB/s elapsed=1.4s
[06:16:42] copies=210000 rate=139670/s BW=36.6 GB/s elapsed=1.5s
[06:16:42] copies=220000 rate=139548/s BW=36.6 GB/s elapsed=1.6s
[06:16:42] copies=230000 rate=139432/s BW=36.6 GB/s elapsed=1.6s
[06:16:43] copies=240000 rate=139264/s BW=36.5 GB/s elapsed=1.7s
[06:16:43] copies=250000 rate=139180/s BW=36.5 GB/s elapsed=1.8s
[06:16:43] copies=260000 rate=139106/s BW=36.5 GB/s elapsed=1.9s
[06:16:43] copies=270000 rate=139037/s BW=36.4 GB/s elapsed=1.9s
[06:16:43] copies=280000 rate=138963/s BW=36.4 GB/s elapsed=2.0s
[06:16:43] copies=290000 rate=138889/s BW=36.4 GB/s elapsed=2.1s
[06:16:43] copies=300000 rate=138811/s BW=36.4 GB/s elapsed=2.2s
[06:16:43] copies=310000 rate=138720/s BW=36.4 GB/s elapsed=2.2s
[06:16:43] copies=320000 rate=138717/s BW=36.4 GB/s elapsed=2.3s
[06:16:43] copies=330000 rate=138632/s BW=36.3 GB/s elapsed=2.4s
[06:16:43] copies=340000 rate=138575/s BW=36.3 GB/s elapsed=2.5s
