[07:40:09] allocating 2× 128 KB buffers
[07:40:10] entering high-launch-rate memcpy loop
[07:40:10] copies=10000 rate=129846/s BW=34.0 GB/s elapsed=0.1s
[07:40:10] copies=20000 rate=129602/s BW=34.0 GB/s elapsed=0.2s
[07:40:10] copies=30000 rate=129387/s BW=33.9 GB/s elapsed=0.2s
[07:40:10] copies=40000 rate=129110/s BW=33.8 GB/s elapsed=0.3s
[07:40:11] copies=50000 rate=129035/s BW=33.8 GB/s elapsed=0.4s
[07:40:11] copies=60000 rate=128954/s BW=33.8 GB/s elapsed=0.5s
[07:40:11] copies=70000 rate=128891/s BW=33.8 GB/s elapsed=0.5s
[07:40:11] copies=80000 rate=128824/s BW=33.8 GB/s elapsed=0.6s
[07:40:11] copies=90000 rate=128750/s BW=33.8 GB/s elapsed=0.7s
[07:40:11] copies=100000 rate=128732/s BW=33.7 GB/s elapsed=0.8s
[07:40:11] copies=110000 rate=128721/s BW=33.7 GB/s elapsed=0.9s
[07:40:11] copies=120000 rate=128714/s BW=33.7 GB/s elapsed=0.9s
[07:40:11] copies=130000 rate=128498/s BW=33.7 GB/s elapsed=1.0s
[07:40:11] copies=140000 rate=128291/s BW=33.6 GB/s elapsed=1.1s
[07:40:11] copies=150000 rate=128141/s BW=33.6 GB/s elapsed=1.2s
[07:40:11] copies=160000 rate=128015/s BW=33.6 GB/s elapsed=1.2s
[07:40:11] copies=170000 rate=127903/s BW=33.5 GB/s elapsed=1.3s
[07:40:12] copies=180000 rate=127806/s BW=33.5 GB/s elapsed=1.4s
[07:40:12] copies=190000 rate=127687/s BW=33.5 GB/s elapsed=1.5s
[07:40:12] copies=200000 rate=127583/s BW=33.4 GB/s elapsed=1.6s
[07:40:12] copies=210000 rate=127489/s BW=33.4 GB/s elapsed=1.6s
[07:40:12] copies=220000 rate=127408/s BW=33.4 GB/s elapsed=1.7s
[07:40:12] copies=230000 rate=127333/s BW=33.4 GB/s elapsed=1.8s
[07:40:12] copies=240000 rate=127103/s BW=33.3 GB/s elapsed=1.9s
[07:40:12] copies=250000 rate=127339/s BW=33.4 GB/s elapsed=2.0s
[07:40:12] copies=260000 rate=127348/s BW=33.4 GB/s elapsed=2.0s
[07:40:12] copies=270000 rate=127235/s BW=33.4 GB/s elapsed=2.1s
