[09:20:21] allocating 2× 128 KB buffers
[09:20:22] entering high-launch-rate memcpy loop
[09:20:22] copies=10000 rate=138745/s BW=36.4 GB/s elapsed=0.1s
[09:20:22] copies=20000 rate=139632/s BW=36.6 GB/s elapsed=0.1s
[09:20:22] copies=30000 rate=139917/s BW=36.7 GB/s elapsed=0.2s
[09:20:22] copies=40000 rate=140418/s BW=36.8 GB/s elapsed=0.3s
[09:20:22] copies=50000 rate=140749/s BW=36.9 GB/s elapsed=0.4s
[09:20:22] copies=60000 rate=140370/s BW=36.8 GB/s elapsed=0.4s
[09:20:22] copies=70000 rate=140642/s BW=36.9 GB/s elapsed=0.5s
[09:20:22] copies=80000 rate=140797/s BW=36.9 GB/s elapsed=0.6s
[09:20:22] copies=90000 rate=141006/s BW=37.0 GB/s elapsed=0.6s
[09:20:22] copies=100000 rate=141141/s BW=37.0 GB/s elapsed=0.7s
[09:20:22] copies=110000 rate=141278/s BW=37.0 GB/s elapsed=0.8s
[09:20:22] copies=120000 rate=141384/s BW=37.1 GB/s elapsed=0.8s
[09:20:23] copies=130000 rate=141457/s BW=37.1 GB/s elapsed=0.9s
[09:20:23] copies=140000 rate=141449/s BW=37.1 GB/s elapsed=1.0s
[09:20:23] copies=150000 rate=141222/s BW=37.0 GB/s elapsed=1.1s
[09:20:23] copies=160000 rate=141008/s BW=37.0 GB/s elapsed=1.1s
[09:20:23] copies=170000 rate=140824/s BW=36.9 GB/s elapsed=1.2s
[09:20:23] copies=180000 rate=140634/s BW=36.9 GB/s elapsed=1.3s
[09:20:23] copies=190000 rate=140610/s BW=36.9 GB/s elapsed=1.4s
[09:20:23] copies=200000 rate=140684/s BW=36.9 GB/s elapsed=1.4s
[09:20:23] copies=210000 rate=140722/s BW=36.9 GB/s elapsed=1.5s
[09:20:23] copies=220000 rate=140771/s BW=36.9 GB/s elapsed=1.6s
[09:20:23] copies=230000 rate=140829/s BW=36.9 GB/s elapsed=1.6s
[09:20:23] copies=240000 rate=140880/s BW=36.9 GB/s elapsed=1.7s
[09:20:23] copies=250000 rate=140915/s BW=36.9 GB/s elapsed=1.8s
[09:20:23] copies=260000 rate=140955/s BW=37.0 GB/s elapsed=1.8s
[09:20:24] copies=270000 rate=140968/s BW=37.0 GB/s elapsed=1.9s
