[10:07:38] allocating 2× 128 KB buffers
[10:07:38] entering high-launch-rate memcpy loop
[10:07:39] copies=10000 rate=140281/s BW=36.8 GB/s elapsed=0.1s
[10:07:39] copies=20000 rate=140537/s BW=36.8 GB/s elapsed=0.1s
[10:07:39] copies=30000 rate=140752/s BW=36.9 GB/s elapsed=0.2s
[10:07:39] copies=40000 rate=140830/s BW=36.9 GB/s elapsed=0.3s
[10:07:39] copies=50000 rate=140899/s BW=36.9 GB/s elapsed=0.4s
[10:07:39] copies=60000 rate=140963/s BW=37.0 GB/s elapsed=0.4s
[10:07:39] copies=70000 rate=141012/s BW=37.0 GB/s elapsed=0.5s
[10:07:39] copies=80000 rate=141025/s BW=37.0 GB/s elapsed=0.6s
[10:07:39] copies=90000 rate=141038/s BW=37.0 GB/s elapsed=0.6s
[10:07:39] copies=100000 rate=141044/s BW=37.0 GB/s elapsed=0.7s
[10:07:39] copies=110000 rate=141024/s BW=37.0 GB/s elapsed=0.8s
[10:07:39] copies=120000 rate=140748/s BW=36.9 GB/s elapsed=0.9s
[10:07:39] copies=130000 rate=140796/s BW=36.9 GB/s elapsed=0.9s
[10:07:39] copies=140000 rate=140719/s BW=36.9 GB/s elapsed=1.0s
[10:07:40] copies=150000 rate=140436/s BW=36.8 GB/s elapsed=1.1s
[10:07:40] copies=160000 rate=140220/s BW=36.8 GB/s elapsed=1.1s
[10:07:40] copies=170000 rate=140029/s BW=36.7 GB/s elapsed=1.2s
[10:07:40] copies=180000 rate=139850/s BW=36.7 GB/s elapsed=1.3s
[10:07:40] copies=190000 rate=139681/s BW=36.6 GB/s elapsed=1.4s
[10:07:40] copies=200000 rate=139538/s BW=36.6 GB/s elapsed=1.4s
[10:07:40] copies=210000 rate=139403/s BW=36.5 GB/s elapsed=1.5s
[10:07:40] copies=220000 rate=139281/s BW=36.5 GB/s elapsed=1.6s
[10:07:40] copies=230000 rate=139165/s BW=36.5 GB/s elapsed=1.7s
[10:07:40] copies=240000 rate=139060/s BW=36.5 GB/s elapsed=1.7s
[10:07:40] copies=250000 rate=138962/s BW=36.4 GB/s elapsed=1.8s
[10:07:40] copies=260000 rate=138867/s BW=36.4 GB/s elapsed=1.9s
[10:07:40] copies=270000 rate=138795/s BW=36.4 GB/s elapsed=1.9s
[10:07:41] copies=280000 rate=138727/s BW=36.4 GB/s elapsed=2.0s
[10:07:41] copies=290000 rate=138658/s BW=36.3 GB/s elapsed=2.1s
[10:07:41] copies=300000 rate=138604/s BW=36.3 GB/s elapsed=2.2s
[10:07:41] copies=310000 rate=138548/s BW=36.3 GB/s elapsed=2.2s
[10:07:41] copies=320000 rate=138491/s BW=36.3 GB/s elapsed=2.3s
[10:07:41] copies=330000 rate=138432/s BW=36.3 GB/s elapsed=2.4s
[10:07:41] copies=340000 rate=138387/s BW=36.3 GB/s elapsed=2.5s
[10:07:41] copies=350000 rate=138346/s BW=36.3 GB/s elapsed=2.5s
[10:07:41] copies=360000 rate=138350/s BW=36.3 GB/s elapsed=2.6s
[10:07:41] copies=370000 rate=138515/s BW=36.3 GB/s elapsed=2.7s
[10:07:41] copies=380000 rate=138647/s BW=36.3 GB/s elapsed=2.7s
[10:07:41] copies=390000 rate=138766/s BW=36.4 GB/s elapsed=2.8s
[10:07:41] copies=400000 rate=138876/s BW=36.4 GB/s elapsed=2.9s
[10:07:41] copies=410000 rate=138978/s BW=36.4 GB/s elapsed=3.0s
[10:07:42] copies=420000 rate=139057/s BW=36.5 GB/s elapsed=3.0s
[10:07:42] copies=430000 rate=139155/s BW=36.5 GB/s elapsed=3.1s
[10:07:42] copies=440000 rate=139229/s BW=36.5 GB/s elapsed=3.2s
[10:07:42] copies=450000 rate=139311/s BW=36.5 GB/s elapsed=3.2s
[10:07:42] copies=460000 rate=139388/s BW=36.5 GB/s elapsed=3.3s
[10:07:42] copies=470000 rate=139451/s BW=36.6 GB/s elapsed=3.4s
[10:07:42] copies=480000 rate=139539/s BW=36.6 GB/s elapsed=3.4s
[10:07:42] copies=490000 rate=139600/s BW=36.6 GB/s elapsed=3.5s
[10:07:42] copies=500000 rate=139656/s BW=36.6 GB/s elapsed=3.6s
[10:07:42] copies=510000 rate=139625/s BW=36.6 GB/s elapsed=3.7s
[10:07:42] copies=520000 rate=139597/s BW=36.6 GB/s elapsed=3.7s
[10:07:42] copies=530000 rate=139577/s BW=36.6 GB/s elapsed=3.8s
[10:07:42] copies=540000 rate=139556/s BW=36.6 GB/s elapsed=3.9s
