[12:54:01] allocating 2× 128 KB buffers
[12:54:01] entering high-launch-rate memcpy loop
[12:54:01] copies=10000 rate=128606/s BW=33.7 GB/s elapsed=0.1s
[12:54:02] copies=20000 rate=128981/s BW=33.8 GB/s elapsed=0.2s
[12:54:02] copies=30000 rate=127613/s BW=33.5 GB/s elapsed=0.2s
[12:54:02] copies=40000 rate=127203/s BW=33.3 GB/s elapsed=0.3s
[12:54:02] copies=50000 rate=127847/s BW=33.5 GB/s elapsed=0.4s
[12:54:02] copies=60000 rate=127565/s BW=33.4 GB/s elapsed=0.5s
[12:54:02] copies=70000 rate=127877/s BW=33.5 GB/s elapsed=0.5s
[12:54:02] copies=80000 rate=128107/s BW=33.6 GB/s elapsed=0.6s
[12:54:02] copies=90000 rate=128310/s BW=33.6 GB/s elapsed=0.7s
[12:54:02] copies=100000 rate=128463/s BW=33.7 GB/s elapsed=0.8s
[12:54:02] copies=110000 rate=128113/s BW=33.6 GB/s elapsed=0.9s
[12:54:02] copies=120000 rate=128370/s BW=33.7 GB/s elapsed=0.9s
[12:54:02] copies=130000 rate=128598/s BW=33.7 GB/s elapsed=1.0s
[12:54:03] copies=140000 rate=128788/s BW=33.8 GB/s elapsed=1.1s
[12:54:03] copies=150000 rate=128932/s BW=33.8 GB/s elapsed=1.2s
[12:54:03] copies=160000 rate=129074/s BW=33.8 GB/s elapsed=1.2s
[12:54:03] copies=170000 rate=129174/s BW=33.9 GB/s elapsed=1.3s
[12:54:03] copies=180000 rate=129291/s BW=33.9 GB/s elapsed=1.4s
[12:54:03] copies=190000 rate=129405/s BW=33.9 GB/s elapsed=1.5s
[12:54:03] copies=200000 rate=129515/s BW=34.0 GB/s elapsed=1.5s
[12:54:03] copies=210000 rate=129614/s BW=34.0 GB/s elapsed=1.6s
[12:54:03] copies=220000 rate=129712/s BW=34.0 GB/s elapsed=1.7s
[12:54:03] copies=230000 rate=129796/s BW=34.0 GB/s elapsed=1.8s
[12:54:03] copies=240000 rate=129869/s BW=34.0 GB/s elapsed=1.8s
[12:54:03] copies=250000 rate=129940/s BW=34.1 GB/s elapsed=1.9s
[12:54:03] copies=260000 rate=130007/s BW=34.1 GB/s elapsed=2.0s
[12:54:03] copies=270000 rate=130064/s BW=34.1 GB/s elapsed=2.1s
[12:54:04] copies=280000 rate=130106/s BW=34.1 GB/s elapsed=2.2s
[12:54:04] copies=290000 rate=130166/s BW=34.1 GB/s elapsed=2.2s
[12:54:04] copies=300000 rate=130229/s BW=34.1 GB/s elapsed=2.3s
[12:54:04] copies=310000 rate=130259/s BW=34.1 GB/s elapsed=2.4s
[12:54:04] copies=320000 rate=130337/s BW=34.2 GB/s elapsed=2.5s
[12:54:04] copies=330000 rate=130415/s BW=34.2 GB/s elapsed=2.5s
[12:54:04] copies=340000 rate=130491/s BW=34.2 GB/s elapsed=2.6s
[12:54:04] copies=350000 rate=130564/s BW=34.2 GB/s elapsed=2.7s
[12:54:04] copies=360000 rate=130636/s BW=34.2 GB/s elapsed=2.8s
[12:54:04] copies=370000 rate=130689/s BW=34.3 GB/s elapsed=2.8s
[12:54:04] copies=380000 rate=130741/s BW=34.3 GB/s elapsed=2.9s
[12:54:04] copies=390000 rate=130795/s BW=34.3 GB/s elapsed=3.0s
[12:54:04] copies=400000 rate=130822/s BW=34.3 GB/s elapsed=3.1s
[12:54:05] copies=410000 rate=130869/s BW=34.3 GB/s elapsed=3.1s
[12:54:05] copies=420000 rate=130924/s BW=34.3 GB/s elapsed=3.2s
[12:54:05] copies=430000 rate=130974/s BW=34.3 GB/s elapsed=3.3s
[12:54:05] copies=440000 rate=131021/s BW=34.3 GB/s elapsed=3.4s
[12:54:05] copies=450000 rate=131064/s BW=34.4 GB/s elapsed=3.4s
[12:54:05] copies=460000 rate=131106/s BW=34.4 GB/s elapsed=3.5s
[12:54:05] copies=470000 rate=131145/s BW=34.4 GB/s elapsed=3.6s
[12:54:05] copies=480000 rate=131212/s BW=34.4 GB/s elapsed=3.7s
[12:54:05] copies=490000 rate=131310/s BW=34.4 GB/s elapsed=3.7s
[12:54:05] copies=500000 rate=131356/s BW=34.4 GB/s elapsed=3.8s
[12:54:05] copies=510000 rate=131397/s BW=34.4 GB/s elapsed=3.9s
[12:54:05] copies=520000 rate=131440/s BW=34.5 GB/s elapsed=4.0s
[12:54:05] copies=530000 rate=131480/s BW=34.5 GB/s elapsed=4.0s
[12:54:06] copies=540000 rate=131519/s BW=34.5 GB/s elapsed=4.1s
[12:54:06] copies=550000 rate=131554/s BW=34.5 GB/s elapsed=4.2s
[12:54:06] copies=560000 rate=131591/s BW=34.5 GB/s elapsed=4.3s
[12:54:06] copies=570000 rate=131628/s BW=34.5 GB/s elapsed=4.3s
[12:54:06] copies=580000 rate=131663/s BW=34.5 GB/s elapsed=4.4s
[12:54:06] copies=590000 rate=131694/s BW=34.5 GB/s elapsed=4.5s
[12:54:06] copies=600000 rate=131710/s BW=34.5 GB/s elapsed=4.6s
[12:54:06] copies=610000 rate=131741/s BW=34.5 GB/s elapsed=4.6s
[12:54:06] copies=620000 rate=131770/s BW=34.5 GB/s elapsed=4.7s
[12:54:06] copies=630000 rate=131796/s BW=34.5 GB/s elapsed=4.8s
