[12:57:31] allocating 2× 128 KB buffers
[12:57:32] entering high-launch-rate memcpy loop
[12:57:32] copies=10000 rate=53930/s BW=14.1 GB/s elapsed=0.2s
[12:57:32] copies=20000 rate=52440/s BW=13.7 GB/s elapsed=0.4s
[12:57:32] copies=30000 rate=52266/s BW=13.7 GB/s elapsed=0.6s
[12:57:33] copies=40000 rate=50362/s BW=13.2 GB/s elapsed=0.8s
[12:57:33] copies=50000 rate=49294/s BW=12.9 GB/s elapsed=1.0s
[12:57:33] copies=60000 rate=48592/s BW=12.7 GB/s elapsed=1.2s
[12:57:33] copies=70000 rate=48116/s BW=12.6 GB/s elapsed=1.5s
[12:57:34] copies=80000 rate=47776/s BW=12.5 GB/s elapsed=1.7s
[12:57:34] copies=90000 rate=47516/s BW=12.5 GB/s elapsed=1.9s
[12:57:34] copies=100000 rate=47310/s BW=12.4 GB/s elapsed=2.1s
[12:57:34] copies=110000 rate=47144/s BW=12.4 GB/s elapsed=2.3s
[12:57:34] copies=120000 rate=47007/s BW=12.3 GB/s elapsed=2.6s
[12:57:35] copies=130000 rate=46890/s BW=12.3 GB/s elapsed=2.8s
[12:57:35] copies=140000 rate=46790/s BW=12.3 GB/s elapsed=3.0s
[12:57:35] copies=150000 rate=46702/s BW=12.2 GB/s elapsed=3.2s
[12:57:35] copies=160000 rate=46624/s BW=12.2 GB/s elapsed=3.4s
[12:57:36] copies=170000 rate=46551/s BW=12.2 GB/s elapsed=3.7s
[12:57:36] copies=180000 rate=46491/s BW=12.2 GB/s elapsed=3.9s
[12:57:36] copies=190000 rate=46439/s BW=12.2 GB/s elapsed=4.1s
[12:57:36] copies=200000 rate=46392/s BW=12.2 GB/s elapsed=4.3s
[12:57:36] copies=210000 rate=46349/s BW=12.2 GB/s elapsed=4.5s
[12:57:37] copies=220000 rate=46311/s BW=12.1 GB/s elapsed=4.8s
[12:57:37] copies=230000 rate=46274/s BW=12.1 GB/s elapsed=5.0s
[12:57:37] copies=240000 rate=46241/s BW=12.1 GB/s elapsed=5.2s
[12:57:37] copies=250000 rate=46212/s BW=12.1 GB/s elapsed=5.4s
[12:57:38] copies=260000 rate=46184/s BW=12.1 GB/s elapsed=5.6s
[12:57:38] copies=270000 rate=46159/s BW=12.1 GB/s elapsed=5.8s
[12:57:38] copies=280000 rate=46136/s BW=12.1 GB/s elapsed=6.1s
[12:57:38] copies=290000 rate=46114/s BW=12.1 GB/s elapsed=6.3s
[12:57:38] copies=300000 rate=46094/s BW=12.1 GB/s elapsed=6.5s
[12:57:39] copies=310000 rate=46075/s BW=12.1 GB/s elapsed=6.7s
[12:57:39] copies=320000 rate=46057/s BW=12.1 GB/s elapsed=6.9s
[12:57:39] copies=330000 rate=46040/s BW=12.1 GB/s elapsed=7.2s
[12:57:39] copies=340000 rate=46024/s BW=12.1 GB/s elapsed=7.4s
[12:57:39] copies=350000 rate=46009/s BW=12.1 GB/s elapsed=7.6s
[12:57:40] copies=360000 rate=45995/s BW=12.1 GB/s elapsed=7.8s
[12:57:40] copies=370000 rate=45982/s BW=12.1 GB/s elapsed=8.0s
[12:57:40] copies=380000 rate=45969/s BW=12.1 GB/s elapsed=8.3s
[12:57:40] copies=390000 rate=45957/s BW=12.0 GB/s elapsed=8.5s
[12:57:41] copies=400000 rate=45946/s BW=12.0 GB/s elapsed=8.7s
[12:57:41] copies=410000 rate=45935/s BW=12.0 GB/s elapsed=8.9s
[12:57:41] copies=420000 rate=45925/s BW=12.0 GB/s elapsed=9.1s
[12:57:41] copies=430000 rate=45915/s BW=12.0 GB/s elapsed=9.4s
[12:57:41] copies=440000 rate=45906/s BW=12.0 GB/s elapsed=9.6s
[12:57:42] copies=450000 rate=45897/s BW=12.0 GB/s elapsed=9.8s
[12:57:42] copies=460000 rate=45888/s BW=12.0 GB/s elapsed=10.0s
[12:57:42] copies=470000 rate=45880/s BW=12.0 GB/s elapsed=10.2s
[12:57:42] copies=480000 rate=45872/s BW=12.0 GB/s elapsed=10.5s
[12:57:43] copies=490000 rate=45864/s BW=12.0 GB/s elapsed=10.7s
[12:57:43] copies=500000 rate=45858/s BW=12.0 GB/s elapsed=10.9s
[12:57:43] copies=510000 rate=45850/s BW=12.0 GB/s elapsed=11.1s
[12:57:43] copies=520000 rate=45844/s BW=12.0 GB/s elapsed=11.3s
[12:57:43] copies=530000 rate=45837/s BW=12.0 GB/s elapsed=11.6s
[12:57:44] copies=540000 rate=45831/s BW=12.0 GB/s elapsed=11.8s
[12:57:44] copies=550000 rate=45825/s BW=12.0 GB/s elapsed=12.0s
[12:57:44] copies=560000 rate=45819/s BW=12.0 GB/s elapsed=12.2s
[12:57:44] copies=570000 rate=45814/s BW=12.0 GB/s elapsed=12.4s
