[13:48:59] allocating 2× 128 KB buffers
[13:49:00] entering high-launch-rate memcpy loop
[13:49:00] copies=10000 rate=139435/s BW=36.6 GB/s elapsed=0.1s
[13:49:00] copies=20000 rate=139600/s BW=36.6 GB/s elapsed=0.1s
[13:49:00] copies=30000 rate=139551/s BW=36.6 GB/s elapsed=0.2s
[13:49:00] copies=40000 rate=138049/s BW=36.2 GB/s elapsed=0.3s
[13:49:00] copies=50000 rate=138379/s BW=36.3 GB/s elapsed=0.4s
[13:49:00] copies=60000 rate=138830/s BW=36.4 GB/s elapsed=0.4s
[13:49:00] copies=70000 rate=137403/s BW=36.0 GB/s elapsed=0.5s
[13:49:00] copies=80000 rate=131464/s BW=34.5 GB/s elapsed=0.6s
[13:49:00] copies=90000 rate=132509/s BW=34.7 GB/s elapsed=0.7s
[13:49:00] copies=100000 rate=133147/s BW=34.9 GB/s elapsed=0.8s
[13:49:00] copies=110000 rate=133794/s BW=35.1 GB/s elapsed=0.8s
[13:49:01] copies=120000 rate=133669/s BW=35.0 GB/s elapsed=0.9s
[13:49:01] copies=130000 rate=134200/s BW=35.2 GB/s elapsed=1.0s
[13:49:01] copies=140000 rate=134613/s BW=35.3 GB/s elapsed=1.0s
[13:49:01] copies=150000 rate=134910/s BW=35.4 GB/s elapsed=1.1s
[13:49:01] copies=160000 rate=135293/s BW=35.5 GB/s elapsed=1.2s
[13:49:01] copies=170000 rate=135594/s BW=35.5 GB/s elapsed=1.3s
[13:49:01] copies=180000 rate=135852/s BW=35.6 GB/s elapsed=1.3s
[13:49:01] copies=190000 rate=135667/s BW=35.6 GB/s elapsed=1.4s
[13:49:01] copies=200000 rate=135868/s BW=35.6 GB/s elapsed=1.5s
[13:49:01] copies=210000 rate=136041/s BW=35.7 GB/s elapsed=1.5s
[13:49:01] copies=220000 rate=136107/s BW=35.7 GB/s elapsed=1.6s
[13:49:01] copies=230000 rate=136294/s BW=35.7 GB/s elapsed=1.7s
[13:49:01] copies=240000 rate=136507/s BW=35.8 GB/s elapsed=1.8s
[13:49:01] copies=250000 rate=136625/s BW=35.8 GB/s elapsed=1.8s
[13:49:02] copies=260000 rate=136739/s BW=35.8 GB/s elapsed=1.9s
[13:49:02] copies=270000 rate=136846/s BW=35.9 GB/s elapsed=2.0s
[13:49:02] copies=280000 rate=136947/s BW=35.9 GB/s elapsed=2.0s
[13:49:02] copies=290000 rate=137039/s BW=35.9 GB/s elapsed=2.1s
[13:49:02] copies=300000 rate=137124/s BW=35.9 GB/s elapsed=2.2s
[13:49:02] copies=310000 rate=137203/s BW=36.0 GB/s elapsed=2.3s
[13:49:02] copies=320000 rate=137268/s BW=36.0 GB/s elapsed=2.3s
[13:49:02] copies=330000 rate=137334/s BW=36.0 GB/s elapsed=2.4s
[13:49:02] copies=340000 rate=137398/s BW=36.0 GB/s elapsed=2.5s
[13:49:02] copies=350000 rate=137461/s BW=36.0 GB/s elapsed=2.5s
[13:49:02] copies=360000 rate=137527/s BW=36.1 GB/s elapsed=2.6s
[13:49:02] copies=370000 rate=137590/s BW=36.1 GB/s elapsed=2.7s
[13:49:02] copies=380000 rate=137651/s BW=36.1 GB/s elapsed=2.8s
[13:49:02] copies=390000 rate=137706/s BW=36.1 GB/s elapsed=2.8s
[13:49:03] copies=400000 rate=137732/s BW=36.1 GB/s elapsed=2.9s
[13:49:03] copies=410000 rate=137774/s BW=36.1 GB/s elapsed=3.0s
[13:49:03] copies=420000 rate=137810/s BW=36.1 GB/s elapsed=3.0s
[13:49:03] copies=430000 rate=137869/s BW=36.1 GB/s elapsed=3.1s
